,model(col),data(group),iou,relDelConf,absDelConf,absabsDelConf,iou_std,relDelConf_std,absDelConf_std,absabsDelConf_std
0,base,-lc-internallazy,0.0886371667074536,0.8913311268475497,0.3162880624997112,0.3162880624997112,0.006452430750046121,0.009077808748478189,0.006706542968740931,0.006706542968740931
1,d2,-lc-internal,0.2856198973746737,0.2251858507884363,0.061130184895614226,0.061130184895614226,0.16082221416849812,0.04683372689696974,0.014981282552074704,0.014981282552074704
2,d2,-sc,0.4995104786966255,0.2826004873971833,0.043158484862704904,0.043158484862704904,0.01441747097376863,0.028939707616181972,0.015454464659872701,0.015454464659872701
3,cp,-lc-internallazy,0.0825056050002462,0.9042602020723196,0.32092510677054453,0.32092510677054453,0.0021441021371291767,0.004795092017407299,0.008370768229157582,0.008370768229157582
4,base,-sc,0.2036308623282235,0.7148883826705371,0.10490826106713201,0.10490826106713201,0.026684184329635527,0.08910970646985412,0.028941289733754986,0.028941289733754986
5,cp,-lc-external,0.685861421656397,0.1816259381388031,0.10246826802805692,0.10246826802805692,0.031081872031004248,0.06943304080333003,0.09366861446792087,0.07900266940464855
6,d2,-lc-internallazy,0.5916896636106512,0.1663998834569167,0.05889222916637782,0.05889222916637782,0.013557805498226336,0.015575479746280457,0.003675130208342453,0.003675130208342453
7,base,-lc-external,0.1093603249255143,0.8578303337281574,0.5103423773944101,0.5103423773944101,0.07177321690323304,0.07702857192366941,0.25648967854843424,0.25648967854843424
8,d2,-lc-external,0.4889448315586908,0.3681111733919636,0.2745547247368158,0.2745547247368158,0.20245270835948884,0.2385007261410724,0.23495835995807152,0.23413341495312007
9,cp,-lc-internal,0.0149978224443025,0.9607494653903816,0.2587978281247809,0.2587978281247809,0.003323390262899566,0.008603019049125915,0.012428385416658111,0.012428385416658111
10,base,-lc-internal,0.0560192976550319,0.861205050918756,0.2321620859372809,0.2321620859372809,0.017810497228080285,0.024682248249320526,0.015710449218741387,0.015710449218741387
11,cp,-sc,0.0709372721792217,0.8413930034006792,0.1303319467767674,0.1303319467767674,0.04120446948199109,0.0776845577278739,0.05099642719062599,0.05099642719062599
12,sam,-lc-internallazy,0.9366096842792752,0.0364342844663242,-0.012916852864872097,0.012916852864872097,0.0018998512331405415,0.0014322420795271004,0.00010253906249094169,0.00010253906249094169
13,sam,-lc-external,0.9534417582779564,0.011642026654327,-0.0017621042300806078,0.0017621042300806078,0.15516241785861384,0.03644641784771806,0.004658368991836594,0.004535631104630026
14,sam,-lc-internal,0.4597115574963674,0.0965798959236267,-0.025501488281469087,0.025501488281469087,0.37240438009791216,0.04800148628982595,0.011909179687491417,0.011909179687491417
15,sam,-sc,0.8745898651041067,0.0574999242692946,0.007953915364006997,0.007953915364006997,0.004144614495596512,0.04655905654211475,0.007586112487427524,0.007586112487427524
16,unet,-sc,0.2380982871763207,0.4520969429029924,0.056311561034579904,0.056311561034579904,0.11499429421069543,0.3165567153966301,0.046012068897290266,0.046012068897290266
17,unet,-lc-internal,0.3490729105590459,0.5528563226816751,-0.1477333404950108,0.1477333404950108,0.14554986540188966,0.10811422274448632,0.023293863932283054,0.023293863932283054
18,unet,-lc-internallazy,0.5072333788011741,0.7196137663739217,-0.25494932356799727,0.25494932356799727,0.006061780619999745,0.043685314789197516,0.007490641276032606,0.007490641276032606
19,unet,-lc-external,0.0794777486528856,0.8572340373213181,0.5196689742462992,0.5196689742462992,0.09207880640774772,0.14207412029950003,0.2666756781406748,0.2666756781406748
