,model(col),data(group),iou,relDelConf,absDelConf,absabsDelConf,iou_std,relDelConf_std,absDelConf_std,absabsDelConf_std
0,cp,-lc-internallazy_0shot,0.4857647016781256,1.0051673690765202,-0.3559421621096639,0.3559421621096639,0.016673313579053085,0.076721501194293,0.01603637695311594,0.01603637695311594
1,d2,-lc-internallazy_0shot,0.348351117531836,1.484245654717736,-0.5258306712242472,0.5258306712242472,0.0011798542535729182,0.09165490813791888,0.01600056966144925,0.01600056966144925
2,cp,-lc-internal_0shot,0.3223322445762406,1.490422099291857,-0.3999245026043859,0.3999245026043859,0.08869871273775408,0.1340809068055,0.020418294270824727,0.020418294270824727
3,d2,-lc-external_0shot,0.5154117181759466,0.861456301419385,-0.19181127774092221,0.19181127774092221,0.18904681992478412,0.9248115624958867,0.2861275326061963,0.17954716217110414
4,cp,-sc_0shot,0.2793673525631887,2.1712765988930944,-0.24079867863013368,0.24079867863013368,0.11790880409910715,1.6936128107031343,0.15909350225122348,0.15909350225122348
5,d2,-sc_0shot,0.1444248556739591,6.066503923416858,-0.756010419759691,0.756010419759691,0.04594129557058367,3.154226160448494,0.11237041397499774,0.11237041397499774
6,cp,-lc-external_0shot,0.6261040434365532,0.3065842764806581,0.05088731469631669,0.05088731469631669,0.0586298487659287,0.2048805526741973,0.18508021895572574,0.1149860574588472
7,d2,-lc-internal_0shot,0.2716018676988673,2.293976803443374,-0.6181203033856357,0.6181203033856357,0.012443251623206957,0.038593229716223254,0.03453613281250856,0.03453613281250856
8,sam,-sc_0shot,0.8745898651041067,0.0574999242692946,0.007953915364006997,0.007953915364006997,0.004144614495596512,0.04655905654211475,0.007586112487427524,0.007586112487427524
9,sam,-lc-internal_0shot,0.4597115574963674,0.0965798959236267,-0.025501488281469087,0.025501488281469087,0.37240438009791216,0.04800148628982595,0.011909179687491417,0.011909179687491417
10,sam,-lc-internallazy_0shot,0.9366096842792752,0.0364342844663242,-0.012916852864872097,0.012916852864872097,0.0018998512331405415,0.0014322420795271004,0.00010253906249094169,0.00010253906249094169
11,sam,-lc-external_0shot,0.9534417582779564,0.011642026654327,-0.0017621042300806078,0.0017621042300806078,0.15516241785861387,0.03644641784771805,0.004658368991836593,0.004535631104630028
12,unet,-lc-external_0shot,0.576664533757598,1.4803904928655345,-0.4233364662439659,0.4233364662439659,0.2706989212097355,1.8969110109376646,0.2706989212097355,0.2706989212097355
13,unet,-lc-internallazy_0shot,0.0,0.9999971800243764,0.35496156510387783,0.35496156510387783,0.0,8.849558280621395e-08,0.01113932291665759,0.01113932291665759
14,unet,-sc_0shot,0.0314339941535303,0.7095990727873022,0.11284028824812162,0.11284028824812162,0.009612344553246038,0.11173593838532171,0.05136223449401042,0.05136223449401042
15,unet,-lc-internal_0shot,0.2692765299478071,2.7193402742059165,-0.7307244700523023,0.7307244700523023,0.010524902343741399,0.14537358000255396,0.010524902343741371,0.010524902343741371
