,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std,label
1,0.26927656,0.42521358,1.083201,0.22984286,0.4052123,0.5322081,0.3570924,1103025.1,0.5921332,0,0.15593705,0.29011673,total,al,2.9802322e-08,0.32862654,0.8124548,0.116956264,0.09468511,0.33843523,0.17575714,592984.7,0.15828097,0.32862654,0.21941759,total,exact
3,0.26927656,0.44599825,1.0577484,0.25310877,0.38583833,0.57410306,0.39448127,1079669.8,0.59391123,1,0.17672172,0.28402546,total,al,2.9802322e-08,0.26582202,0.5433927,0.09221809,0.07146415,0.295544,0.12918347,464411.78,0.115864664,0.26582202,0.14567585,total,exact
5,0.26927656,0.4565548,0.88950217,0.30017713,0.39448208,0.6445158,0.45192528,1100323.2,0.6212756,2,0.18727827,0.23842528,total,al,2.9802322e-08,0.17942843,0.3785849,0.09351348,0.03853625,0.22153819,0.13664746,302015.62,0.07160325,0.17942843,0.10208375,total,exact
6,0.26927656,0.3686978,0.5473213,0.28074926,0.40401602,0.52939624,0.43534994,1240057.5,0.6471347,3,0.09942125,0.14068355,total,al,2.9802322e-08,0.18423994,0.55875796,0.05525624,0.03863494,0.19494879,0.07112266,330679.72,0.08818528,0.18423992,0.15503894,total,exact
9,0.26927656,0.38295412,0.7638329,0.28150547,0.36326784,0.56601244,0.42429385,1229252.8,0.6525981,4,0.1136776,0.20491824,total,al,2.9802322e-08,0.17750978,0.18329696,0.115286686,0.12314583,0.2537933,0.16745754,270375.78,0.045147184,0.17750977,0.049404778,total,exact
10,0.26927656,0.5067154,1.010856,0.3080172,0.38305718,0.6908439,0.46802267,1007707.1,0.59606516,5,0.23743889,0.27140105,total,al,2.9802322e-08,0.17492186,0.4284326,0.0543944,0.046851266,0.19482037,0.07085235,305543.38,0.07629176,0.17492186,0.11539658,total,exact
12,0.26927656,0.51461434,0.9425167,0.3234515,0.3829869,0.71382254,0.48831052,1003501.4,0.6005414,6,0.24533781,0.2530473,total,al,2.9802322e-08,0.136712,0.45369196,0.023553248,0.036342137,0.1360374,0.027478637,249291.75,0.06762059,0.13671201,0.12185199,total,exact
14,0.26927656,0.52437574,0.95039654,0.32255718,0.37610906,0.719275,0.4876361,983120.2,0.5937165,7,0.25509918,0.25509918,total,al,2.9802322e-08,0.11539359,0.42917043,0.01275208,0.031569056,0.10772277,0.014681093,213704.84,0.05907707,0.115393594,0.115393594,total,exact
17,0.26927656,0.35965288,0.3381717,0.34221038,0.44717064,0.59579813,0.509869,1306229.2,0.69194055,8,0.090376325,0.090376325,total,al,2.9802322e-08,0.031701148,0.1174977,0.0078642275,0.013226618,0.037589688,0.00873127,53705.855,0.012451998,0.03170115,0.03170115,total,exact
19,0.26927656,0.36282045,0.43423468,0.3172794,0.42975807,0.5705605,0.4807201,1281743.0,0.6751811,9,0.09354393,0.11486205,total,al,2.9802322e-08,0.0927364,0.23234642,0.033351284,0.026233518,0.121289216,0.03945676,148472.23,0.028860677,0.0927364,0.064476475,total,exact
