,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.5766645,0.22937357,0.512353,0.35479993,0.91963613,0.36590642,0.52300227,20606852.0,0.61597335,0,-0.34729093,0.34729093,total,rand,0.0,0.0159468,0.052517958,0.03041414,0.034380767,0.029673228,0.03407236,383104.38,0.021087255,0.015946802,0.015946802,total
1,0.5766645,0.23282592,0.52257365,0.34241492,0.88520175,0.35557798,0.50680625,20128106.0,0.60060894,0,-0.3438386,0.3438386,total,al,0.0,0.017720789,0.06606619,0.061090775,0.13093612,0.052617673,0.0735215,1776593.2,0.06297052,0.017720794,0.017720794,total
2,0.5766645,0.23935461,0.4821426,0.3724664,0.9246901,0.38402134,0.5417834,20630522.0,0.6268848,10,-0.33730993,0.33730993,total,al,0.0,0.021169718,0.036184825,0.035168897,0.014077679,0.036291137,0.038487367,152516.03,0.02111296,0.021169716,0.021169716,total
3,0.5766645,0.2287275,0.5033823,0.36635473,0.94446963,0.37450996,0.5359417,20892188.0,0.6265422,10,-0.34793702,0.34793702,total,rand,0.0,0.013949038,0.027918728,0.020018905,0.007917343,0.021395095,0.021109128,117038.69,0.010974844,0.013949039,0.013949039,total
4,0.5766645,0.23830695,0.4832129,0.37332377,0.92959195,0.3841917,0.5431923,20688832.0,0.62812895,20,-0.33835757,0.33835757,total,al,0.0,0.015860228,0.027899621,0.02522087,0.008085458,0.026328577,0.026492098,103222.56,0.014755185,0.015860226,0.015860226,total
5,0.5766645,0.22722587,0.5016006,0.36007792,0.93680173,0.36908656,0.5291931,20809454.0,0.6217888,20,-0.34943864,0.34943864,total,rand,0.0,0.012945818,0.022957986,0.019565128,0.008775966,0.020570848,0.021029647,117869.33,0.011161263,0.012945821,0.012945821,total
6,0.5766645,0.22580516,0.50491977,0.35969532,0.940252,0.3681545,0.52864826,20854400.0,0.62213457,30,-0.35085937,0.35085937,total,rand,0.0,0.015237324,0.025999127,0.02341764,0.006017951,0.02459179,0.025177862,92772.61,0.013292314,0.015237324,0.015237324,total
7,0.5766645,0.237623,0.48345262,0.37488234,0.9343497,0.3850258,0.54512054,20748112.0,0.6297749,30,-0.33904153,0.33904153,total,al,0.0,0.010240078,0.01745248,0.016409012,0.005103623,0.017043544,0.017529432,66074.78,0.009576442,0.010240075,0.010240075,total
8,0.5766645,0.23812084,0.48287612,0.376531,0.9361035,0.38650838,0.5468615,20766284.0,0.6309869,40,-0.33854368,0.33854368,total,al,0.0,0.011251902,0.02078475,0.016489837,0.0031624609,0.01760624,0.017561853,65391.867,0.009102756,0.0112519115,0.0112519115,total
9,0.5766645,0.22600356,0.50565505,0.36050138,0.9410114,0.36883134,0.52961624,20864164.0,0.6227168,40,-0.35066098,0.35066098,total,rand,0.0,0.012531362,0.023251768,0.020556549,0.0045028175,0.021180427,0.022312183,52576.684,0.011977645,0.012531358,0.012531358,total
10,0.5766645,0.23639376,0.48454255,0.3755022,0.93912685,0.38492596,0.54578745,20807732.0,0.630889,50,-0.34027076,0.34027076,total,al,0.0,0.011195987,0.020010207,0.015990557,0.003765076,0.01718985,0.01700798,74355.84,0.008685999,0.011195984,0.011195984,total
11,0.5766645,0.22489616,0.50715625,0.35671753,0.93713504,0.3654763,0.525686,20822066.0,0.6199547,50,-0.35176834,0.35176834,total,rand,0.0,0.009290991,0.017227959,0.014454999,0.00248326,0.015139148,0.015702803,40619.78,0.008208844,0.009290991,0.009290991,total
12,0.5766645,0.23023343,0.49628076,0.36787933,0.9425042,0.37631732,0.53772724,20868592.0,0.62712073,60,-0.3464311,0.3464311,total,al,0.0,0.008440056,0.015357634,0.014055123,0.0026979658,0.014442947,0.015092646,25262.826,0.008245861,0.008440051,0.008440051,total
13,0.5766645,0.23176472,0.4952278,0.3678901,0.9383006,0.37706453,0.5375903,20812596.0,0.6264512,60,-0.3448998,0.3448998,total,rand,0.0,0.013152181,0.024538372,0.019670382,0.004824547,0.020814914,0.021108534,79956.625,0.010959607,0.01315218,0.01315218,total
