,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.5766645,0.22937357,0.512353,0.35479993,0.91963613,0.36590642,0.52300227,20606852.0,0.61597335,0,-0.34729093,0.34729093,total,rand
1,0.5766645,0.23282592,0.52257365,0.34241492,0.88520175,0.35557798,0.50680625,20128106.0,0.60060894,0,-0.3438386,0.3438386,total,al
2,0.5766645,0.23935461,0.4821426,0.3724664,0.9246901,0.38402134,0.5417834,20630522.0,0.6268848,10,-0.33730993,0.33730993,total,al
3,0.5766645,0.2287275,0.5033823,0.36635473,0.94446963,0.37450996,0.5359417,20892188.0,0.6265422,10,-0.34793702,0.34793702,total,rand
4,0.5766645,0.23830695,0.4832129,0.37332377,0.92959195,0.3841917,0.5431923,20688832.0,0.62812895,20,-0.33835757,0.33835757,total,al
5,0.5766645,0.22722587,0.5016006,0.36007792,0.93680173,0.36908656,0.5291931,20809454.0,0.6217888,20,-0.34943864,0.34943864,total,rand
6,0.5766645,0.22580516,0.50491977,0.35969532,0.940252,0.3681545,0.52864826,20854400.0,0.62213457,30,-0.35085937,0.35085937,total,rand
7,0.5766645,0.237623,0.48345262,0.37488234,0.9343497,0.3850258,0.54512054,20748112.0,0.6297749,30,-0.33904153,0.33904153,total,al
8,0.5766645,0.23812084,0.48287612,0.376531,0.9361035,0.38650838,0.5468615,20766284.0,0.6309869,40,-0.33854368,0.33854368,total,al
9,0.5766645,0.22600356,0.50565505,0.36050138,0.9410114,0.36883134,0.52961624,20864164.0,0.6227168,40,-0.35066098,0.35066098,total,rand
10,0.5766645,0.23639376,0.48454255,0.3755022,0.93912685,0.38492596,0.54578745,20807732.0,0.630889,50,-0.34027076,0.34027076,total,al
11,0.5766645,0.22489616,0.50715625,0.35671753,0.93713504,0.3654763,0.525686,20822066.0,0.6199547,50,-0.35176834,0.35176834,total,rand
12,0.5766645,0.23023343,0.49628076,0.36787933,0.9425042,0.37631732,0.53772724,20868592.0,0.62712073,60,-0.3464311,0.3464311,total,al
13,0.5766645,0.23176472,0.4952278,0.3678901,0.9383006,0.37706453,0.5375903,20812596.0,0.6264512,60,-0.3448998,0.3448998,total,rand
14,0.5766645,0.22873223,0.5003982,0.36393932,0.9396968,0.37270698,0.5330845,20839040.0,0.624458,70,-0.34793228,0.34793228,total,rand
15,0.5766645,0.24148464,0.47610635,0.38346195,0.93914014,0.3932677,0.554025,20793460.0,0.63541895,70,-0.3351799,0.3351799,total,al
16,0.5766645,0.22699842,0.5014607,0.36029214,0.9377972,0.3691395,0.5294893,20822584.0,0.62207735,80,-0.34966612,0.34966612,total,al
17,0.5766645,0.23003562,0.49760455,0.36557302,0.9389299,0.3745277,0.5349352,20826142.0,0.6252545,80,-0.3466289,0.3466289,total,rand
18,0.5766645,0.23042953,0.49671906,0.36805186,0.942352,0.3765475,0.53789234,20865370.0,0.6271901,90,-0.346235,0.346235,total,al
19,0.5766645,0.23409836,0.49068195,0.37252665,0.9401328,0.38161892,0.5426082,20827494.0,0.62937033,90,-0.34256616,0.34256616,total,rand
20,0.5766645,0.24328253,0.47377977,0.38700297,0.940492,0.39674765,0.5578898,20804090.0,0.6376346,100,-0.33338198,0.33338198,total,al
21,0.5766645,0.22956379,0.49949247,0.36511415,0.93935406,0.3739395,0.5347854,20832894.0,0.62504804,100,-0.34710076,0.34710076,total,rand
22,0.5766645,0.22294223,0.51118886,0.35495353,0.93965864,0.36326307,0.5236324,20856546.0,0.61935604,110,-0.3537223,0.3537223,total,rand
23,0.5766645,0.23551121,0.48809442,0.37753046,0.9451911,0.38600725,0.547866,20884372.0,0.6330187,110,-0.34115332,0.34115332,total,al
24,0.5766645,0.23087518,0.49646464,0.36596033,0.9370268,0.37516925,0.53577846,20802250.0,0.62515485,120,-0.34578937,0.34578937,total,rand
25,0.5766645,0.23193017,0.4927563,0.3705961,0.94277394,0.37915495,0.5405939,20865520.0,0.6286967,120,-0.34473437,0.34473437,total,al
26,0.5766645,0.23377757,0.49178505,0.37353104,0.9427813,0.3822045,0.5436977,20861000.0,0.63036644,130,-0.34288698,0.34288698,total,al
27,0.5766645,0.23010032,0.4975451,0.36492693,0.9373884,0.37404776,0.53452647,20808768.0,0.6246363,130,-0.3465642,0.3465642,total,rand
28,0.5766645,0.23161916,0.49483195,0.3689435,0.9405551,0.3777763,0.53870946,20840890.0,0.6274177,140,-0.3450454,0.3450454,total,rand
29,0.5766645,0.23480427,0.48891807,0.37427637,0.94138736,0.3832576,0.54452705,20839658.0,0.6305543,140,-0.34186023,0.34186023,total,al
30,0.5766645,0.22319874,0.5112804,0.3561347,0.9412162,0.3642729,0.5249678,20873126.0,0.62026423,150,-0.3534658,0.3534658,total,rand
31,0.5766645,0.23074484,0.49467295,0.36861092,0.9424675,0.37710777,0.5385795,20865762.0,0.627521,150,-0.34591967,0.34591967,total,al
32,0.5766645,0.22059104,0.51511204,0.35071483,0.93852746,0.35899985,0.5189219,20851090.0,0.6167904,160,-0.35607347,0.35607347,total,rand
33,0.5766645,0.22429207,0.5063611,0.3587373,0.94280213,0.3667148,0.5279006,20889148.0,0.6219873,160,-0.3523725,0.3523725,total,al
34,0.5766645,0.24518187,0.46967903,0.39158252,0.9433171,0.40105677,0.5624815,20833884.0,0.640705,170,-0.33148265,0.33148265,total,al
35,0.5766645,0.22658372,0.50347865,0.36085248,0.9400822,0.36937046,0.53010285,20850464.0,0.6227585,170,-0.35008082,0.35008082,total,rand
36,0.5766645,0.23235568,0.49324408,0.37194258,0.9440726,0.38036707,0.5419246,20879436.0,0.62966913,180,-0.3443088,0.3443088,total,al
37,0.5766645,0.22139187,0.5133374,0.35287666,0.9402426,0.36098427,0.5214114,20868570.0,0.61827826,180,-0.35527268,0.35527268,total,rand
