,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.0159468,0.052517958,0.03041414,0.034380767,0.029673228,0.03407236,383104.38,0.021087255,0,0.015946802,0.015946802,total,rand
1,0.0,0.017720789,0.06606619,0.061090775,0.13093612,0.052617673,0.0735215,1776593.2,0.06297052,0,0.017720794,0.017720794,total,al
2,0.0,0.021169718,0.036184825,0.035168897,0.014077679,0.036291137,0.038487367,152516.03,0.02111296,10,0.021169716,0.021169716,total,al
3,0.0,0.013949038,0.027918728,0.020018905,0.007917343,0.021395095,0.021109128,117038.69,0.010974844,10,0.013949039,0.013949039,total,rand
4,0.0,0.015860228,0.027899621,0.02522087,0.008085458,0.026328577,0.026492098,103222.56,0.014755185,20,0.015860226,0.015860226,total,al
5,0.0,0.012945818,0.022957986,0.019565128,0.008775966,0.020570848,0.021029647,117869.33,0.011161263,20,0.012945821,0.012945821,total,rand
6,0.0,0.015237324,0.025999127,0.02341764,0.006017951,0.02459179,0.025177862,92772.61,0.013292314,30,0.015237324,0.015237324,total,rand
7,0.0,0.010240078,0.01745248,0.016409012,0.005103623,0.017043544,0.017529432,66074.78,0.009576442,30,0.010240075,0.010240075,total,al
8,0.0,0.011251902,0.02078475,0.016489837,0.0031624609,0.01760624,0.017561853,65391.867,0.009102756,40,0.0112519115,0.0112519115,total,al
9,0.0,0.012531362,0.023251768,0.020556549,0.0045028175,0.021180427,0.022312183,52576.684,0.011977645,40,0.012531358,0.012531358,total,rand
10,0.0,0.011195987,0.020010207,0.015990557,0.003765076,0.01718985,0.01700798,74355.84,0.008685999,50,0.011195984,0.011195984,total,al
11,0.0,0.009290991,0.017227959,0.014454999,0.00248326,0.015139148,0.015702803,40619.78,0.008208844,50,0.009290991,0.009290991,total,rand
12,0.0,0.008440056,0.015357634,0.014055123,0.0026979658,0.014442947,0.015092646,25262.826,0.008245861,60,0.008440051,0.008440051,total,al
13,0.0,0.013152181,0.024538372,0.019670382,0.004824547,0.020814914,0.021108534,79956.625,0.010959607,60,0.01315218,0.01315218,total,rand
14,0.0,0.01772558,0.030994466,0.027142402,0.0039820885,0.028604662,0.028866135,78672.46,0.015322343,70,0.017725581,0.017725581,total,rand
15,0.0,0.013523609,0.023442315,0.020784726,0.0028849554,0.021908455,0.021695985,58135.125,0.011787698,70,0.013523606,0.013523606,total,al
16,0.0,0.011293282,0.02025866,0.017319398,0.0049862443,0.018192584,0.018682176,72337.83,0.009829878,80,0.011293278,0.011293278,total,al
17,0.0,0.016032256,0.026280917,0.024671827,0.004845663,0.025927039,0.026447203,80370.29,0.013965424,80,0.016032254,0.016032254,total,rand
18,0.0,0.009647859,0.017719327,0.014929491,0.002257,0.015655847,0.015978305,41030.48,0.008440062,90,0.009647859,0.009647859,total,al
19,0.0,0.011363388,0.020424284,0.016966753,0.003024318,0.01798246,0.018185444,60634.195,0.0094223395,90,0.01136339,0.01136339,total,rand
