,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.15109125,0.062467933,0.54026556,0.3174122,0.83347386,0.34149954,0.48013395,659061.0,0.8896371,0,-0.088623315,0.088623315,total,rand,1.4901161e-08,0.013991823,0.098490454,0.044691924,0.045410044,0.059201956,0.05129961,4380.463,0.005128555,0.013991825,0.013991825,total
1,0.15109125,0.07529015,0.4709673,0.35462976,0.80702513,0.39483434,0.51910853,655314.6,0.89293164,0,-0.075801104,0.075801104,total,al,1.4901161e-08,0.023413764,0.13844238,0.07377718,0.05707413,0.099574216,0.08221584,7126.7334,0.008290411,0.023413762,0.023413762,total
2,0.15109125,0.063840725,0.53813803,0.3192594,0.83092946,0.34587413,0.48141938,658501.2,0.88958615,1,-0.08725053,0.08725053,total,rand,1.4901161e-08,0.01751507,0.118173055,0.05496905,0.05235924,0.07390382,0.06192703,5220.6943,0.0055434364,0.017515069,0.017515069,total
3,0.15109125,0.084173694,0.40225267,0.395019,0.80310076,0.44266433,0.5631866,654011.6,0.8985015,1,-0.06691756,0.06691756,total,al,1.4901161e-08,0.019702053,0.12686962,0.06314938,0.044728577,0.085134834,0.06946231,5843.322,0.0072913673,0.01970205,0.01970205,total
4,0.15109125,0.06704684,0.516363,0.337199,0.8248683,0.36457083,0.5032339,658201.4,0.8920299,2,-0.084044404,0.084044404,total,rand,1.4901161e-08,0.0100996895,0.071556486,0.036177225,0.028120724,0.045659516,0.040743995,2776.4714,0.0042556226,0.010099689,0.010099689,total
5,0.15109125,0.08850681,0.37881878,0.41185063,0.7970512,0.46337667,0.5827749,653065.0,0.90042734,2,-0.062584445,0.062584445,total,al,1.4901161e-08,0.01375897,0.08640327,0.030052127,0.041221667,0.049926445,0.030273343,5032.579,0.0025296023,0.0137589695,0.0137589695,total
6,0.15109125,0.08994851,0.36975187,0.41231236,0.79008174,0.4664762,0.58327425,652299.5,0.8999221,3,-0.06114275,0.06114275,total,al,1.4901161e-08,0.014061581,0.08769178,0.029113034,0.044365656,0.048987668,0.02949788,5493.929,0.0030732527,0.014061582,0.014061582,total
7,0.15109125,0.071701035,0.48661247,0.35797223,0.82283413,0.389024,0.52676314,657446.8,0.894765,3,-0.07939022,0.07939022,total,rand,1.4901161e-08,0.008324784,0.062120143,0.02389021,0.030460015,0.033133477,0.025709989,2838.8936,0.002623653,0.008324781,0.008324781,total
8,0.15109125,0.086832285,0.3788016,0.40063047,0.7902131,0.45103303,0.57150924,652915.2,0.8983717,4,-0.06425897,0.06425897,total,al,1.4901161e-08,0.01241564,0.09165806,0.027651962,0.040776227,0.044413894,0.02846491,4730.268,0.0028760547,0.012415639,0.012415639,total
9,0.15109125,0.07021063,0.49608833,0.35065305,0.82303745,0.38080254,0.51825744,657642.0,0.893771,4,-0.08088063,0.08088063,total,rand,1.4901161e-08,0.010365882,0.07424903,0.034710262,0.02873457,0.045487307,0.03802381,2922.7356,0.0038264145,0.010365882,0.010365882,total
10,0.15109125,0.085694745,0.38323933,0.4025282,0.7962424,0.45030755,0.5732414,653723.6,0.8992901,5,-0.06539651,0.06539651,total,al,1.4901161e-08,0.010501138,0.07948671,0.032393426,0.021062572,0.045467086,0.032991573,2953.7288,0.0035105648,0.010501136,0.010501136,total
11,0.15109125,0.07093708,0.4927887,0.35418493,0.8230448,0.38501218,0.52169114,657570.9,0.8943167,5,-0.08015418,0.08015418,total,rand,1.4901161e-08,0.011677645,0.08648146,0.041813504,0.023987612,0.05393191,0.045545608,2951.545,0.0049602985,0.011677645,0.011677645,total
12,0.15109125,0.0875024,0.37016767,0.40887433,0.7942336,0.458609,0.5799931,653288.4,0.8999909,6,-0.06358886,0.06358886,total,al,1.4901161e-08,0.008735208,0.06654034,0.024494406,0.028011125,0.03519633,0.024925813,2934.5603,0.0028466436,0.008735208,0.008735208,total
13,0.15109125,0.07257892,0.48138437,0.3635332,0.8244898,0.3949934,0.53277373,657465.7,0.8956909,6,-0.078512326,0.078512326,total,rand,1.4901161e-08,0.007847766,0.059116382,0.023890944,0.022405567,0.03281317,0.025584538,2364.5376,0.0023773743,0.007847767,0.007847767,total
14,0.15109125,0.07152949,0.4914754,0.36053616,0.8249381,0.39043197,0.5297853,657749.0,0.895362,7,-0.079561755,0.079561755,total,rand,1.4901161e-08,0.003180874,0.021538982,0.016052632,0.019400787,0.017395083,0.017428933,1243.3727,0.0029490066,0.0031808757,0.0031808757,total
15,0.15109125,0.08112105,0.4200769,0.3919095,0.80948657,0.43316278,0.562452,655283.3,0.8986829,7,-0.069970205,0.069970205,total,al,1.4901161e-08,0.009446883,0.0721615,0.029732468,0.025957692,0.040284775,0.031489227,2801.4404,0.0031985098,0.009446884,0.009446884,total
16,0.15109125,0.071422815,0.49282274,0.36540976,0.83434546,0.39422497,0.53487474,658283.6,0.89661485,8,-0.07966845,0.07966845,total,rand,1.4901161e-08,0.004978583,0.03436767,0.021321686,0.011118713,0.025369262,0.023251697,1092.4501,0.0029082503,0.0049785823,0.0049785823,total
17,0.15109125,0.07482705,0.46272588,0.3740224,0.82296264,0.40715438,0.544108,657142.7,0.8971176,8,-0.0762642,0.0762642,total,al,1.4901161e-08,0.0055638254,0.04541653,0.020026388,0.015181167,0.025418395,0.021358632,1567.0859,0.0025463745,0.0055638254,0.0055638254,total
18,0.15109125,0.07199006,0.4859901,0.36492983,0.8292178,0.3948562,0.53447044,657912.5,0.8962383,9,-0.0791012,0.0791012,total,rand,1.4901161e-08,0.004778435,0.038183093,0.017969156,0.009929085,0.022633797,0.019168375,1169.6013,0.0022315593,0.004778434,0.004778434,total
19,0.15109125,0.07486381,0.46430644,0.37638432,0.82589227,0.40901342,0.5467665,657334.7,0.89764273,9,-0.07622746,0.07622746,total,al,1.4901161e-08,0.0038430388,0.032871824,0.0139547605,0.01167487,0.017612865,0.01484547,1113.1993,0.0018443989,0.0038430393,0.0038430393,total
