,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.15109125,0.062467933,0.54026556,0.3174122,0.83347386,0.34149954,0.48013395,659061.0,0.8896371,0,-0.088623315,0.088623315,total,rand
1,0.15109125,0.07529015,0.4709673,0.35462976,0.80702513,0.39483434,0.51910853,655314.6,0.89293164,0,-0.075801104,0.075801104,total,al
2,0.15109125,0.063840725,0.53813803,0.3192594,0.83092946,0.34587413,0.48141938,658501.2,0.88958615,1,-0.08725053,0.08725053,total,rand
3,0.15109125,0.084173694,0.40225267,0.395019,0.80310076,0.44266433,0.5631866,654011.6,0.8985015,1,-0.06691756,0.06691756,total,al
4,0.15109125,0.06704684,0.516363,0.337199,0.8248683,0.36457083,0.5032339,658201.4,0.8920299,2,-0.084044404,0.084044404,total,rand
5,0.15109125,0.08850681,0.37881878,0.41185063,0.7970512,0.46337667,0.5827749,653065.0,0.90042734,2,-0.062584445,0.062584445,total,al
6,0.15109125,0.08994851,0.36975187,0.41231236,0.79008174,0.4664762,0.58327425,652299.5,0.8999221,3,-0.06114275,0.06114275,total,al
7,0.15109125,0.071701035,0.48661247,0.35797223,0.82283413,0.389024,0.52676314,657446.8,0.894765,3,-0.07939022,0.07939022,total,rand
8,0.15109125,0.086832285,0.3788016,0.40063047,0.7902131,0.45103303,0.57150924,652915.2,0.8983717,4,-0.06425897,0.06425897,total,al
9,0.15109125,0.07021063,0.49608833,0.35065305,0.82303745,0.38080254,0.51825744,657642.0,0.893771,4,-0.08088063,0.08088063,total,rand
10,0.15109125,0.085694745,0.38323933,0.4025282,0.7962424,0.45030755,0.5732414,653723.6,0.8992901,5,-0.06539651,0.06539651,total,al
11,0.15109125,0.07093708,0.4927887,0.35418493,0.8230448,0.38501218,0.52169114,657570.9,0.8943167,5,-0.08015418,0.08015418,total,rand
12,0.15109125,0.0875024,0.37016767,0.40887433,0.7942336,0.458609,0.5799931,653288.4,0.8999909,6,-0.06358886,0.06358886,total,al
13,0.15109125,0.07257892,0.48138437,0.3635332,0.8244898,0.3949934,0.53277373,657465.7,0.8956909,6,-0.078512326,0.078512326,total,rand
14,0.15109125,0.07152949,0.4914754,0.36053616,0.8249381,0.39043197,0.5297853,657749.0,0.895362,7,-0.079561755,0.079561755,total,rand
15,0.15109125,0.08112105,0.4200769,0.3919095,0.80948657,0.43316278,0.562452,655283.3,0.8986829,7,-0.069970205,0.069970205,total,al
16,0.15109125,0.071422815,0.49282274,0.36540976,0.83434546,0.39422497,0.53487474,658283.6,0.89661485,8,-0.07966845,0.07966845,total,rand
17,0.15109125,0.07482705,0.46272588,0.3740224,0.82296264,0.40715438,0.544108,657142.7,0.8971176,8,-0.0762642,0.0762642,total,al
18,0.15109125,0.07199006,0.4859901,0.36492983,0.8292178,0.3948562,0.53447044,657912.5,0.8962383,9,-0.0791012,0.0791012,total,rand
19,0.15109125,0.07486381,0.46430644,0.37638432,0.82589227,0.40901342,0.5467665,657334.7,0.89764273,9,-0.07622746,0.07622746,total,al
