,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,1.4901161e-08,0.013991823,0.098490454,0.044691924,0.045410044,0.059201956,0.05129961,4380.463,0.005128555,0,0.013991825,0.013991825,total,rand
1,1.4901161e-08,0.023413764,0.13844238,0.07377718,0.05707413,0.099574216,0.08221584,7126.7334,0.008290411,0,0.023413762,0.023413762,total,al
2,1.4901161e-08,0.01751507,0.118173055,0.05496905,0.05235924,0.07390382,0.06192703,5220.6943,0.0055434364,1,0.017515069,0.017515069,total,rand
3,1.4901161e-08,0.019702053,0.12686962,0.06314938,0.044728577,0.085134834,0.06946231,5843.322,0.0072913673,1,0.01970205,0.01970205,total,al
4,1.4901161e-08,0.0100996895,0.071556486,0.036177225,0.028120724,0.045659516,0.040743995,2776.4714,0.0042556226,2,0.010099689,0.010099689,total,rand
5,1.4901161e-08,0.01375897,0.08640327,0.030052127,0.041221667,0.049926445,0.030273343,5032.579,0.0025296023,2,0.0137589695,0.0137589695,total,al
6,1.4901161e-08,0.014061581,0.08769178,0.029113034,0.044365656,0.048987668,0.02949788,5493.929,0.0030732527,3,0.014061582,0.014061582,total,al
7,1.4901161e-08,0.008324784,0.062120143,0.02389021,0.030460015,0.033133477,0.025709989,2838.8936,0.002623653,3,0.008324781,0.008324781,total,rand
8,1.4901161e-08,0.01241564,0.09165806,0.027651962,0.040776227,0.044413894,0.02846491,4730.268,0.0028760547,4,0.012415639,0.012415639,total,al
9,1.4901161e-08,0.010365882,0.07424903,0.034710262,0.02873457,0.045487307,0.03802381,2922.7356,0.0038264145,4,0.010365882,0.010365882,total,rand
10,1.4901161e-08,0.010501138,0.07948671,0.032393426,0.021062572,0.045467086,0.032991573,2953.7288,0.0035105648,5,0.010501136,0.010501136,total,al
11,1.4901161e-08,0.011677645,0.08648146,0.041813504,0.023987612,0.05393191,0.045545608,2951.545,0.0049602985,5,0.011677645,0.011677645,total,rand
12,1.4901161e-08,0.008735208,0.06654034,0.024494406,0.028011125,0.03519633,0.024925813,2934.5603,0.0028466436,6,0.008735208,0.008735208,total,al
13,1.4901161e-08,0.007847766,0.059116382,0.023890944,0.022405567,0.03281317,0.025584538,2364.5376,0.0023773743,6,0.007847767,0.007847767,total,rand
14,1.4901161e-08,0.003180874,0.021538982,0.016052632,0.019400787,0.017395083,0.017428933,1243.3727,0.0029490066,7,0.0031808757,0.0031808757,total,rand
15,1.4901161e-08,0.009446883,0.0721615,0.029732468,0.025957692,0.040284775,0.031489227,2801.4404,0.0031985098,7,0.009446884,0.009446884,total,al
16,1.4901161e-08,0.004978583,0.03436767,0.021321686,0.011118713,0.025369262,0.023251697,1092.4501,0.0029082503,8,0.0049785823,0.0049785823,total,rand
17,1.4901161e-08,0.0055638254,0.04541653,0.020026388,0.015181167,0.025418395,0.021358632,1567.0859,0.0025463745,8,0.0055638254,0.0055638254,total,al
18,1.4901161e-08,0.004778435,0.038183093,0.017969156,0.009929085,0.022633797,0.019168375,1169.6013,0.0022315593,9,0.004778434,0.004778434,total,rand
19,1.4901161e-08,0.0038430388,0.032871824,0.0139547605,0.01167487,0.017612865,0.01484547,1113.1993,0.0018443989,9,0.0038430393,0.0038430393,total,al
