Step,Method,Value
2,al,96.5
2,al,201.0
2,al,69.0
2,al,42.0
2,al,167.0
2,al,161.0
2,al,163.5
2,al,44.0
2,al,142.0
2,al,150.5
2,rand,15.0
2,rand,106.5
2,rand,128.0
2,rand,117.5
2,rand,33.5
2,rand,85.5
2,rand,27.0
2,rand,74.0
2,rand,131.5
2,rand,51.5
3,al,206.0
3,al,61.0
3,al,206.0
3,al,32.0
3,al,61.0
3,al,206.0
3,al,145.0
3,al,145.0
3,al,216.0
3,al,206.0
3,rand,128.0
3,rand,108.0
3,rand,7.0
3,rand,216.0
3,rand,117.0
3,rand,32.0
3,rand,50.0
3,rand,67.0
3,rand,32.0
3,rand,47.0
4,al,81.0
4,al,56.0
4,al,29.0
4,al,88.0
4,al,32.0
4,al,117.0
4,al,32.0
4,al,61.0
4,al,155.0
4,al,145.0
4,rand,10.0
4,rand,47.0
4,rand,121.0
4,rand,88.0
4,rand,125.0
4,rand,88.0
4,rand,68.0
4,rand,56.0
4,rand,155.0
4,rand,20.0
5,al,47.0
5,al,88.0
5,al,32.0
5,al,11.0
5,al,88.0
5,al,11.0
5,al,88.0
5,al,29.0
5,al,67.0
5,al,32.0
5,rand,216.0
5,rand,145.0
5,rand,89.0
5,rand,50.0
5,rand,3.0
5,rand,79.0
5,rand,88.0
5,rand,39.0
5,rand,99.0
5,rand,3.0
6,al,49.0
6,al,99.0
6,al,67.0
6,al,20.0
6,al,9.0
6,al,20.0
6,al,11.0
6,al,88.0
6,al,99.0
6,al,88.0
6,rand,108.0
6,rand,177.0
6,rand,8.0
6,rand,17.0
6,rand,50.0
6,rand,47.0
6,rand,47.0
6,rand,128.0
6,rand,11.0
6,rand,8.0
7,al,167.0
7,al,20.0
7,al,11.0
7,al,17.0
7,al,17.0
7,al,30.0
7,al,20.0
7,al,9.0
7,al,88.0
7,al,11.0
7,rand,9.0
7,rand,96.0
7,rand,17.0
7,rand,56.0
7,rand,17.0
7,rand,61.0
7,rand,145.0
7,rand,10.0
7,rand,78.0
7,rand,39.0
8,al,20.0
8,al,30.0
8,al,9.0
8,al,47.0
8,al,47.0
8,al,47.0
8,al,17.0
8,al,30.0
8,al,9.0
8,al,50.0
8,rand,88.0
8,rand,71.0
8,rand,108.0
8,rand,9.0
8,rand,32.0
8,rand,128.0
8,rand,177.0
8,rand,20.0
8,rand,121.0
8,rand,128.0
9,al,155.0
9,al,47.0
9,al,17.0
9,al,7.0
9,al,118.0
9,al,91.0
9,al,47.0
9,al,47.0
9,al,17.0
9,al,30.0
9,rand,167.0
9,rand,118.0
9,rand,128.0
9,rand,17.0
9,rand,167.0
9,rand,68.0
9,rand,88.0
9,rand,71.0
9,rand,85.0
9,rand,206.0
10,al,56.0
10,al,40.0
10,al,40.0
10,al,111.0
10,al,111.0
10,al,20.0
10,al,118.0
10,al,40.0
10,al,71.0
10,al,17.0
10,rand,68.0
10,rand,39.0
10,rand,99.0
10,rand,71.0
10,rand,10.0
10,rand,118.0
10,rand,117.0
10,rand,40.0
10,rand,78.0
10,rand,85.0
11,al,11.0
11,al,131.0
11,al,131.0
11,al,20.0
11,al,131.0
11,al,111.0
11,al,20.0
11,al,131.0
11,al,111.0
11,al,71.0
11,rand,43.0
11,rand,99.0
11,rand,32.0
11,rand,111.0
11,rand,98.0
11,rand,128.0
11,rand,216.0
11,rand,56.0
11,rand,30.0
11,rand,131.0
