,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.35496256,0.29019135,0.39382848,0.17682979,0.3194956,0.2933622,0.290531,1127988.5,0.5631123,0,-0.06477122,0.12526584,total,rand
1,0.35496256,0.22606984,0.44016075,0.14793018,0.31601208,0.22731614,0.24911913,1227957.8,0.580346,0,-0.12889272,0.15409866,total,al
2,0.35496256,0.37682343,0.40695968,0.21397455,0.3264646,0.38473123,0.34400302,994787.8,0.54134536,1,0.02186086,0.14106788,total,rand
3,0.35496256,0.53077424,0.5477708,0.26582453,0.35984966,0.53792465,0.41765213,750077.3,0.49615034,1,0.17581174,0.19090688,total,al
4,0.35496256,0.5358512,0.5907539,0.2716072,0.36160818,0.54559505,0.425447,744291.7,0.49651885,2,0.18088861,0.19078219,total,al
5,0.35496256,0.49180046,0.5997821,0.25616443,0.36152712,0.4988955,0.4051382,811812.1,0.5074164,2,0.13683791,0.19357046,total,rand
6,0.35496256,0.36751667,0.5299377,0.20190611,0.2890846,0.37438512,0.32155433,1008634.6,0.5433072,3,0.0125541,0.16026917,total,rand
7,0.35496256,0.51302993,0.65894586,0.25701207,0.32559848,0.52252257,0.3996106,780249.8,0.5029604,3,0.15806736,0.22905967,total,al
8,0.35496256,0.5377544,0.57405484,0.2754747,0.3613734,0.5463156,0.43143892,740242.9,0.4951272,4,0.18279186,0.1834409,total,al
9,0.35496256,0.4413816,0.3654848,0.24762733,0.3628977,0.45047513,0.39578605,893481.8,0.5234605,4,0.08641901,0.113825396,total,rand
10,0.35496256,0.47094002,0.58400285,0.24965277,0.36161768,0.47893256,0.39646918,845664.0,0.5141047,5,0.11597743,0.17335069,total,al
11,0.35496256,0.41142815,0.41234493,0.23959403,0.36490828,0.42306972,0.38505715,943188.0,0.5339581,5,0.056465596,0.10237515,total,rand
12,0.35496256,0.4829266,0.45403987,0.25698906,0.3621239,0.49189043,0.4071606,827509.6,0.5113172,6,0.12796405,0.14943805,total,al
13,0.35496256,0.42604762,0.3526482,0.242711,0.3639692,0.43703443,0.38868573,919441.5,0.5292525,6,0.07108503,0.10853946,total,rand
14,0.35496256,0.48440766,0.43132672,0.26229843,0.36258888,0.49450874,0.41496658,826153.9,0.5116949,7,0.1294451,0.13289379,total,al
15,0.35496256,0.4254438,0.23736766,0.2444038,0.36283922,0.43471402,0.3922042,918901.2,0.5282091,7,0.070481226,0.07653604,total,rand
16,0.35496256,0.474451,0.44979793,0.2563319,0.3600522,0.48066473,0.40725064,838546.4,0.51182336,8,0.11948842,0.13287067,total,al
17,0.35496256,0.4461875,0.50488555,0.23424797,0.32580978,0.45429182,0.37049758,885000.3,0.5213641,8,0.09122492,0.16674039,total,rand
18,0.35496256,0.42940706,0.31483263,0.24021141,0.35795397,0.43291226,0.3863619,907589.3,0.5229667,9,0.07444448,0.08695023,total,rand
19,0.35496256,0.3387616,0.51328343,0.19383726,0.29169035,0.34760946,0.3104316,1055945.2,0.55305356,9,-0.016200986,0.1616922,total,al
20,0.35496256,0.35928598,0.14906394,0.22112295,0.3617006,0.36622167,0.36161608,1021740.9,0.5457424,10,0.004323429,0.049170732,total,rand
21,0.35496256,0.4028473,0.3733668,0.22807336,0.3585189,0.41073036,0.36532184,953512.1,0.53377897,10,0.047884706,0.11259097,total,al
22,0.35496256,0.4308285,0.36518043,0.24319851,0.36344054,0.44008774,0.38908863,910355.5,0.5266393,11,0.07586595,0.11755879,total,al
23,0.35496256,0.35232982,0.4992029,0.19797319,0.32947773,0.35897857,0.31801537,1032517.8,0.5475565,11,-0.002632752,0.17334443,total,rand
24,0.35496256,0.37828,0.32867593,0.21842936,0.32697916,0.38732007,0.35076463,993466.5,0.5417267,12,0.023317445,0.10529878,total,rand
25,0.35496256,0.40251842,0.2075336,0.2364809,0.36215618,0.41041765,0.3820014,954047.4,0.53388584,12,0.047555886,0.059763007,total,al
26,0.35496256,0.4595724,0.5002934,0.24167907,0.32387942,0.46574277,0.38083056,862094.8,0.5161085,13,0.10460985,0.17560217,total,rand
27,0.35496256,0.45974192,0.3601265,0.25372875,0.3611623,0.4675365,0.40403843,863243.0,0.51721245,13,0.10477936,0.11950487,total,al
