,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.35496256,0.29019135,0.39382848,0.17682979,0.3194956,0.2933622,0.290531,1127988.5,0.5631123,0,-0.06477122,0.12526584,total,rand,0.0,0.15610878,0.2874349,0.086235054,0.10702501,0.1602962,0.13654937,243944.77,0.042552553,0.15610878,0.11346246,total
1,0.35496256,0.22606984,0.44016075,0.14793018,0.31601208,0.22731614,0.24911913,1227957.8,0.580346,0,-0.12889272,0.15409866,total,al,0.0,0.1366617,0.2953725,0.078322455,0.10681035,0.13803037,0.12644957,215608.86,0.038965892,0.13666171,0.10744004,total
2,0.35496256,0.37682343,0.40695968,0.21397455,0.3264646,0.38473123,0.34400302,994787.8,0.54134536,1,0.02186086,0.14106788,total,rand,0.0,0.18443576,0.3394849,0.08225111,0.108881995,0.1872389,0.12620722,290007.94,0.05165461,0.18443576,0.12080687,total
3,0.35496256,0.53077424,0.5477708,0.26582453,0.35984966,0.53792465,0.41765213,750077.3,0.49615034,1,0.17581174,0.19090688,total,al,0.0,0.20348407,0.52753556,0.04907231,0.0046263128,0.20509672,0.06064645,321270.53,0.05807418,0.20348407,0.18939404,total
4,0.35496256,0.5358512,0.5907539,0.2716072,0.36160818,0.54559505,0.425447,744291.7,0.49651885,2,0.18088861,0.19078219,total,al,0.0,0.16343358,0.38379744,0.04214166,0.0043900968,0.1649205,0.05253116,257927.2,0.04661364,0.16343358,0.15176748,total
5,0.35496256,0.49180046,0.5997821,0.25616443,0.36152712,0.4988955,0.4051382,811812.1,0.5074164,2,0.13683791,0.19357046,total,rand,0.0,0.16949528,0.33294877,0.05113729,0.006612716,0.16769202,0.06667147,270475.06,0.050818875,0.16949528,0.09991866,total
6,0.35496256,0.36751667,0.5299377,0.20190611,0.2890846,0.37438512,0.32155433,1008634.6,0.5433072,3,0.0125541,0.16026917,total,rand,0.0,0.21300238,0.39182514,0.10527017,0.14458883,0.21789391,0.16497403,333469.28,0.058457173,0.2130024,0.14085957,total
7,0.35496256,0.51302993,0.65894586,0.25701207,0.32559848,0.52252257,0.3996106,780249.8,0.5029604,3,0.15806736,0.22905967,total,al,0.0,0.18511896,0.22949691,0.08709644,0.1085926,0.18754113,0.13453704,291458.38,0.052187484,0.18511896,0.082377076,total
8,0.35496256,0.5377544,0.57405484,0.2754747,0.3613734,0.5463156,0.43143892,740242.9,0.4951272,4,0.18279186,0.1834409,total,al,0.0,0.09734724,0.21450044,0.022954836,0.0052885115,0.09249976,0.02873347,158787.0,0.032073498,0.097347245,0.096118584,total
9,0.35496256,0.4413816,0.3654848,0.24762733,0.3628977,0.45047513,0.39578605,893481.8,0.5234605,4,0.08641901,0.113825396,total,rand,0.0,0.10764189,0.19303474,0.033509012,0.004258228,0.10685004,0.043599557,171455.22,0.032010157,0.1076419,0.078094825,total
10,0.35496256,0.47094002,0.58400285,0.24965277,0.36161768,0.47893256,0.39646918,845664.0,0.5141047,5,0.11597743,0.17335069,total,al,0.0,0.18329944,0.35929906,0.05442377,0.0041979933,0.1843433,0.07093227,289756.56,0.05259916,0.18329942,0.13038014,total
