,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.15610878,0.2874349,0.086235054,0.10702501,0.1602962,0.13654937,243944.77,0.042552553,0,0.15610878,0.11346246,total,rand
1,0.0,0.1366617,0.2953725,0.078322455,0.10681035,0.13803037,0.12644957,215608.86,0.038965892,0,0.13666171,0.10744004,total,al
2,0.0,0.18443576,0.3394849,0.08225111,0.108881995,0.1872389,0.12620722,290007.94,0.05165461,1,0.18443576,0.12080687,total,rand
3,0.0,0.20348407,0.52753556,0.04907231,0.0046263128,0.20509672,0.06064645,321270.53,0.05807418,1,0.20348407,0.18939404,total,al
4,0.0,0.16343358,0.38379744,0.04214166,0.0043900968,0.1649205,0.05253116,257927.2,0.04661364,2,0.16343358,0.15176748,total,al
5,0.0,0.16949528,0.33294877,0.05113729,0.006612716,0.16769202,0.06667147,270475.06,0.050818875,2,0.16949528,0.09991866,total,rand
6,0.0,0.21300238,0.39182514,0.10527017,0.14458883,0.21789391,0.16497403,333469.28,0.058457173,3,0.2130024,0.14085957,total,rand
7,0.0,0.18511896,0.22949691,0.08709644,0.1085926,0.18754113,0.13453704,291458.38,0.052187484,3,0.18511896,0.082377076,total,al
8,0.0,0.09734724,0.21450044,0.022954836,0.0052885115,0.09249976,0.02873347,158787.0,0.032073498,4,0.097347245,0.096118584,total,al
9,0.0,0.10764189,0.19303474,0.033509012,0.004258228,0.10685004,0.043599557,171455.22,0.032010157,4,0.1076419,0.078094825,total,rand
10,0.0,0.18329944,0.35929906,0.05442377,0.0041979933,0.1843433,0.07093227,289756.56,0.05259916,5,0.18329942,0.13038014,total,al
11,0.0,0.10730575,0.21971154,0.037720446,0.003265082,0.11041945,0.049673434,167502.47,0.029131941,5,0.10730574,0.06497857,total,rand
12,0.0,0.15748712,0.3739884,0.04162972,0.0032899973,0.1577518,0.052427415,249501.33,0.045634203,6,0.15748712,0.13727804,total,al
13,0.0,0.12132208,0.21747155,0.0425007,0.0022785126,0.1248393,0.056464355,189292.33,0.032763485,6,0.12132209,0.08939416,total,rand
14,0.0,0.08805886,0.20670928,0.02496223,0.0020317473,0.088430054,0.031437635,139308.6,0.025348678,7,0.08805887,0.08276254,total,al
15,0.0,0.08309038,0.2080638,0.024275718,0.0015371159,0.083950676,0.030763447,130986.93,0.02352658,7,0.08309037,0.077549,total,rand
16,0.0,0.09772224,0.2171158,0.02815905,0.004217262,0.09591012,0.036274515,156659.77,0.029921168,8,0.09772224,0.078565285,total,al
17,0.0,0.22703068,0.4936217,0.08601699,0.10862668,0.22876514,0.13091502,358409.03,0.064666875,8,0.22703068,0.17906022,total,rand
18,0.0,0.11067237,0.2873724,0.031251222,0.005579699,0.110231265,0.040082566,176044.12,0.032803476,9,0.110672355,0.10114351,total,rand
19,0.0,0.19649346,0.2678678,0.1042364,0.1458691,0.20083508,0.16396166,307749.34,0.0540037,9,0.19649349,0.112817496,total,al
20,0.0,0.057708535,0.07650946,0.022255443,0.004026406,0.059302878,0.030001871,90208.85,0.015831197,10,0.05770854,0.030515669,total,rand
21,0.0,0.14356282,0.25116837,0.07001709,0.011776896,0.14649755,0.10732739,225059.69,0.039631538,10,0.14356282,0.101126164,total,al
22,0.0,0.1109703,0.18975656,0.04391888,0.0042811898,0.11192446,0.06111245,175123.97,0.031588268,11,0.110970296,0.06519189,total,al
23,0.0,0.20199421,0.2853177,0.09898071,0.11150346,0.20470406,0.15147988,317923.62,0.056813344,11,0.20199421,0.103731856,total,rand
24,0.0,0.15328392,0.29957995,0.077832,0.109008454,0.15743402,0.12205604,239388.22,0.041548327,12,0.15328394,0.11380613,total,rand
25,0.0,0.07141575,0.16723941,0.021966727,0.0021983196,0.07103275,0.02839872,113598.63,0.021082813,12,0.07141575,0.061564237,total,al
26,0.0,0.16298799,0.23085837,0.08185114,0.107977904,0.16463453,0.12822351,256972.1,0.04617011,13,0.16298799,0.08168347,total,rand
27,0.0,0.08079614,0.13445066,0.026246583,0.0017667762,0.08081973,0.03438345,128097.195,0.023485629,13,0.08079614,0.056791864,total,al
