,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.12947159,0.08899484,0.54281414,0.34637195,0.53447044,0.4487825,0.47648114,660643.7,0.8985692,0,-0.040476754,0.056673087,total,rand,0.026478583,0.05883895,0.27390307,0.19795738,0.296701,0.2581562,0.26001546,30610.469,0.02954779,0.058536675,0.04304731,total
1,0.15109125,0.1295503,0.527,0.38411894,0.5301019,0.53875005,0.5147094,629743.2,0.8821603,0,-0.021540979,0.074381694,total,al,1.4901161e-08,0.086188726,0.31319183,0.20807254,0.28327492,0.311568,0.2695146,34381.445,0.028744163,0.086188726,0.048578545,total
2,0.15109125,0.15627632,0.4149638,0.46640325,0.6042239,0.6488163,0.6116814,621803.4,0.8886944,1,0.0051850453,0.052479178,total,al,1.4901161e-08,0.083647534,0.41391683,0.1694067,0.23272124,0.23817322,0.2129594,44460.695,0.044557884,0.08364753,0.06534317,total
3,0.12947159,0.11513008,0.5172601,0.40878782,0.5417932,0.5724806,0.53884286,652535.3,0.90408385,1,-0.014341499,0.058442242,total,rand,0.026478583,0.0708698,0.3928862,0.21325105,0.29791915,0.30588067,0.2751385,31786.936,0.028072285,0.07421179,0.047933016,total
4,0.15109125,0.19163638,0.7048927,0.40650073,0.45851135,0.6771644,0.53579134,597363.5,0.8619006,2,0.04054513,0.100981236,total,al,1.4901161e-08,0.11818237,0.50982493,0.21604915,0.2545938,0.3428242,0.2763448,59927.598,0.0548853,0.11818237,0.07357832,total
5,0.12947159,0.11680385,0.36806017,0.47055084,0.66759294,0.61296344,0.62212616,656161.4,0.9149793,2,-0.012667736,0.038296238,total,rand,0.026478583,0.040920082,0.21179849,0.14680274,0.18773521,0.20153639,0.17935932,21450.342,0.01359184,0.040670786,0.01865429,total
6,0.12947159,0.091640964,0.53224933,0.3572387,0.48064566,0.48596945,0.4724574,660723.7,0.9014188,3,-0.03783063,0.059611876,total,rand,0.026478583,0.065035865,0.34021392,0.23601699,0.33064756,0.32668048,0.31060535,24590.824,0.029167667,0.07221258,0.055607896,total
7,0.15109125,0.14491066,0.31022507,0.51062864,0.64362836,0.67312306,0.6510681,633629.9,0.9074051,3,-0.0061805896,0.038067263,total,al,1.4901161e-08,0.05724965,0.26297155,0.17297518,0.22360338,0.2383471,0.21855266,19077.645,0.022207594,0.057249654,0.04320423,total
8,0.12947159,0.080814734,0.582188,0.3307868,0.44775262,0.4208228,0.42599717,667544.7,0.90793926,4,-0.048656862,0.0622917,total,rand,0.026478583,0.06829242,0.3768186,0.27164418,0.37601733,0.3494045,0.34870484,29730.451,0.021695968,0.059213668,0.044648554,total
9,0.15109125,0.17906544,0.40638033,0.49655524,0.57426727,0.738352,0.6395883,614520.2,0.8929613,4,0.027974177,0.061898947,total,al,1.4901161e-08,0.06991207,0.28745553,0.1678043,0.20537272,0.25376165,0.21446414,27870.428,0.023753947,0.06991207,0.042880904,total
10,0.15109125,0.14617231,0.39528728,0.46032286,0.5394999,0.6437474,0.5840663,629147.2,0.8972667,5,-0.004918945,0.05551716,total,al,1.4901161e-08,0.077106275,0.32491145,0.2314995,0.27509105,0.32433602,0.29273924,24296.062,0.027683146,0.077106275,0.053734705,total
11,0.12947159,0.13960047,0.3386379,0.5251151,0.691802,0.7263371,0.6876426,647916.2,0.9168072,5,0.010128895,0.041079987,total,rand,0.026478583,0.042935595,0.22745144,0.041691784,0.12793927,0.12014948,0.035896692,25806.277,0.015170493,0.04749588,0.025901498,total
12,0.15109125,0.09700913,0.5438968,0.33132565,0.42290506,0.44205076,0.42673388,643844.5,0.8854806,6,-0.054082125,0.07827141,total,al,1.4901161e-08,0.08331466,0.37688082,0.2711262,0.35080194,0.3667863,0.34874985,23269.885,0.030855514,0.083314665,0.06115387,total
13,0.12406667,0.06942035,0.5383011,0.3012853,0.44965893,0.37133253,0.39890745,673385.9,0.9059949,6,-0.05464632,0.058866847,total,rand,0.027024588,0.055224016,0.35252118,0.2559436,0.3608661,0.31309804,0.32734716,23335.86,0.02360379,0.049565464,0.044470776,total
14,0.12406667,0.115078844,0.50881296,0.42404348,0.52875143,0.6123892,0.552997,656732.5,0.9093016,7,-0.008987827,0.055607986,total,rand,0.027024588,0.06110292,0.32811436,0.21729952,0.28940126,0.3175546,0.27958694,21804.756,0.023836602,0.07036714,0.044046197,total
