,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.12947159,0.08899484,0.54281414,0.34637195,0.53447044,0.4487825,0.47648114,660643.7,0.8985692,0,-0.040476754,0.056673087,total,rand
1,0.15109125,0.1295503,0.527,0.38411894,0.5301019,0.53875005,0.5147094,629743.2,0.8821603,0,-0.021540979,0.074381694,total,al
2,0.15109125,0.15627632,0.4149638,0.46640325,0.6042239,0.6488163,0.6116814,621803.4,0.8886944,1,0.0051850453,0.052479178,total,al
3,0.12947159,0.11513008,0.5172601,0.40878782,0.5417932,0.5724806,0.53884286,652535.3,0.90408385,1,-0.014341499,0.058442242,total,rand
4,0.15109125,0.19163638,0.7048927,0.40650073,0.45851135,0.6771644,0.53579134,597363.5,0.8619006,2,0.04054513,0.100981236,total,al
5,0.12947159,0.11680385,0.36806017,0.47055084,0.66759294,0.61296344,0.62212616,656161.4,0.9149793,2,-0.012667736,0.038296238,total,rand
6,0.12947159,0.091640964,0.53224933,0.3572387,0.48064566,0.48596945,0.4724574,660723.7,0.9014188,3,-0.03783063,0.059611876,total,rand
7,0.15109125,0.14491066,0.31022507,0.51062864,0.64362836,0.67312306,0.6510681,633629.9,0.9074051,3,-0.0061805896,0.038067263,total,al
8,0.12947159,0.080814734,0.582188,0.3307868,0.44775262,0.4208228,0.42599717,667544.7,0.90793926,4,-0.048656862,0.0622917,total,rand
9,0.15109125,0.17906544,0.40638033,0.49655524,0.57426727,0.738352,0.6395883,614520.2,0.8929613,4,0.027974177,0.061898947,total,al
10,0.15109125,0.14617231,0.39528728,0.46032286,0.5394999,0.6437474,0.5840663,629147.2,0.8972667,5,-0.004918945,0.05551716,total,al
11,0.12947159,0.13960047,0.3386379,0.5251151,0.691802,0.7263371,0.6876426,647916.2,0.9168072,5,0.010128895,0.041079987,total,rand
12,0.15109125,0.09700913,0.5438968,0.33132565,0.42290506,0.44205076,0.42673388,643844.5,0.8854806,6,-0.054082125,0.07827141,total,al
13,0.12406667,0.06942035,0.5383011,0.3012853,0.44965893,0.37133253,0.39890745,673385.9,0.9059949,6,-0.05464632,0.058866847,total,rand
14,0.12406667,0.115078844,0.50881296,0.42404348,0.52875143,0.6123892,0.552997,656732.5,0.9093016,7,-0.008987827,0.055607986,total,rand
15,0.15109125,0.16172712,0.24352856,0.56114745,0.7108551,0.7399738,0.7177461,628348.3,0.9107898,7,0.010635868,0.026646623,total,al
16,0.12406667,0.13263051,1.432863,0.2373918,0.30137482,0.35882366,0.3115383,621008.4,0.83600223,8,0.008563849,0.11540067,total,rand
17,0.15109125,0.11353694,0.4927283,0.3812433,0.4889962,0.51140857,0.49307615,639087.8,0.8899115,8,-0.037554316,0.06976337,total,al
18,0.15109125,0.12035318,0.47711882,0.39910588,0.49452132,0.53978354,0.5075749,637098.9,0.89166975,9,-0.030738086,0.07256221,total,al
19,0.12406667,0.108396634,0.6096955,0.3605904,0.4320124,0.555792,0.47467938,655040.1,0.8983154,9,-0.015670031,0.070121765,total,rand
