,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.026478583,0.05883895,0.27390307,0.19795738,0.296701,0.2581562,0.26001546,30610.469,0.02954779,0,0.058536675,0.04304731,total,rand
1,1.4901161e-08,0.086188726,0.31319183,0.20807254,0.28327492,0.311568,0.2695146,34381.445,0.028744163,0,0.086188726,0.048578545,total,al
2,1.4901161e-08,0.083647534,0.41391683,0.1694067,0.23272124,0.23817322,0.2129594,44460.695,0.044557884,1,0.08364753,0.06534317,total,al
3,0.026478583,0.0708698,0.3928862,0.21325105,0.29791915,0.30588067,0.2751385,31786.936,0.028072285,1,0.07421179,0.047933016,total,rand
4,1.4901161e-08,0.11818237,0.50982493,0.21604915,0.2545938,0.3428242,0.2763448,59927.598,0.0548853,2,0.11818237,0.07357832,total,al
5,0.026478583,0.040920082,0.21179849,0.14680274,0.18773521,0.20153639,0.17935932,21450.342,0.01359184,2,0.040670786,0.01865429,total,rand
6,0.026478583,0.065035865,0.34021392,0.23601699,0.33064756,0.32668048,0.31060535,24590.824,0.029167667,3,0.07221258,0.055607896,total,rand
7,1.4901161e-08,0.05724965,0.26297155,0.17297518,0.22360338,0.2383471,0.21855266,19077.645,0.022207594,3,0.057249654,0.04320423,total,al
8,0.026478583,0.06829242,0.3768186,0.27164418,0.37601733,0.3494045,0.34870484,29730.451,0.021695968,4,0.059213668,0.044648554,total,rand
9,1.4901161e-08,0.06991207,0.28745553,0.1678043,0.20537272,0.25376165,0.21446414,27870.428,0.023753947,4,0.06991207,0.042880904,total,al
10,1.4901161e-08,0.077106275,0.32491145,0.2314995,0.27509105,0.32433602,0.29273924,24296.062,0.027683146,5,0.077106275,0.053734705,total,al
11,0.026478583,0.042935595,0.22745144,0.041691784,0.12793927,0.12014948,0.035896692,25806.277,0.015170493,5,0.04749588,0.025901498,total,rand
12,1.4901161e-08,0.08331466,0.37688082,0.2711262,0.35080194,0.3667863,0.34874985,23269.885,0.030855514,6,0.083314665,0.06115387,total,al
13,0.027024588,0.055224016,0.35252118,0.2559436,0.3608661,0.31309804,0.32734716,23335.86,0.02360379,6,0.049565464,0.044470776,total,rand
14,0.027024588,0.06110292,0.32811436,0.21729952,0.28940126,0.3175546,0.27958694,21804.756,0.023836602,7,0.07036714,0.044046197,total,rand
15,1.4901161e-08,0.035160094,0.18907598,0.045204613,0.09088956,0.061907057,0.039540544,22061.582,0.022642035,7,0.03516009,0.025284603,total,al
16,0.027024588,0.16600683,2.3329942,0.2668483,0.34363487,0.3436083,0.33519003,117020.16,0.15197183,8,0.17597517,0.1331288,total,rand
17,1.4901161e-08,0.08109917,0.35060886,0.251588,0.3270516,0.3442835,0.32394376,25080.053,0.029475093,8,0.081099175,0.05586121,total,al
18,1.4901161e-08,0.08892115,0.38605642,0.2640911,0.33458278,0.3613948,0.33385232,31492.947,0.035544243,9,0.08892115,0.05988763,total,al
19,0.027024588,0.07316508,0.3636351,0.24082479,0.3025603,0.37033683,0.31351623,22982.93,0.027510775,9,0.085734405,0.051757846,total,rand
