Step,Method,Value
2,al,161.5
2,al,17.5
2,al,138.0
2,al,43.5
2,al,84.5
2,al,78.0
2,al,43.5
2,al,68.5
2,al,81.5
2,al,201.0
2,rand,24.0
2,rand,14.5
2,rand,44.5
2,rand,53.5
2,rand,122.5
2,rand,84.0
2,rand,38.5
2,rand,78.0
2,rand,62.0
2,rand,117.5
3,al,61.0
3,al,61.0
3,al,32.0
3,al,11.0
3,al,128.0
3,al,128.0
3,al,11.0
3,al,61.0
3,al,61.0
3,al,61.0
3,rand,79.0
3,rand,23.0
3,rand,47.0
3,rand,196.0
3,rand,206.0
3,rand,118.0
3,rand,3.0
3,rand,20.0
3,rand,23.0
3,rand,196.0
4,al,67.0
4,al,117.0
4,al,61.0
4,al,89.0
4,al,11.0
4,al,61.0
4,al,117.0
4,al,56.0
4,al,67.0
4,al,56.0
4,rand,167.0
4,rand,40.0
4,rand,40.0
4,rand,111.0
4,rand,10.0
4,rand,10.0
4,rand,40.0
4,rand,47.0
4,rand,20.0
4,rand,125.0
5,al,99.0
5,al,89.0
5,al,117.0
5,al,206.0
5,al,88.0
5,al,56.0
5,al,29.0
5,al,32.0
5,al,99.0
5,al,88.0
5,rand,177.0
5,rand,71.0
5,rand,56.0
5,rand,121.0
5,rand,71.0
5,rand,145.0
5,rand,85.0
5,rand,56.0
5,rand,78.0
5,rand,81.0
6,al,49.0
6,al,128.0
6,al,9.0
6,al,29.0
6,al,96.0
6,al,88.0
6,al,56.0
6,al,43.0
6,al,88.0
6,al,99.0
6,rand,206.0
6,rand,79.0
6,rand,29.0
6,rand,78.0
6,rand,91.0
6,rand,64.0
6,rand,78.0
6,rand,88.0
6,rand,206.0
6,rand,128.0
7,al,7.0
7,al,7.0
7,al,30.0
7,al,49.0
7,al,81.0
7,al,177.0
7,al,121.0
7,al,78.0
7,al,99.0
7,al,50.0
7,rand,85.0
7,rand,39.0
7,rand,206.0
7,rand,88.0
7,rand,131.0
7,rand,3.0
7,rand,49.0
7,rand,56.0
7,rand,125.0
7,rand,39.0
8,al,40.0
8,al,40.0
8,al,47.0
8,al,47.0
8,al,121.0
8,al,128.0
8,al,81.0
8,al,128.0
8,al,10.0
8,al,47.0
8,rand,24.0
8,rand,17.0
8,rand,98.0
8,rand,99.0
8,rand,7.0
8,rand,128.0
8,rand,32.0
8,rand,7.0
8,rand,96.0
8,rand,56.0
9,al,17.0
9,al,17.0
9,al,40.0
9,al,40.0
9,al,7.0
9,al,47.0
9,al,47.0
9,al,47.0
9,al,98.0
9,al,17.0
9,rand,64.0
9,rand,145.0
9,rand,108.0
9,rand,8.0
9,rand,49.0
9,rand,117.0
9,rand,135.0
9,rand,128.0
9,rand,88.0
9,rand,24.0
10,al,108.0
10,al,108.0
10,al,111.0
10,al,111.0
10,al,118.0
10,al,17.0
10,al,118.0
10,al,71.0
10,al,17.0
10,al,23.0
10,rand,91.0
10,rand,78.0
10,rand,155.0
10,rand,64.0
10,rand,32.0
10,rand,88.0
10,rand,88.0
10,rand,81.0
10,rand,79.0
10,rand,131.0
11,al,20.0
11,al,20.0
11,al,20.0
11,al,20.0
11,al,23.0
11,al,20.0
11,al,20.0
11,al,71.0
11,al,131.0
11,rand,88.0
11,rand,128.0
11,rand,135.0
11,rand,47.0
11,rand,47.0
11,rand,98.0
11,rand,125.0
11,rand,135.0
11,rand,108.0
