,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.35496256,0.45187005,0.8831007,0.3386173,0.5354472,0.6156534,0.47487468,1011799.5,0.63023615,0,0.0969075,0.3123769,total,al,0.0,0.34678355,0.50206727,0.17921244,0.24251698,0.3813383,0.23340252,551082.1,0.13019118,0.34678355,0.17908265,total
1,0.35496256,0.544048,0.9611405,0.36201984,0.48077983,0.69793177,0.51022804,857039.0,0.59646976,0,0.18908547,0.33695868,total,rand,0.0,0.34198156,0.5426529,0.15197125,0.22551005,0.3434215,0.19394791,571549.4,0.14470918,0.34198156,0.19789787,total
2,0.35496256,0.6171195,0.8935195,0.4382794,0.5300316,0.8256408,0.59800416,788866.2,0.614062,1,0.26215696,0.31687823,total,al,0.0,0.24726278,0.48390046,0.12589607,0.14217627,0.22521044,0.13150562,463353.03,0.15078498,0.24726278,0.17161982,total
3,0.35496256,0.74494,1.1002133,0.4598492,0.47020158,0.96144944,0.62745684,593208.2,0.5826556,1,0.3899774,0.3899774,total,rand,0.0,0.13059004,0.3687092,0.06250955,0.06958333,0.029679319,0.059316915,302308.47,0.115891986,0.13059004,0.13059004,total
4,0.35496256,0.5042409,0.6853584,0.4395128,0.58695704,0.74416983,0.60593385,995205.0,0.6691024,2,0.14927834,0.24198487,total,al,0.0,0.24723792,0.4404424,0.083439425,0.13199224,0.24175397,0.08134711,415241.97,0.10343089,0.2472379,0.1576513,total
5,0.35496256,0.61134624,1.0828056,0.3665884,0.45346373,0.7580677,0.51200354,744106.8,0.57186353,2,0.2563837,0.38362452,total,rand,0.0,0.34933183,0.5681194,0.16235457,0.20490816,0.35299402,0.20791055,583025.56,0.14807744,0.34933183,0.2014883,total
6,0.35496256,0.6708173,0.98382026,0.4545304,0.51504254,0.887606,0.62117547,710954.2,0.604355,3,0.31585482,0.34884605,total,rand,0.0,0.22713384,0.4860478,0.07746836,0.1372203,0.16399056,0.071663305,441638.3,0.14061841,0.22713384,0.17222215,total
7,0.35496256,0.6713604,0.9001417,0.46785435,0.5064189,0.9076544,0.63547665,727109.0,0.61804473,3,0.31639776,0.31734565,total,al,0.0,0.1851118,0.51005167,0.055552695,0.097383186,0.1142638,0.052613344,369650.66,0.11946059,0.18511179,0.18348205,total
8,0.35496256,0.6480318,0.8342713,0.46307364,0.50501496,0.88410157,0.63122773,763894.9,0.62465256,4,0.2930692,0.294767,total,al,0.0,0.16766924,0.4601564,0.053175204,0.08284172,0.111341566,0.049202513,329464.72,0.10466583,0.16766924,0.16466616,total
9,0.35496256,0.50136805,0.7762725,0.38576925,0.5672687,0.69251233,0.54991025,957201.6,0.63530225,4,0.14640549,0.27526158,total,rand,0.0,0.27441618,0.4087512,0.09215107,0.14817673,0.28816846,0.10335842,432175.28,0.086429745,0.27441618,0.14480983,total
10,0.35496256,0.6510407,0.8357849,0.4732086,0.5101365,0.8956745,0.63983506,766595.9,0.6298596,5,0.29607812,0.29607812,total,al,0.0,0.1661014,0.46873358,0.06422295,0.08995662,0.093199044,0.059314393,343031.53,0.11646577,0.16610138,0.16610138,total
11,0.35496256,0.60135305,0.7079014,0.47137198,0.5251185,0.857097,0.6395944,855054.8,0.65216005,5,0.24639058,0.2510441,total,rand,0.0,0.15476288,0.41536257,0.041826252,0.08004144,0.11821193,0.039753493,290570.66,0.086765155,0.1547629,0.14709428,total
12,0.35496256,0.59156317,0.8110264,0.426756,0.52614725,0.80066174,0.5914175,829882.9,0.6218852,6,0.23660061,0.28766304,total,rand,0.0,0.23788783,0.48830476,0.09713122,0.12529658,0.2317421,0.10036117,408295.75,0.11020454,0.23788783,0.17268589,total
13,0.35496256,0.7705871,1.1736388,0.4462927,0.45411593,0.9686812,0.61550695,536486.4,0.56214243,6,0.41562462,0.41562462,total,al,0.0,0.10828527,0.3048814,0.049847145,0.056369796,0.026707983,0.047793474,249264.67,0.095018655,0.10828527,0.10828527,total
14,0.35496256,0.75280154,1.1227167,0.4403593,0.45634764,0.9419233,0.6095657,556854.0,0.560932,7,0.39783892,0.39783892,total,rand,0.0,0.14350556,0.40517396,0.053575635,0.06618087,0.062037352,0.050888278,308541.9,0.1090853,0.14350556,0.14350556,total
15,0.35496256,0.7406068,1.0875162,0.43766624,0.45342454,0.9333131,0.6076971,579312.4,0.567014,7,0.38564423,0.38564423,total,al,0.0,0.10201814,0.28838256,0.041081414,0.047685843,0.057346523,0.040598698,221204.53,0.08138814,0.10201814,0.10201814,total
16,0.35496256,0.39792103,0.5566443,0.41219378,0.56789786,0.6315235,0.56361425,1158229.0,0.6954518,8,0.042958483,0.19755857,total,rand,0.0,0.25188252,0.45767063,0.1468132,0.22992262,0.27620888,0.19469436,404064.97,0.099219985,0.25188252,0.162052,total
17,0.35496256,0.4176398,0.41383976,0.4906506,0.65278125,0.72628075,0.6525028,1192430.4,0.7430036,8,0.06267718,0.14685228,total,al,0.0,0.1671199,0.28576297,0.09437296,0.094033726,0.21888986,0.091824524,229377.05,0.039587766,0.16711989,0.101448976,total
18,0.35496256,0.4264618,0.30877224,0.49007183,0.61537564,0.7254568,0.65529877,1170030.8,0.7335967,9,0.07149916,0.10935619,total,rand,0.0,0.10750433,0.19489616,0.0634994,0.065022476,0.13767745,0.05833637,160695.08,0.042075668,0.107504316,0.06863331,total
19,0.35496256,0.4323054,0.37491435,0.5173495,0.6486737,0.7595893,0.6789272,1185445.0,0.75198466,9,0.07734284,0.13301937,total,al,0.0,0.12721866,0.18838464,0.07001786,0.08835569,0.15717188,0.064794116,187261.88,0.040650573,0.12721866,0.06687566,total
20,0.35496256,0.51469964,0.45149484,0.5295083,0.59069955,0.84649336,0.6914672,1058764.2,0.7312857,10,0.15973704,0.15973704,total,al,0.0,0.08771072,0.24653837,0.04022128,0.049021553,0.086881906,0.03508992,153181.6,0.04448611,0.08771073,0.08771073,total
21,0.35496256,0.44078726,0.36976916,0.5040212,0.63327885,0.7521038,0.6674167,1158069.9,0.7381885,10,0.085824735,0.12798192,total,rand,0.0,0.13792641,0.27310607,0.06808342,0.09588331,0.15247984,0.062301397,220006.47,0.05350909,0.13792641,0.10005102,total
22,0.35496256,0.5153457,0.45422697,0.52772593,0.58549476,0.84689635,0.6901294,1057528.1,0.7309258,11,0.16038308,0.16038308,total,al,0.0,0.06014855,0.16865648,0.03636862,0.029100064,0.077264935,0.030877562,92890.51,0.027272746,0.06014856,0.06014856,total
23,0.35496256,0.46551457,0.40465403,0.50820506,0.6092864,0.78197336,0.67174464,1123357.1,0.73466647,11,0.110551976,0.1403022,total,rand,0.0,0.11087091,0.18487243,0.059879936,0.06289171,0.14291413,0.054860707,157503.33,0.032697856,0.11087091,0.06949385,total
24,0.35496256,0.19647317,0.63364255,0.2987691,0.75220877,0.3760411,0.44552675,1430435.8,0.71552634,12,-0.15848939,0.22535178,total,al,0.0,0.17304803,0.1836425,0.12924445,0.09163864,0.24601276,0.14694846,218928.98,0.03430969,0.17304805,0.065430075,total
25,0.35496256,0.25281256,0.5992259,0.3296739,0.73583317,0.45641986,0.46190637,1362094.9,0.7162498,12,-0.102149986,0.21279113,total,rand,0.0,0.210193,0.27122834,0.19364353,0.12384773,0.3225081,0.23416942,245640.11,0.044832584,0.21019298,0.09662114,total
26,0.35496256,0.3423079,0.11368366,0.5580156,0.73273957,0.7044815,0.71558046,1358549.2,0.80285966,13,-0.012654638,0.039892457,total,al,0.0,0.0420494,0.05143604,0.037248828,0.021506352,0.07062339,0.030739624,44165.32,0.011603083,0.0420494,0.018354397,total
27,0.35496256,0.3200628,0.20630193,0.50255007,0.72387743,0.6437326,0.6567294,1360224.2,0.7819776,13,-0.034899797,0.07306596,total,rand,0.0,0.101198114,0.2193874,0.1296693,0.033936307,0.18953851,0.1418189,85739.86,0.035301343,0.101198114,0.07823311,total
