,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.35496256,0.45187005,0.8831007,0.3386173,0.5354472,0.6156534,0.47487468,1011799.5,0.63023615,0,0.0969075,0.3123769,total,al
1,0.35496256,0.544048,0.9611405,0.36201984,0.48077983,0.69793177,0.51022804,857039.0,0.59646976,0,0.18908547,0.33695868,total,rand
2,0.35496256,0.6171195,0.8935195,0.4382794,0.5300316,0.8256408,0.59800416,788866.2,0.614062,1,0.26215696,0.31687823,total,al
3,0.35496256,0.74494,1.1002133,0.4598492,0.47020158,0.96144944,0.62745684,593208.2,0.5826556,1,0.3899774,0.3899774,total,rand
4,0.35496256,0.5042409,0.6853584,0.4395128,0.58695704,0.74416983,0.60593385,995205.0,0.6691024,2,0.14927834,0.24198487,total,al
5,0.35496256,0.61134624,1.0828056,0.3665884,0.45346373,0.7580677,0.51200354,744106.8,0.57186353,2,0.2563837,0.38362452,total,rand
6,0.35496256,0.6708173,0.98382026,0.4545304,0.51504254,0.887606,0.62117547,710954.2,0.604355,3,0.31585482,0.34884605,total,rand
7,0.35496256,0.6713604,0.9001417,0.46785435,0.5064189,0.9076544,0.63547665,727109.0,0.61804473,3,0.31639776,0.31734565,total,al
8,0.35496256,0.6480318,0.8342713,0.46307364,0.50501496,0.88410157,0.63122773,763894.9,0.62465256,4,0.2930692,0.294767,total,al
9,0.35496256,0.50136805,0.7762725,0.38576925,0.5672687,0.69251233,0.54991025,957201.6,0.63530225,4,0.14640549,0.27526158,total,rand
10,0.35496256,0.6510407,0.8357849,0.4732086,0.5101365,0.8956745,0.63983506,766595.9,0.6298596,5,0.29607812,0.29607812,total,al
11,0.35496256,0.60135305,0.7079014,0.47137198,0.5251185,0.857097,0.6395944,855054.8,0.65216005,5,0.24639058,0.2510441,total,rand
12,0.35496256,0.59156317,0.8110264,0.426756,0.52614725,0.80066174,0.5914175,829882.9,0.6218852,6,0.23660061,0.28766304,total,rand
13,0.35496256,0.7705871,1.1736388,0.4462927,0.45411593,0.9686812,0.61550695,536486.4,0.56214243,6,0.41562462,0.41562462,total,al
14,0.35496256,0.75280154,1.1227167,0.4403593,0.45634764,0.9419233,0.6095657,556854.0,0.560932,7,0.39783892,0.39783892,total,rand
15,0.35496256,0.7406068,1.0875162,0.43766624,0.45342454,0.9333131,0.6076971,579312.4,0.567014,7,0.38564423,0.38564423,total,al
16,0.35496256,0.39792103,0.5566443,0.41219378,0.56789786,0.6315235,0.56361425,1158229.0,0.6954518,8,0.042958483,0.19755857,total,rand
17,0.35496256,0.4176398,0.41383976,0.4906506,0.65278125,0.72628075,0.6525028,1192430.4,0.7430036,8,0.06267718,0.14685228,total,al
18,0.35496256,0.4264618,0.30877224,0.49007183,0.61537564,0.7254568,0.65529877,1170030.8,0.7335967,9,0.07149916,0.10935619,total,rand
19,0.35496256,0.4323054,0.37491435,0.5173495,0.6486737,0.7595893,0.6789272,1185445.0,0.75198466,9,0.07734284,0.13301937,total,al
20,0.35496256,0.51469964,0.45149484,0.5295083,0.59069955,0.84649336,0.6914672,1058764.2,0.7312857,10,0.15973704,0.15973704,total,al
21,0.35496256,0.44078726,0.36976916,0.5040212,0.63327885,0.7521038,0.6674167,1158069.9,0.7381885,10,0.085824735,0.12798192,total,rand
22,0.35496256,0.5153457,0.45422697,0.52772593,0.58549476,0.84689635,0.6901294,1057528.1,0.7309258,11,0.16038308,0.16038308,total,al
23,0.35496256,0.46551457,0.40465403,0.50820506,0.6092864,0.78197336,0.67174464,1123357.1,0.73466647,11,0.110551976,0.1403022,total,rand
24,0.35496256,0.19647317,0.63364255,0.2987691,0.75220877,0.3760411,0.44552675,1430435.8,0.71552634,12,-0.15848939,0.22535178,total,al
25,0.35496256,0.25281256,0.5992259,0.3296739,0.73583317,0.45641986,0.46190637,1362094.9,0.7162498,12,-0.102149986,0.21279113,total,rand
26,0.35496256,0.3423079,0.11368366,0.5580156,0.73273957,0.7044815,0.71558046,1358549.2,0.80285966,13,-0.012654638,0.039892457,total,al
27,0.35496256,0.3200628,0.20630193,0.50255007,0.72387743,0.6437326,0.6567294,1360224.2,0.7819776,13,-0.034899797,0.07306596,total,rand
