,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.34678355,0.50206727,0.17921244,0.24251698,0.3813383,0.23340252,551082.1,0.13019118,0,0.34678355,0.17908265,total,al
1,0.0,0.34198156,0.5426529,0.15197125,0.22551005,0.3434215,0.19394791,571549.4,0.14470918,0,0.34198156,0.19789787,total,rand
2,0.0,0.24726278,0.48390046,0.12589607,0.14217627,0.22521044,0.13150562,463353.03,0.15078498,1,0.24726278,0.17161982,total,al
3,0.0,0.13059004,0.3687092,0.06250955,0.06958333,0.029679319,0.059316915,302308.47,0.115891986,1,0.13059004,0.13059004,total,rand
4,0.0,0.24723792,0.4404424,0.083439425,0.13199224,0.24175397,0.08134711,415241.97,0.10343089,2,0.2472379,0.1576513,total,al
5,0.0,0.34933183,0.5681194,0.16235457,0.20490816,0.35299402,0.20791055,583025.56,0.14807744,2,0.34933183,0.2014883,total,rand
6,0.0,0.22713384,0.4860478,0.07746836,0.1372203,0.16399056,0.071663305,441638.3,0.14061841,3,0.22713384,0.17222215,total,rand
7,0.0,0.1851118,0.51005167,0.055552695,0.097383186,0.1142638,0.052613344,369650.66,0.11946059,3,0.18511179,0.18348205,total,al
8,0.0,0.16766924,0.4601564,0.053175204,0.08284172,0.111341566,0.049202513,329464.72,0.10466583,4,0.16766924,0.16466616,total,al
9,0.0,0.27441618,0.4087512,0.09215107,0.14817673,0.28816846,0.10335842,432175.28,0.086429745,4,0.27441618,0.14480983,total,rand
10,0.0,0.1661014,0.46873358,0.06422295,0.08995662,0.093199044,0.059314393,343031.53,0.11646577,5,0.16610138,0.16610138,total,al
11,0.0,0.15476288,0.41536257,0.041826252,0.08004144,0.11821193,0.039753493,290570.66,0.086765155,5,0.1547629,0.14709428,total,rand
12,0.0,0.23788783,0.48830476,0.09713122,0.12529658,0.2317421,0.10036117,408295.75,0.11020454,6,0.23788783,0.17268589,total,rand
13,0.0,0.10828527,0.3048814,0.049847145,0.056369796,0.026707983,0.047793474,249264.67,0.095018655,6,0.10828527,0.10828527,total,al
14,0.0,0.14350556,0.40517396,0.053575635,0.06618087,0.062037352,0.050888278,308541.9,0.1090853,7,0.14350556,0.14350556,total,rand
15,0.0,0.10201814,0.28838256,0.041081414,0.047685843,0.057346523,0.040598698,221204.53,0.08138814,7,0.10201814,0.10201814,total,al
16,0.0,0.25188252,0.45767063,0.1468132,0.22992262,0.27620888,0.19469436,404064.97,0.099219985,8,0.25188252,0.162052,total,rand
17,0.0,0.1671199,0.28576297,0.09437296,0.094033726,0.21888986,0.091824524,229377.05,0.039587766,8,0.16711989,0.101448976,total,al
18,0.0,0.10750433,0.19489616,0.0634994,0.065022476,0.13767745,0.05833637,160695.08,0.042075668,9,0.107504316,0.06863331,total,rand
19,0.0,0.12721866,0.18838464,0.07001786,0.08835569,0.15717188,0.064794116,187261.88,0.040650573,9,0.12721866,0.06687566,total,al
20,0.0,0.08771072,0.24653837,0.04022128,0.049021553,0.086881906,0.03508992,153181.6,0.04448611,10,0.08771073,0.08771073,total,al
21,0.0,0.13792641,0.27310607,0.06808342,0.09588331,0.15247984,0.062301397,220006.47,0.05350909,10,0.13792641,0.10005102,total,rand
22,0.0,0.06014855,0.16865648,0.03636862,0.029100064,0.077264935,0.030877562,92890.51,0.027272746,11,0.06014856,0.06014856,total,al
23,0.0,0.11087091,0.18487243,0.059879936,0.06289171,0.14291413,0.054860707,157503.33,0.032697856,11,0.11087091,0.06949385,total,rand
24,0.0,0.17304803,0.1836425,0.12924445,0.09163864,0.24601276,0.14694846,218928.98,0.03430969,12,0.17304805,0.065430075,total,al
25,0.0,0.210193,0.27122834,0.19364353,0.12384773,0.3225081,0.23416942,245640.11,0.044832584,12,0.21019298,0.09662114,total,rand
26,0.0,0.0420494,0.05143604,0.037248828,0.021506352,0.07062339,0.030739624,44165.32,0.011603083,13,0.0420494,0.018354397,total,al
27,0.0,0.101198114,0.2193874,0.1296693,0.033936307,0.18953851,0.1418189,85739.86,0.035301343,13,0.101198114,0.07823311,total,rand
