,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.5766645,0.39850134,0.45835394,0.4310897,0.76388484,0.51692903,0.5862516,16432318.0,0.62102437,0,-0.17816319,0.20356825,total,rand
1,0.5766645,0.42406583,0.5867504,0.4159789,0.78352106,0.5335576,0.5372762,15619413.0,0.61463815,0,-0.15259875,0.2511166,total,al
2,0.5766645,0.37683177,0.43489617,0.4371268,0.7366478,0.5159805,0.56145585,17507142.0,0.64159995,10,-0.19983275,0.20831971,total,al
3,0.5766645,0.34421653,0.47303027,0.3781694,0.7818301,0.45064306,0.5073208,17249538.0,0.59885967,10,-0.23244801,0.23244801,total,rand
4,0.5766645,0.39334637,0.4296009,0.44123906,0.81116676,0.5267365,0.5628234,16982420.0,0.63749063,20,-0.18331817,0.20323202,total,rand
5,0.5766645,0.25643563,0.6111952,0.269795,0.7864022,0.3209487,0.3845054,17910572.0,0.5370604,20,-0.32022893,0.32022893,total,al
6,0.5766645,0.40244657,0.47837028,0.41121045,0.7719376,0.5090546,0.5425541,16000499.0,0.6079973,30,-0.17421797,0.1791001,total,rand
7,0.5766645,0.29806465,0.49042836,0.3506654,0.79133236,0.40174517,0.48539734,18163140.0,0.58861625,30,-0.2785999,0.2785999,total,al
8,0.5766645,0.38691774,0.48489243,0.39764094,0.756914,0.48825446,0.5320012,16180336.0,0.5995368,40,-0.18974683,0.1995713,total,al
9,0.5766645,0.326832,0.49401003,0.35210615,0.77528393,0.41976413,0.47593266,17228050.0,0.5806306,40,-0.24983254,0.24983254,total,rand
10,0.5766645,0.3860869,0.44430947,0.40171355,0.7527157,0.491643,0.53196776,16322046.0,0.6042757,50,-0.19057763,0.20014343,total,al
11,0.5766645,0.34041125,0.4595154,0.3819169,0.7983876,0.45214373,0.5030016,17487204.0,0.6043957,50,-0.23625329,0.23625329,total,rand
12,0.5766645,0.3315758,0.48175249,0.3758684,0.81071556,0.44312435,0.5042481,17672132.0,0.60282874,60,-0.2450887,0.2450887,total,al
13,0.5766645,0.3737245,0.42236376,0.39591736,0.75377697,0.47416702,0.5433415,16438301.0,0.59648263,60,-0.20294006,0.20294006,total,rand
14,0.5766645,0.3674832,0.44646114,0.40326968,0.7287013,0.48243064,0.5327172,16998372.0,0.6122545,70,-0.20918131,0.21962509,total,rand
15,0.5766645,0.37513772,0.46154085,0.38929048,0.7571838,0.47408113,0.52103174,16363867.0,0.5949703,70,-0.20152684,0.20152684,total,al
16,0.5766645,0.37065354,0.4098195,0.43830672,0.82477665,0.5115462,0.5671164,17691408.0,0.6426641,80,-0.20601098,0.20601098,total,rand
17,0.5766645,0.36042112,0.48014635,0.34714797,0.7263629,0.4304214,0.48356405,15831589.0,0.55933285,80,-0.21624343,0.21624343,total,al
18,0.5766645,0.34941393,0.47334653,0.37359604,0.74668837,0.44600254,0.50652015,16848896.0,0.5883102,90,-0.22725058,0.22725058,total,rand
19,0.5766645,0.31059906,0.55410063,0.31627965,0.7279397,0.3847133,0.43123832,17025542.0,0.5564384,90,-0.26606545,0.2861391,total,al
20,0.5766645,0.34011418,0.47011018,0.34709156,0.7508137,0.41923636,0.47504407,16536698.0,0.5667398,100,-0.23655036,0.23655036,total,al
21,0.5766645,0.3794551,0.47735843,0.3987711,0.7736577,0.48742032,0.5265357,16535598.0,0.60603744,100,-0.19720945,0.20957375,total,rand
22,0.5766645,0.3603203,0.46349755,0.37932548,0.7582854,0.46084747,0.5035137,16729531.0,0.594525,110,-0.21634424,0.21634424,total,al
23,0.5766645,0.34019732,0.4614626,0.37141937,0.7895379,0.44152206,0.5013838,17186412.0,0.5923594,110,-0.23646721,0.23646721,total,rand
24,0.5766645,0.37256238,0.49253625,0.362582,0.7411513,0.4490529,0.49228963,15760494.0,0.56867987,120,-0.20410219,0.20410219,total,al
25,0.5766645,0.2923582,0.49460697,0.33547863,0.79299164,0.38805422,0.46585226,18051772.0,0.5785326,120,-0.2843064,0.2843064,total,rand
26,0.5766645,0.32398844,0.4769636,0.3736777,0.79714394,0.43608275,0.49986824,17851592.0,0.60229486,130,-0.25267607,0.25267607,total,rand
27,0.5766645,0.32864818,0.50784606,0.3668214,0.81316364,0.4317369,0.49826413,17486958.0,0.59262294,130,-0.24801639,0.24801639,total,al
28,0.5766645,0.27667767,0.5630721,0.30867803,0.80175817,0.36325607,0.4281107,18122008.0,0.5656126,140,-0.29998687,0.3169368,total,al
29,0.5766645,0.3863125,0.4817378,0.40224838,0.7711514,0.49112087,0.53401834,16295245.0,0.6034479,140,-0.19035204,0.1952095,total,rand
30,0.5766645,0.34167624,0.47360748,0.35834178,0.7718914,0.42953604,0.4934334,16759445.0,0.57705665,150,-0.2349883,0.2365518,total,al
31,0.5766645,0.28578085,0.49163756,0.34563237,0.8005387,0.39244682,0.47918764,18515350.0,0.59017587,150,-0.29088363,0.29088363,total,rand
