,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.17056386,0.1540696,0.15229867,0.08205668,0.2112838,0.15322097,2883773.0,0.08379354,0,0.17056386,0.13926275,total,rand
1,0.0,0.27965996,0.24355964,0.24418895,0.09691913,0.335029,0.29391655,4610914.0,0.11342022,0,0.27965996,0.19605231,total,al
2,0.0,0.21537077,0.30985796,0.23402202,0.2548883,0.2852352,0.28966576,2829839.8,0.117947154,10,0.21537077,0.20717286,total,al
3,0.0,0.20120308,0.27404177,0.2161159,0.08886146,0.2663251,0.26592344,2559994.2,0.10841195,10,0.20120308,0.20120308,total,rand
4,0.0,0.21451645,0.29221505,0.24412449,0.099193156,0.29258895,0.29490995,2750249.0,0.12946741,20,0.21451645,0.19575392,total,rand
5,0.0,0.19685172,0.2806878,0.19804566,0.10570811,0.24240997,0.2612565,3208964.5,0.09102377,20,0.19685172,0.19685172,total,al
6,0.0,0.2178963,0.27007985,0.21700422,0.09762909,0.27448526,0.2632716,3381663.8,0.1070658,30,0.21789631,0.21390152,total,rand
7,0.0,0.16240689,0.26405695,0.18759444,0.07550305,0.21885623,0.24538387,2092174.4,0.09413405,30,0.16240689,0.16240689,total,al
8,0.0,0.20831513,0.26090807,0.19934076,0.077817924,0.25085708,0.2602085,3704366.8,0.09517007,40,0.20831512,0.19892296,total,al
9,0.0,0.19875194,0.29078984,0.21794787,0.11249535,0.26117498,0.27972013,2931306.8,0.1118106,40,0.19875194,0.19875194,total,rand
10,0.0,0.20523593,0.28107128,0.21305574,0.065033875,0.26442665,0.27226737,2865837.2,0.10356487,50,0.20523593,0.1959189,total,al
11,0.0,0.20669195,0.31036633,0.23532167,0.0838621,0.28018972,0.29348695,2531637.8,0.120175846,50,0.20669195,0.20669195,total,rand
12,0.0,0.19952792,0.29624686,0.21304148,0.07181616,0.2589222,0.27330536,2671471.5,0.10143383,60,0.19952792,0.19952792,total,al
13,0.0,0.15687191,0.23035243,0.16582647,0.08491513,0.20145077,0.20287254,2582184.8,0.086787686,60,0.1568719,0.1568719,total,rand
14,0.0,0.2015338,0.27892604,0.21616587,0.11077035,0.26500416,0.27426946,2726489.0,0.108779676,70,0.20153381,0.19009872,total,rand
15,0.0,0.19622825,0.2815007,0.20557204,0.093021214,0.2497711,0.2674405,3094182.5,0.10188803,70,0.19622827,0.19622827,total,al
16,0.0,0.19488116,0.29275513,0.22044763,0.057508003,0.26302806,0.27720058,2307989.0,0.11022174,80,0.19488114,0.19488114,total,rand
17,0.0,0.18490542,0.2571467,0.18040194,0.099332355,0.22517656,0.23879866,3101031.0,0.083429806,80,0.18490542,0.18490542,total,al
18,0.0,0.18406649,0.27899054,0.20168506,0.088787675,0.24317448,0.2566864,2888844.5,0.10906227,90,0.18406647,0.18406647,total,rand
19,0.0,0.22618508,0.26276556,0.23626634,0.12453586,0.30140927,0.27723047,3115235.2,0.12945105,90,0.22618508,0.20018725,total,al
20,0.0,0.18480416,0.28064138,0.20756479,0.13709037,0.24769583,0.26355284,2739400.0,0.1115746,100,0.18480414,0.18480414,total,al
21,0.0,0.22000463,0.28430405,0.22080629,0.07063217,0.2768287,0.27813622,3413491.2,0.1075461,100,0.22000463,0.20826052,total,rand
22,0.0,0.21133423,0.29770723,0.22496885,0.07446069,0.2746852,0.28602794,2927315.5,0.11017558,110,0.21133423,0.21133423,total,al
23,0.0,0.19013754,0.280764,0.20849408,0.10886866,0.25183713,0.26651946,2569702.0,0.10549477,110,0.19013754,0.19013754,total,rand
24,0.0,0.197259,0.27736145,0.20854327,0.13426016,0.25397477,0.26324266,3264999.0,0.11055766,120,0.19725898,0.19725898,total,al
25,0.0,0.17267348,0.2740392,0.19526254,0.066303,0.23129883,0.25252193,2158499.8,0.09676804,120,0.17267351,0.17267351,total,rand
26,0.0,0.19571014,0.29586098,0.22126897,0.05668006,0.26289564,0.2766541,2538028.8,0.112426825,130,0.19571014,0.19571014,total,rand
27,0.0,0.19735357,0.27822727,0.2024039,0.11138609,0.2443285,0.26174474,3577405.2,0.103149764,130,0.19735359,0.19735359,total,al
28,0.0,0.20843463,0.27464265,0.21451502,0.0840994,0.26702175,0.26824322,2978068.0,0.10404966,140,0.2084346,0.18162645,total,al
29,0.0,0.21019176,0.2697725,0.2069995,0.0915756,0.25430357,0.26985973,3870081.0,0.10197754,140,0.21019177,0.20568842,total,rand
30,0.0,0.17964186,0.26489323,0.18798628,0.11413558,0.22501306,0.24823602,3100485.8,0.09395629,150,0.17964186,0.17757797,total,al
31,0.0,0.16332214,0.26981917,0.18767403,0.045700118,0.21925168,0.24919797,2053507.0,0.092490524,150,0.16332214,0.16332214,total,rand
32,0.0,0.16823731,0.25307,0.179345,0.093943685,0.21188752,0.2424284,2819022.8,0.08771713,160,0.16823731,0.16823731,total,al
33,0.0,0.20207289,0.24674009,0.20476535,0.18462159,0.25114146,0.2652061,3525827.8,0.10352267,160,0.20207287,0.18812485,total,rand
34,0.0,0.16662443,0.26886812,0.19555676,0.083818294,0.22551289,0.25789854,2203843.2,0.09905249,170,0.16662444,0.16662444,total,al
35,0.0,0.16547139,0.23872934,0.1855781,0.07265352,0.21913178,0.24396645,2209364.2,0.09124731,170,0.16547139,0.16547139,total,rand
36,0.0,0.14817183,0.22337537,0.18506171,0.061559025,0.20861131,0.2465903,1654881.1,0.09541505,180,0.14817183,0.14817183,total,rand
37,0.0,0.16870105,0.23875976,0.18673205,0.088852905,0.22139835,0.24536903,2388886.5,0.092458166,180,0.16870104,0.16870104,total,al
38,0.0,0.14790347,0.24508864,0.17921068,0.05555777,0.20647927,0.22796686,1577046.0,0.09165471,190,0.14790349,0.14790349,total,rand
39,0.0,0.17935659,0.25787148,0.1918877,0.084913045,0.23279162,0.2500947,2470954.2,0.092679314,190,0.17935658,0.17935658,total,al
40,0.0,0.15815583,0.25646162,0.18538375,0.07513923,0.21225743,0.24829458,2165647.8,0.092593394,200,0.15815583,0.15815583,total,al
41,0.0,0.15964615,0.26418522,0.19211571,0.09362215,0.2197947,0.2451255,2204033.5,0.101957396,200,0.15964615,0.15964615,total,rand
42,0.0,0.14408202,0.25470176,0.17687795,0.059542723,0.20204602,0.23474658,1415950.4,0.08910352,210,0.14408204,0.14408204,total,al
43,0.0,0.14121479,0.23487777,0.16634205,0.07371713,0.19069341,0.22450013,1825417.5,0.08256675,210,0.1412148,0.1412148,total,rand
44,0.0,0.13479008,0.24814834,0.17623094,0.257806,0.19456612,0.23914932,1257603.5,0.09072298,220,0.13479008,0.13479008,total,rand
