,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.26927656,0.3589084,0.3498455,0.2827155,0.38892955,0.5149137,0.44038877,1254531.8,0.64912444,0,0.08963186,0.09375064,total,rand,2.9802322e-08,0.054909658,0.17711973,0.020936454,0.027091023,0.06466262,0.025649501,97477.06,0.027160326,0.054909654,0.04753692,total
1,0.26927656,0.39236516,0.4594906,0.30431738,0.39495856,0.5725487,0.46641296,1210449.6,0.6467072,0,0.12308866,0.12308866,total,al,2.9802322e-08,0.04001968,0.14860491,0.01548951,0.02398515,0.0335002,0.01830684,82630.586,0.028672574,0.040019684,0.040019684,total
2,0.26927656,0.282175,0.17066297,0.2608925,0.40689597,0.42627725,0.41284698,1384454.2,0.6781224,1,0.012898503,0.042809647,total,rand,2.9802322e-08,0.051340595,0.10440833,0.030982155,0.011764303,0.07714387,0.03968324,76255.65,0.012357861,0.051340595,0.031137796,total
3,0.26927656,0.2662281,0.09215397,0.26697677,0.42510706,0.4196879,0.421237,1419284.8,0.6905206,1,-0.0030484383,0.021610718,total,al,2.9802322e-08,0.027657537,0.054811597,0.0142631475,0.008920723,0.0381797,0.017910492,43377.113,0.008337454,0.027657533,0.01752738,total
4,0.26927656,0.30625483,0.15209709,0.28178737,0.41381893,0.4702631,0.43951982,1354384.5,0.6777313,2,0.036978297,0.03925438,total,rand,2.9802322e-08,0.02425877,0.07135151,0.012922787,0.009905575,0.03448403,0.015719445,38465.656,0.008597354,0.02425877,0.020370953,total
5,0.26927656,0.28849936,0.13502061,0.27671164,0.42112255,0.4496653,0.4333253,1384389.2,0.68439376,2,0.019222802,0.034172278,total,al,2.9802322e-08,0.034370854,0.06297645,0.012446068,0.013409598,0.041947838,0.015365088,57269.516,0.012644612,0.034370854,0.019573633,total
6,0.26927656,0.24121878,0.12922639,0.2544859,0.43117127,0.38541767,0.40544176,1458068.6,0.6970736,3,-0.028057758,0.03331084,total,al,2.9802322e-08,0.029722922,0.08039449,0.016611928,0.010503547,0.041757897,0.021084985,46012.36,0.008395484,0.029722925,0.02368708,total
7,0.26927656,0.28048867,0.19815622,0.26527563,0.41519913,0.431125,0.41830912,1391806.8,0.6824195,3,0.01121214,0.05173222,total,rand,2.9802322e-08,0.059614148,0.113536336,0.032191455,0.016974336,0.08794119,0.03958977,89840.3,0.015504331,0.059614144,0.03167548,total
8,0.26927656,0.27625516,0.07785882,0.2712055,0.42171496,0.43248358,0.4265306,1403110.2,0.6873847,4,0.00697862,0.016969845,total,rand,2.9802322e-08,0.018982187,0.03546808,0.012807025,0.01047293,0.029411986,0.015798511,29244.21,0.0069515603,0.018982187,0.011002223,total
9,0.26927656,0.26914567,0.08300745,0.26662427,0.42209268,0.42125934,0.42090702,1413154.5,0.6884493,4,-0.00013083592,0.01883044,total,al,2.9802322e-08,0.02280297,0.033225164,0.009669719,0.0090354355,0.028951587,0.012080629,37416.125,0.00807217,0.022802968,0.012861063,total
10,0.26927656,0.23040009,0.14362124,0.24390319,0.42571598,0.36394903,0.3921179,1470449.2,0.69633025,5,-0.03887644,0.03887644,total,al,2.9802322e-08,0.013046,0.046735674,0.006163184,0.008844349,0.015804883,0.007955681,22429.59,0.005711167,0.013046005,0.013046005,total
11,0.26927656,0.22617117,0.16594028,0.24624662,0.4333946,0.36413142,0.3947028,1480962.9,0.70065737,5,-0.043105364,0.043734066,total,rand,2.9802322e-08,0.02368461,0.07578302,0.021490641,0.017108878,0.041576125,0.027720612,33456.605,0.007769992,0.02368461,0.02250255,total
12,0.26927656,0.23262505,0.15097728,0.25157893,0.43546224,0.37561068,0.40163502,1472698.5,0.7003857,6,-0.036651466,0.038428687,total,rand,2.9802322e-08,0.029999452,0.09210895,0.01932796,0.010009195,0.044656582,0.024803182,44788.824,0.0073147896,0.029999452,0.027686339,total
13,0.26927656,0.25227714,0.07675927,0.2531944,0.4180893,0.39155132,0.4039731,1434950.8,0.6893185,6,-0.016999407,0.017575208,total,al,2.9802322e-08,0.015840234,0.046348814,0.010140339,0.0070153167,0.023346677,0.012949626,24430.332,0.00507628,0.015840234,0.015198845,total
14,0.26927656,0.2060496,0.23761389,0.23482522,0.44134602,0.3371077,0.37965778,1512530.0,0.7062253,7,-0.06322691,0.06322691,total,rand,2.9802322e-08,0.03325674,0.11726827,0.025014393,0.0071440437,0.05089553,0.03354021,48322.547,0.0065474515,0.03325674,0.03325674,total
15,0.26927656,0.20031586,0.25518057,0.22085786,0.42458934,0.31603676,0.3614886,1512677.1,0.7006112,7,-0.068960674,0.068960674,total,al,2.9802322e-08,0.019905249,0.07426313,0.017058626,0.0040182294,0.033410925,0.02280126,26927.494,0.0024019354,0.019905245,0.019905245,total
16,0.26927656,0.20885146,0.22467013,0.23227713,0.43425864,0.33636254,0.37604076,1505151.1,0.7030221,8,-0.060425065,0.060425065,total,rand,2.9802322e-08,0.036827967,0.1346352,0.029754648,0.015111304,0.058835268,0.039241668,53285.05,0.009267955,0.036827967,0.036827967,total
17,0.26927656,0.184395,0.3143894,0.21435794,0.43458414,0.29750988,0.35298145,1539543.6,0.7065543,8,-0.08488153,0.08488153,total,al,2.9802322e-08,0.009533646,0.03565973,0.007159899,0.0048577245,0.014207609,0.009704769,14327.355,0.0025211463,0.0095336465,0.0095336465,total
18,0.26927656,0.18144669,0.32509226,0.21093905,0.43311438,0.29158145,0.3483697,1542866.1,0.7063099,9,-0.08782985,0.08782985,total,al,2.9802322e-08,0.007907572,0.029397404,0.0041039465,0.011174006,0.007967983,0.005611358,15348.355,0.004968299,0.007907573,0.007907573,total
19,0.26927656,0.1929541,0.29008594,0.22358446,0.4405132,0.31498685,0.3648489,1530074.6,0.7074075,9,-0.07632245,0.07632245,total,rand,2.9802322e-08,0.032661848,0.10675179,0.023551675,0.010162056,0.048991762,0.031636454,48257.598,0.0072407965,0.032661848,0.032661848,total
20,0.26927656,0.20223041,0.2471705,0.23637855,0.447121,0.33593553,0.38168842,1521140.4,0.7094132,10,-0.06704612,0.06704612,total,rand,2.9802322e-08,0.029042881,0.108115315,0.025385562,0.007429145,0.049494654,0.033300966,38936.746,0.0037142506,0.029042881,0.029042881,total
21,0.26927656,0.18098798,0.32645375,0.21380529,0.43799096,0.29463974,0.3521123,1546017.2,0.7084156,10,-0.08828855,0.08828855,total,al,2.9802322e-08,0.008296288,0.030651918,0.012606679,0.010072782,0.01962754,0.01699725,8108.9277,0.0029686359,0.008296288,0.008296288,total
22,0.26927656,0.16660175,0.38060293,0.20421796,0.44386333,0.2745711,0.33913976,1568092.0,0.7119938,11,-0.10267478,0.10267478,total,al,2.9802322e-08,0.006793085,0.02530177,0.0051950025,0.0025491647,0.010070883,0.0071514053,10098.785,0.0015275532,0.0067930873,0.0067930873,total
23,0.26927656,0.18330415,0.31776637,0.22092009,0.44828922,0.30482778,0.36154485,1547067.2,0.7115863,11,-0.08597239,0.08597239,total,rand,2.9802322e-08,0.02306621,0.0860854,0.017820008,0.0066116503,0.03589326,0.02369589,33150.59,0.0043231095,0.02306621,0.02306621,total
24,0.26927656,0.17393692,0.35267824,0.21835223,0.45667505,0.2949892,0.358432,1563577.2,0.71565497,12,-0.09533961,0.09533961,total,al,2.9802322e-08,0.0018862714,0.007020986,0.002346321,0.0015675402,0.003808086,0.0031603263,2259.6956,0.00048564398,0.0018862706,0.0018862706,total
25,0.26927656,0.19141468,0.28754514,0.23333743,0.4570508,0.3243609,0.37803894,1540061.2,0.71399534,12,-0.07786183,0.07786183,total,rand,2.9802322e-08,0.02373477,0.088604115,0.01801201,0.011138308,0.03662732,0.023580609,34842.023,0.005762147,0.023734773,0.023734773,total
26,0.26927656,0.18956718,0.2939709,0.22360678,0.44363493,0.3125984,0.36470288,1536817.8,0.7095082,13,-0.07970937,0.07970937,total,rand,2.9802322e-08,0.028759748,0.10714589,0.026577026,0.009437852,0.048869472,0.03612928,38765.668,0.0041038534,0.028759748,0.028759748,total
27,0.26927656,0.19447508,0.27533567,0.23416612,0.45246154,0.32676882,0.3794705,1534133.6,0.7122317,13,-0.07480146,0.07480146,total,al,2.9802322e-08,0.0016735443,0.00623013,0.0012350348,0.0009860891,0.002509387,0.0016230278,2532.9631,0.00048682498,0.0016735411,0.0016735411,total
