,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.26927656,0.3589084,0.3498455,0.2827155,0.38892955,0.5149137,0.44038877,1254531.8,0.64912444,0,0.08963186,0.09375064,total,rand
1,0.26927656,0.39236516,0.4594906,0.30431738,0.39495856,0.5725487,0.46641296,1210449.6,0.6467072,0,0.12308866,0.12308866,total,al
2,0.26927656,0.282175,0.17066297,0.2608925,0.40689597,0.42627725,0.41284698,1384454.2,0.6781224,1,0.012898503,0.042809647,total,rand
3,0.26927656,0.2662281,0.09215397,0.26697677,0.42510706,0.4196879,0.421237,1419284.8,0.6905206,1,-0.0030484383,0.021610718,total,al
4,0.26927656,0.30625483,0.15209709,0.28178737,0.41381893,0.4702631,0.43951982,1354384.5,0.6777313,2,0.036978297,0.03925438,total,rand
5,0.26927656,0.28849936,0.13502061,0.27671164,0.42112255,0.4496653,0.4333253,1384389.2,0.68439376,2,0.019222802,0.034172278,total,al
6,0.26927656,0.24121878,0.12922639,0.2544859,0.43117127,0.38541767,0.40544176,1458068.6,0.6970736,3,-0.028057758,0.03331084,total,al
7,0.26927656,0.28048867,0.19815622,0.26527563,0.41519913,0.431125,0.41830912,1391806.8,0.6824195,3,0.01121214,0.05173222,total,rand
8,0.26927656,0.27625516,0.07785882,0.2712055,0.42171496,0.43248358,0.4265306,1403110.2,0.6873847,4,0.00697862,0.016969845,total,rand
9,0.26927656,0.26914567,0.08300745,0.26662427,0.42209268,0.42125934,0.42090702,1413154.5,0.6884493,4,-0.00013083592,0.01883044,total,al
10,0.26927656,0.23040009,0.14362124,0.24390319,0.42571598,0.36394903,0.3921179,1470449.2,0.69633025,5,-0.03887644,0.03887644,total,al
11,0.26927656,0.22617117,0.16594028,0.24624662,0.4333946,0.36413142,0.3947028,1480962.9,0.70065737,5,-0.043105364,0.043734066,total,rand
12,0.26927656,0.23262505,0.15097728,0.25157893,0.43546224,0.37561068,0.40163502,1472698.5,0.7003857,6,-0.036651466,0.038428687,total,rand
13,0.26927656,0.25227714,0.07675927,0.2531944,0.4180893,0.39155132,0.4039731,1434950.8,0.6893185,6,-0.016999407,0.017575208,total,al
14,0.26927656,0.2060496,0.23761389,0.23482522,0.44134602,0.3371077,0.37965778,1512530.0,0.7062253,7,-0.06322691,0.06322691,total,rand
15,0.26927656,0.20031586,0.25518057,0.22085786,0.42458934,0.31603676,0.3614886,1512677.1,0.7006112,7,-0.068960674,0.068960674,total,al
16,0.26927656,0.20885146,0.22467013,0.23227713,0.43425864,0.33636254,0.37604076,1505151.1,0.7030221,8,-0.060425065,0.060425065,total,rand
17,0.26927656,0.184395,0.3143894,0.21435794,0.43458414,0.29750988,0.35298145,1539543.6,0.7065543,8,-0.08488153,0.08488153,total,al
18,0.26927656,0.18144669,0.32509226,0.21093905,0.43311438,0.29158145,0.3483697,1542866.1,0.7063099,9,-0.08782985,0.08782985,total,al
19,0.26927656,0.1929541,0.29008594,0.22358446,0.4405132,0.31498685,0.3648489,1530074.6,0.7074075,9,-0.07632245,0.07632245,total,rand
20,0.26927656,0.20223041,0.2471705,0.23637855,0.447121,0.33593553,0.38168842,1521140.4,0.7094132,10,-0.06704612,0.06704612,total,rand
21,0.26927656,0.18098798,0.32645375,0.21380529,0.43799096,0.29463974,0.3521123,1546017.2,0.7084156,10,-0.08828855,0.08828855,total,al
22,0.26927656,0.16660175,0.38060293,0.20421796,0.44386333,0.2745711,0.33913976,1568092.0,0.7119938,11,-0.10267478,0.10267478,total,al
23,0.26927656,0.18330415,0.31776637,0.22092009,0.44828922,0.30482778,0.36154485,1547067.2,0.7115863,11,-0.08597239,0.08597239,total,rand
24,0.26927656,0.17393692,0.35267824,0.21835223,0.45667505,0.2949892,0.358432,1563577.2,0.71565497,12,-0.09533961,0.09533961,total,al
25,0.26927656,0.19141468,0.28754514,0.23333743,0.4570508,0.3243609,0.37803894,1540061.2,0.71399534,12,-0.07786183,0.07786183,total,rand
26,0.26927656,0.18956718,0.2939709,0.22360678,0.44363493,0.3125984,0.36470288,1536817.8,0.7095082,13,-0.07970937,0.07970937,total,rand
27,0.26927656,0.19447508,0.27533567,0.23416612,0.45246154,0.32676882,0.3794705,1534133.6,0.7122317,13,-0.07480146,0.07480146,total,al
