,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,2.9802322e-08,0.054909658,0.17711973,0.020936454,0.027091023,0.06466262,0.025649501,97477.06,0.027160326,0,0.054909654,0.04753692,total,rand
1,2.9802322e-08,0.04001968,0.14860491,0.01548951,0.02398515,0.0335002,0.01830684,82630.586,0.028672574,0,0.040019684,0.040019684,total,al
2,2.9802322e-08,0.051340595,0.10440833,0.030982155,0.011764303,0.07714387,0.03968324,76255.65,0.012357861,1,0.051340595,0.031137796,total,rand
3,2.9802322e-08,0.027657537,0.054811597,0.0142631475,0.008920723,0.0381797,0.017910492,43377.113,0.008337454,1,0.027657533,0.01752738,total,al
4,2.9802322e-08,0.02425877,0.07135151,0.012922787,0.009905575,0.03448403,0.015719445,38465.656,0.008597354,2,0.02425877,0.020370953,total,rand
5,2.9802322e-08,0.034370854,0.06297645,0.012446068,0.013409598,0.041947838,0.015365088,57269.516,0.012644612,2,0.034370854,0.019573633,total,al
6,2.9802322e-08,0.029722922,0.08039449,0.016611928,0.010503547,0.041757897,0.021084985,46012.36,0.008395484,3,0.029722925,0.02368708,total,al
7,2.9802322e-08,0.059614148,0.113536336,0.032191455,0.016974336,0.08794119,0.03958977,89840.3,0.015504331,3,0.059614144,0.03167548,total,rand
8,2.9802322e-08,0.018982187,0.03546808,0.012807025,0.01047293,0.029411986,0.015798511,29244.21,0.0069515603,4,0.018982187,0.011002223,total,rand
9,2.9802322e-08,0.02280297,0.033225164,0.009669719,0.0090354355,0.028951587,0.012080629,37416.125,0.00807217,4,0.022802968,0.012861063,total,al
10,2.9802322e-08,0.013046,0.046735674,0.006163184,0.008844349,0.015804883,0.007955681,22429.59,0.005711167,5,0.013046005,0.013046005,total,al
11,2.9802322e-08,0.02368461,0.07578302,0.021490641,0.017108878,0.041576125,0.027720612,33456.605,0.007769992,5,0.02368461,0.02250255,total,rand
12,2.9802322e-08,0.029999452,0.09210895,0.01932796,0.010009195,0.044656582,0.024803182,44788.824,0.0073147896,6,0.029999452,0.027686339,total,rand
13,2.9802322e-08,0.015840234,0.046348814,0.010140339,0.0070153167,0.023346677,0.012949626,24430.332,0.00507628,6,0.015840234,0.015198845,total,al
14,2.9802322e-08,0.03325674,0.11726827,0.025014393,0.0071440437,0.05089553,0.03354021,48322.547,0.0065474515,7,0.03325674,0.03325674,total,rand
15,2.9802322e-08,0.019905249,0.07426313,0.017058626,0.0040182294,0.033410925,0.02280126,26927.494,0.0024019354,7,0.019905245,0.019905245,total,al
16,2.9802322e-08,0.036827967,0.1346352,0.029754648,0.015111304,0.058835268,0.039241668,53285.05,0.009267955,8,0.036827967,0.036827967,total,rand
17,2.9802322e-08,0.009533646,0.03565973,0.007159899,0.0048577245,0.014207609,0.009704769,14327.355,0.0025211463,8,0.0095336465,0.0095336465,total,al
18,2.9802322e-08,0.007907572,0.029397404,0.0041039465,0.011174006,0.007967983,0.005611358,15348.355,0.004968299,9,0.007907573,0.007907573,total,al
19,2.9802322e-08,0.032661848,0.10675179,0.023551675,0.010162056,0.048991762,0.031636454,48257.598,0.0072407965,9,0.032661848,0.032661848,total,rand
20,2.9802322e-08,0.029042881,0.108115315,0.025385562,0.007429145,0.049494654,0.033300966,38936.746,0.0037142506,10,0.029042881,0.029042881,total,rand
21,2.9802322e-08,0.008296288,0.030651918,0.012606679,0.010072782,0.01962754,0.01699725,8108.9277,0.0029686359,10,0.008296288,0.008296288,total,al
22,2.9802322e-08,0.006793085,0.02530177,0.0051950025,0.0025491647,0.010070883,0.0071514053,10098.785,0.0015275532,11,0.0067930873,0.0067930873,total,al
23,2.9802322e-08,0.02306621,0.0860854,0.017820008,0.0066116503,0.03589326,0.02369589,33150.59,0.0043231095,11,0.02306621,0.02306621,total,rand
24,2.9802322e-08,0.0018862714,0.007020986,0.002346321,0.0015675402,0.003808086,0.0031603263,2259.6956,0.00048564398,12,0.0018862706,0.0018862706,total,al
25,2.9802322e-08,0.02373477,0.088604115,0.01801201,0.011138308,0.03662732,0.023580609,34842.023,0.005762147,12,0.023734773,0.023734773,total,rand
26,2.9802322e-08,0.028759748,0.10714589,0.026577026,0.009437852,0.048869472,0.03612928,38765.668,0.0041038534,13,0.028759748,0.028759748,total,rand
27,2.9802322e-08,0.0016735443,0.00623013,0.0012350348,0.0009860891,0.002509387,0.0016230278,2532.9631,0.00048682498,13,0.0016735411,0.0016735411,total,al
