,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.35496256,0.4117958,0.19239613,0.45068437,0.5810922,0.66661155,0.6183526,1154739.8,0.70648694,0,0.05683323,0.06774291,total,rand
1,0.35496256,0.3883534,0.15629968,0.44662347,0.59348816,0.6446853,0.6152325,1193224.2,0.71436334,0,0.033390854,0.055175085,total,al
2,0.35496256,0.36073685,0.10216459,0.4159266,0.5847116,0.5914441,0.58602345,1214649.4,0.70418257,1,0.0057742754,0.03623181,total,al
3,0.35496256,0.3625531,0.13978283,0.44492954,0.6171607,0.62262976,0.6154562,1237390.8,0.72450584,1,0.0075905183,0.048557207,total,rand
4,0.35496256,0.3571578,0.07274974,0.4221198,0.5933994,0.59465694,0.59309804,1226248.1,0.7100426,2,0.0021952142,0.025677,total,al
5,0.35496256,0.3554131,0.10985205,0.45668134,0.6301184,0.6270014,0.6257545,1258751.8,0.73474944,2,0.00045050384,0.03852307,total,rand
6,0.35496256,0.3142144,0.15753354,0.44926065,0.6646031,0.5862351,0.6176907,1324438.9,0.7470071,3,-0.040748183,0.05382536,total,rand
7,0.35496256,0.3358782,0.062300045,0.41025132,0.59827006,0.566142,0.58143914,1253669.8,0.71107876,3,-0.019084407,0.022132622,total,al
8,0.35496256,0.33803025,0.09873883,0.47372383,0.6609167,0.6274367,0.6419405,1301851.5,0.7524413,4,-0.016932309,0.035083745,total,rand
9,0.35496256,0.3289316,0.0730267,0.4318553,0.6273546,0.58115864,0.60309,1283841.2,0.7286859,4,-0.026030943,0.026030943,total,al
10,0.35496256,0.3226144,0.090673044,0.4493873,0.6509067,0.591839,0.6195962,1308683.5,0.7425853,5,-0.032348122,0.032348122,total,al
11,0.35496256,0.33060136,0.1146556,0.48667282,0.6810988,0.6331782,0.65343845,1325117.4,0.7639462,5,-0.024361223,0.040497728,total,rand
12,0.35496256,0.33519822,0.056791585,0.45600075,0.64507324,0.60901415,0.62628883,1292740.5,0.74219465,6,-0.019764382,0.019819595,total,al
13,0.35496256,0.3202548,0.11500496,0.47932982,0.6835824,0.61700714,0.64654225,1336438.1,0.7628125,6,-0.034707744,0.038038626,total,rand
14,0.35496256,0.28796327,0.19386691,0.4491222,0.6924862,0.56280756,0.6166038,1368516.5,0.7566264,7,-0.06699929,0.06699929,total,rand
15,0.35496256,0.2995878,0.15549691,0.4375301,0.6649206,0.561389,0.6081908,1338710.6,0.74399483,7,-0.05537477,0.05537477,total,al
16,0.35496256,0.29706898,0.16434534,0.45915532,0.6914026,0.57850975,0.62837017,1359836.2,0.7586681,8,-0.057893615,0.057893615,total,rand
17,0.35496256,0.2711996,0.23589511,0.4271236,0.6912318,0.52799064,0.5984971,1379342.1,0.74867266,8,-0.08376296,0.08376296,total,al
18,0.35496256,0.29585654,0.16860934,0.4746221,0.709537,0.59077716,0.6428499,1373517.4,0.7685894,9,-0.059106015,0.059106015,total,rand
19,0.35496256,0.2687295,0.24245115,0.41141468,0.67638284,0.5121064,0.58271796,1371555.9,0.73986614,9,-0.08623304,0.08623304,total,al
20,0.35496256,0.29128987,0.19340125,0.47463283,0.7168559,0.5874726,0.64157766,1381857.8,0.7708101,10,-0.06367271,0.06838116,total,rand
21,0.35496256,0.2765349,0.22105238,0.4595522,0.7189796,0.56018955,0.6295674,1394319.0,0.76619613,10,-0.07842767,0.07842767,total,al
22,0.35496256,0.262065,0.26210392,0.46596533,0.74908435,0.55252075,0.63554466,1423190.2,0.77522177,11,-0.09289756,0.09289756,total,al
23,0.35496256,0.28388152,0.20115308,0.478195,0.7282878,0.5824069,0.6464466,1395645.4,0.7746222,11,-0.07108103,0.07108103,total,rand
24,0.35496256,0.25726765,0.275452,0.45192724,0.74178225,0.5370278,0.62225085,1421464.9,0.7690203,12,-0.09769492,0.09769492,total,rand
25,0.35496256,0.25931692,0.26951355,0.4700063,0.7577011,0.5534559,0.63919777,1430759.8,0.7786338,12,-0.09564565,0.09564565,total,al
26,0.35496256,0.26302123,0.2593295,0.44793624,0.7282732,0.53888834,0.6185556,1408948.0,0.7645876,13,-0.09194134,0.09194134,total,al
27,0.35496256,0.2766039,0.2272754,0.46572638,0.728721,0.5660937,0.634816,1399299.9,0.7703186,13,-0.078358665,0.080163956,total,rand
