,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.049042217,0.08947707,0.0660594,0.07814464,0.075431995,0.06565555,117614.51,0.060078245,0,0.04904221,0.03234275,total,rand
1,0.0,0.051604923,0.07687382,0.05836794,0.060849667,0.07591762,0.055475693,96533.73,0.04330239,0,0.05160493,0.027087416,total,al
2,0.0,0.043435864,0.069565125,0.04486495,0.050340485,0.06539443,0.046529803,77019.4,0.033989307,1,0.043435864,0.024642903,total,al
3,0.0,0.06508168,0.12185645,0.024368057,0.046383977,0.06629423,0.023294022,107310.81,0.026174905,1,0.065081686,0.043993622,total,rand
4,0.0,0.027737016,0.030126732,0.028034594,0.04071474,0.031887077,0.027911568,59116.38,0.025379596,2,0.027737016,0.010716938,total,al
5,0.0,0.047878362,0.07889507,0.043778878,0.04700052,0.064571224,0.04200726,79526.45,0.02919948,2,0.04787836,0.02843437,total,rand
6,0.0,0.056066237,0.11683896,0.058299206,0.028827772,0.09666115,0.05709919,59706.445,0.019787263,3,0.056066237,0.043665405,total,rand
7,0.0,0.015949517,0.03198926,0.022813017,0.018458696,0.032629386,0.023092868,21074.734,0.0126878265,3,0.015949521,0.011346754,total,al
8,0.0,0.035554744,0.05067596,0.039221585,0.03880194,0.05761065,0.03581127,52900.008,0.022335874,4,0.035554748,0.017887816,total,rand
9,0.0,0.013977018,0.03955462,0.01326232,0.010535077,0.022357024,0.012996627,18140.36,0.0062903357,4,0.013977021,0.013977021,total,al
10,0.0,0.015825609,0.044769756,0.027734185,0.01727624,0.03666152,0.026662696,16492.777,0.013353808,5,0.015825607,0.015825607,total,al
11,0.0,0.04352453,0.08193378,0.045676664,0.02330219,0.07702776,0.041521292,46252.54,0.017583605,5,0.043524526,0.029116794,total,rand
12,0.0,0.012827626,0.034169003,0.011451966,0.007572991,0.02084604,0.010804082,15047.013,0.0044645946,6,0.012827632,0.012742159,total,al
13,0.0,0.03568658,0.083594985,0.04907957,0.02005378,0.07361399,0.045028698,29477.635,0.019487908,6,0.035686582,0.03211265,total,rand
14,0.0,0.04730428,0.127541,0.06901323,0.020595558,0.09883772,0.068298824,33779.95,0.024533447,7,0.047304288,0.047304288,total,rand
15,0.0,0.018676598,0.052527115,0.028437134,0.013667836,0.040332083,0.026981654,15715.507,0.011953472,7,0.018676598,0.018676598,total,al
16,0.0,0.030168762,0.08391843,0.03919147,0.018137025,0.059666112,0.03624485,27017.662,0.015122194,8,0.030168762,0.030168762,total,rand
17,0.0,0.009668555,0.027290085,0.010842405,0.009277482,0.016345937,0.010797163,11857.725,0.004517714,8,0.009668557,0.009668557,total,al
18,0.0,0.031952508,0.08807552,0.03729754,0.01513391,0.05941567,0.0343989,29209.557,0.012295003,9,0.031952508,0.031952508,total,rand
19,0.0,0.009428063,0.026620192,0.019318366,0.016592132,0.022738846,0.019259423,12806.377,0.00978342,9,0.009428065,0.009428065,total,al
20,0.0,0.047483113,0.11394063,0.058102675,0.017152792,0.09032338,0.05465995,40904.734,0.018848874,10,0.047483113,0.040408872,total,rand
21,0.0,0.008861847,0.025092397,0.0150237605,0.0053546363,0.020137977,0.014455745,5418.1855,0.0057778065,10,0.0088618435,0.0088618435,total,al
22,0.0,0.01425618,0.04005355,0.016006354,0.020325307,0.022301586,0.015211976,20972.668,0.008230805,11,0.014256179,0.014256179,total,al
23,0.0,0.019476673,0.054618992,0.029855551,0.013116958,0.041248642,0.027306058,15814.661,0.0114994785,11,0.019476673,0.019476673,total,rand
24,0.0,0.01838702,0.051941436,0.020337928,0.01681217,0.031207403,0.019217836,21034.033,0.0073377686,12,0.01838702,0.01838702,total,rand
25,0.0,0.0146579025,0.041039553,0.020582976,0.005523935,0.029781953,0.01881161,10754.138,0.006852352,12,0.0146579025,0.0146579025,total,al
26,0.0,0.021092758,0.059356112,0.016133493,0.012895334,0.03235407,0.015044757,23729.217,0.0023103582,13,0.021092756,0.021092756,total,al
27,0.0,0.03577207,0.08720663,0.032714963,0.022330891,0.058336653,0.030135136,39451.25,0.009660626,13,0.035772074,0.03151922,total,rand
