,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.15109125,0.13485728,0.6428557,0.160582,0.38530472,0.2765239,0.27197164,594411.1,0.79761314,0,-0.01623397,0.08847521,total,al,1.4901161e-08,0.09853891,0.34577197,0.059350193,0.13007219,0.15016237,0.09321846,61099.176,0.058237195,0.098538905,0.046320554,total
1,0.15109125,0.14030099,0.5323838,0.1709883,0.3416732,0.28422865,0.2903909,591045.5,0.7944976,0,-0.010790271,0.057335205,total,rand,1.4901161e-08,0.078852095,0.34177038,0.036375504,0.08160821,0.096756965,0.053129416,52329.117,0.0553616,0.07885209,0.05519743,total
2,0.15109125,0.18335965,0.6649629,0.18849772,0.32112485,0.34932125,0.3147884,564917.3,0.7711089,1,0.032268383,0.071676314,total,rand,1.4901161e-08,0.0989624,0.5517267,0.04423895,0.10288796,0.12890814,0.06490131,65471.81,0.06947546,0.0989624,0.075480536,total
3,0.15109125,0.16940686,0.49417487,0.18892114,0.30748686,0.34459406,0.31221318,575328.5,0.7836331,1,0.018315617,0.05095718,total,al,1.4901161e-08,0.0650786,0.2610171,0.06708994,0.07721547,0.14354208,0.09915458,37379.81,0.034984,0.0650786,0.044430308,total
4,0.15109125,0.19026132,0.6301832,0.20057161,0.3266151,0.37979937,0.33185762,563111.1,0.7734171,2,0.039170057,0.08085327,total,al,1.4901161e-08,0.093085535,0.4379216,0.044697266,0.06905754,0.13269362,0.060986113,59982.73,0.06143151,0.09308553,0.060514107,total
5,0.15109125,0.16530684,0.78353494,0.14960285,0.30725268,0.29359636,0.254354,572493.2,0.7723226,2,0.014215578,0.09117686,total,rand,1.4901161e-08,0.109372854,0.39081746,0.06525906,0.069789544,0.16583098,0.10431884,67758.164,0.0643419,0.109372854,0.06205872,total
6,0.15109125,0.12871245,0.46001035,0.18372558,0.3784935,0.2837178,0.30864707,600098.4,0.80593187,3,-0.022378812,0.06612535,total,al,1.4901161e-08,0.07380294,0.32738596,0.037940912,0.092013665,0.0775064,0.055299275,52170.17,0.060239587,0.07380293,0.039687827,total
7,0.15109125,0.12968862,0.39796332,0.20604785,0.38585848,0.32005084,0.34052613,603647.9,0.81593496,3,-0.021402633,0.04940062,total,rand,1.4901161e-08,0.049327817,0.16441584,0.032246895,0.0469923,0.086135015,0.043570817,29881.37,0.028158816,0.049327824,0.02123406,total
8,0.15109125,0.11980271,0.6849346,0.13119748,0.3485772,0.21653971,0.22880793,599123.0,0.7945415,4,-0.031288546,0.093452945,total,rand,1.4901161e-08,0.101509444,0.4468418,0.048123717,0.1256292,0.12226086,0.07419509,67851.96,0.07256836,0.101509444,0.05049443,total
9,0.15109125,0.09395407,0.48359227,0.15010232,0.36952144,0.22584096,0.2531221,620556.4,0.8232009,4,-0.05713719,0.06952182,total,al,1.4901161e-08,0.06059805,0.24216914,0.07730125,0.06691013,0.1408451,0.117648825,31988.469,0.02329326,0.06059805,0.045863904,total
10,0.15109125,0.09842731,0.47866768,0.15898226,0.38465253,0.24001834,0.26795068,618723.1,0.82301176,5,-0.052663945,0.067768574,total,al,1.4901161e-08,0.062147696,0.23598573,0.06976972,0.077575974,0.13633011,0.10635403,33497.176,0.02479347,0.0621477,0.04520231,total
11,0.15109125,0.11751161,0.43917274,0.17682798,0.38154382,0.27425247,0.29912132,607782.4,0.8142725,5,-0.03357965,0.060382508,total,rand,1.4901161e-08,0.05807597,0.1178578,0.03377767,0.069620095,0.10097681,0.048607375,33982.598,0.028759615,0.05807597,0.02922949,total
12,0.15109125,0.098330036,0.5389463,0.14136904,0.34905905,0.21852672,0.2423019,616245.9,0.8166146,6,-0.05276122,0.08202468,total,al,1.4901161e-08,0.071651734,0.20694177,0.06405406,0.0884549,0.14832686,0.09661459,39668.37,0.030969389,0.071651734,0.034491602,total
13,0.15109125,0.101372,0.5245056,0.12287617,0.296791,0.18658677,0.2154191,610058.4,0.80392104,6,-0.049719255,0.064425305,total,rand,1.4901161e-08,0.051639285,0.13390823,0.049664687,0.09334039,0.09432642,0.077833906,32718.898,0.034661815,0.051639285,0.031432454,total
14,0.15109125,0.08948642,0.44881397,0.16785446,0.4173596,0.23009098,0.28520134,624574.9,0.8289528,7,-0.06160484,0.065257736,total,al,1.4901161e-08,0.037442017,0.15929915,0.041865714,0.09009787,0.06466255,0.06301776,24186.963,0.026091719,0.037442017,0.030634759,total
15,0.15109125,0.069962166,0.50762296,0.15673727,0.44302344,0.20168655,0.2687877,636554.3,0.8398937,7,-0.08112909,0.08112909,total,rand,1.4901161e-08,0.026860237,0.18247563,0.04119902,0.03810735,0.06817658,0.06208733,13349.972,0.008189646,0.026860235,0.026860235,total
