,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.15109125,0.13485728,0.6428557,0.160582,0.38530472,0.2765239,0.27197164,594411.1,0.79761314,0,-0.01623397,0.08847521,total,al
1,0.15109125,0.14030099,0.5323838,0.1709883,0.3416732,0.28422865,0.2903909,591045.5,0.7944976,0,-0.010790271,0.057335205,total,rand
2,0.15109125,0.18335965,0.6649629,0.18849772,0.32112485,0.34932125,0.3147884,564917.3,0.7711089,1,0.032268383,0.071676314,total,rand
3,0.15109125,0.16940686,0.49417487,0.18892114,0.30748686,0.34459406,0.31221318,575328.5,0.7836331,1,0.018315617,0.05095718,total,al
4,0.15109125,0.19026132,0.6301832,0.20057161,0.3266151,0.37979937,0.33185762,563111.1,0.7734171,2,0.039170057,0.08085327,total,al
5,0.15109125,0.16530684,0.78353494,0.14960285,0.30725268,0.29359636,0.254354,572493.2,0.7723226,2,0.014215578,0.09117686,total,rand
6,0.15109125,0.12871245,0.46001035,0.18372558,0.3784935,0.2837178,0.30864707,600098.4,0.80593187,3,-0.022378812,0.06612535,total,al
7,0.15109125,0.12968862,0.39796332,0.20604785,0.38585848,0.32005084,0.34052613,603647.9,0.81593496,3,-0.021402633,0.04940062,total,rand
8,0.15109125,0.11980271,0.6849346,0.13119748,0.3485772,0.21653971,0.22880793,599123.0,0.7945415,4,-0.031288546,0.093452945,total,rand
9,0.15109125,0.09395407,0.48359227,0.15010232,0.36952144,0.22584096,0.2531221,620556.4,0.8232009,4,-0.05713719,0.06952182,total,al
10,0.15109125,0.09842731,0.47866768,0.15898226,0.38465253,0.24001834,0.26795068,618723.1,0.82301176,5,-0.052663945,0.067768574,total,al
11,0.15109125,0.11751161,0.43917274,0.17682798,0.38154382,0.27425247,0.29912132,607782.4,0.8142725,5,-0.03357965,0.060382508,total,rand
12,0.15109125,0.098330036,0.5389463,0.14136904,0.34905905,0.21852672,0.2423019,616245.9,0.8166146,6,-0.05276122,0.08202468,total,al
13,0.15109125,0.101372,0.5245056,0.12287617,0.296791,0.18658677,0.2154191,610058.4,0.80392104,6,-0.049719255,0.064425305,total,rand
14,0.15109125,0.08948642,0.44881397,0.16785446,0.4173596,0.23009098,0.28520134,624574.9,0.8289528,7,-0.06160484,0.065257736,total,al
15,0.15109125,0.069962166,0.50762296,0.15673727,0.44302344,0.20168655,0.2687877,636554.3,0.8398937,7,-0.08112909,0.08112909,total,rand
16,0.15109125,0.072809204,0.51049954,0.122633204,0.34171525,0.16424766,0.21322933,629866.7,0.8257333,8,-0.07828205,0.07828205,total,al
17,0.15109125,0.06491227,0.5459986,0.11368789,0.35931677,0.15034547,0.20047966,634425.2,0.82942927,8,-0.08617898,0.08617898,total,rand
18,0.15109125,0.05977896,0.5669397,0.13847885,0.4438308,0.17397054,0.23884258,641269.4,0.8417017,9,-0.091312304,0.091312304,total,rand
19,0.15109125,0.050282396,0.6287507,0.13428326,0.5088744,0.1651532,0.22980419,647690.1,0.84853375,9,-0.10080886,0.10080886,total,al
