,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,1.4901161e-08,0.09853891,0.34577197,0.059350193,0.13007219,0.15016237,0.09321846,61099.176,0.058237195,0,0.098538905,0.046320554,total,al
1,1.4901161e-08,0.078852095,0.34177038,0.036375504,0.08160821,0.096756965,0.053129416,52329.117,0.0553616,0,0.07885209,0.05519743,total,rand
2,1.4901161e-08,0.0989624,0.5517267,0.04423895,0.10288796,0.12890814,0.06490131,65471.81,0.06947546,1,0.0989624,0.075480536,total,rand
3,1.4901161e-08,0.0650786,0.2610171,0.06708994,0.07721547,0.14354208,0.09915458,37379.81,0.034984,1,0.0650786,0.044430308,total,al
4,1.4901161e-08,0.093085535,0.4379216,0.044697266,0.06905754,0.13269362,0.060986113,59982.73,0.06143151,2,0.09308553,0.060514107,total,al
5,1.4901161e-08,0.109372854,0.39081746,0.06525906,0.069789544,0.16583098,0.10431884,67758.164,0.0643419,2,0.109372854,0.06205872,total,rand
6,1.4901161e-08,0.07380294,0.32738596,0.037940912,0.092013665,0.0775064,0.055299275,52170.17,0.060239587,3,0.07380293,0.039687827,total,al
7,1.4901161e-08,0.049327817,0.16441584,0.032246895,0.0469923,0.086135015,0.043570817,29881.37,0.028158816,3,0.049327824,0.02123406,total,rand
8,1.4901161e-08,0.101509444,0.4468418,0.048123717,0.1256292,0.12226086,0.07419509,67851.96,0.07256836,4,0.101509444,0.05049443,total,rand
9,1.4901161e-08,0.06059805,0.24216914,0.07730125,0.06691013,0.1408451,0.117648825,31988.469,0.02329326,4,0.06059805,0.045863904,total,al
10,1.4901161e-08,0.062147696,0.23598573,0.06976972,0.077575974,0.13633011,0.10635403,33497.176,0.02479347,5,0.0621477,0.04520231,total,al
11,1.4901161e-08,0.05807597,0.1178578,0.03377767,0.069620095,0.10097681,0.048607375,33982.598,0.028759615,5,0.05807597,0.02922949,total,rand
12,1.4901161e-08,0.071651734,0.20694177,0.06405406,0.0884549,0.14832686,0.09661459,39668.37,0.030969389,6,0.071651734,0.034491602,total,al
13,1.4901161e-08,0.051639285,0.13390823,0.049664687,0.09334039,0.09432642,0.077833906,32718.898,0.034661815,6,0.051639285,0.031432454,total,rand
14,1.4901161e-08,0.037442017,0.15929915,0.041865714,0.09009787,0.06466255,0.06301776,24186.963,0.026091719,7,0.037442017,0.030634759,total,al
15,1.4901161e-08,0.026860237,0.18247563,0.04119902,0.03810735,0.06817658,0.06208733,13349.972,0.008189646,7,0.026860235,0.026860235,total,rand
16,1.4901161e-08,0.027172131,0.16062202,0.061748274,0.109200895,0.09069232,0.09540887,14100.195,0.01673712,8,0.027172128,0.027172128,total,al
17,1.4901161e-08,0.03276062,0.18106794,0.051492028,0.09253996,0.08442527,0.07981828,17242.275,0.014613442,8,0.03276062,0.03276062,total,rand
18,1.4901161e-08,0.028134083,0.18772548,0.05783667,0.05566576,0.08408399,0.087186776,13219.508,0.009817906,9,0.028134085,0.028134085,total,rand
19,1.4901161e-08,0.033567753,0.2244942,0.07222877,0.03275415,0.10474905,0.10945913,14003.012,0.0028743995,9,0.033567753,0.033567753,total,al
