Step,Method,Value
1,al,78.5
1,al,101.0
1,al,35.0
1,al,83.0
1,al,133.5
1,al,103.0
1,al,11.5
1,al,165.5
1,al,25.0
1,al,25.0
1,rand,18.5
1,rand,43.0
1,rand,104.5
1,rand,17.5
1,rand,113.0
1,rand,84.0
1,rand,1.5
1,rand,54.5
1,rand,15.5
1,rand,35.5
2,al,111.0
2,al,145.0
2,al,187.0
2,al,128.0
2,al,29.0
2,al,29.0
2,al,89.0
2,al,61.0
2,al,49.0
2,al,49.0
2,rand,145.0
2,rand,50.0
2,rand,177.0
2,rand,56.0
2,rand,20.0
2,rand,117.0
2,rand,32.0
2,rand,155.0
2,rand,78.0
2,rand,61.0
3,al,7.0
3,al,89.0
3,al,10.0
3,al,117.0
3,al,88.0
3,al,177.0
3,al,78.0
3,al,32.0
3,al,56.0
3,al,167.0
3,rand,128.0
3,rand,88.0
3,rand,32.0
3,rand,8.0
3,rand,196.0
3,rand,85.0
3,rand,187.0
3,rand,24.0
3,rand,81.0
3,rand,117.0
4,al,78.0
4,al,117.0
4,al,121.0
4,al,89.0
4,al,11.0
4,al,145.0
4,al,128.0
4,al,56.0
4,al,40.0
4,al,20.0
4,rand,138.0
4,rand,10.0
4,rand,61.0
4,rand,40.0
4,rand,29.0
4,rand,43.0
4,rand,10.0
4,rand,23.0
4,rand,47.0
4,rand,88.0
5,al,216.0
5,al,29.0
5,al,111.0
5,al,81.0
5,al,43.0
5,al,56.0
5,al,29.0
5,al,7.0
5,al,71.0
5,al,131.0
5,rand,91.0
5,rand,145.0
5,rand,216.0
5,rand,121.0
5,rand,177.0
5,rand,67.0
5,rand,89.0
5,rand,79.0
5,rand,138.0
5,rand,167.0
6,al,91.0
6,al,79.0
6,al,88.0
6,al,40.0
6,al,7.0
6,al,79.0
6,al,49.0
6,al,118.0
6,al,88.0
6,al,40.0
6,rand,71.0
6,rand,61.0
6,rand,131.0
6,rand,128.0
6,rand,89.0
6,rand,32.0
6,rand,79.0
6,rand,49.0
6,rand,187.0
6,rand,68.0
7,al,64.0
7,al,17.0
7,al,47.0
7,al,111.0
7,al,30.0
7,al,20.0
7,al,7.0
7,al,88.0
7,al,47.0
7,al,3.0
7,rand,79.0
7,rand,108.0
7,rand,23.0
7,rand,78.0
7,rand,32.0
7,rand,96.0
7,rand,111.0
7,rand,118.0
7,rand,32.0
7,rand,3.0
8,al,67.0
8,al,47.0
8,al,17.0
8,al,118.0
8,al,88.0
8,al,108.0
8,al,23.0
8,al,108.0
8,al,67.0
8,al,20.0
8,rand,11.0
8,rand,79.0
8,rand,9.0
8,rand,108.0
8,rand,40.0
8,rand,17.0
8,rand,43.0
8,rand,71.0
8,rand,135.0
8,rand,47.0
9,al,20.0
9,al,7.0
9,al,47.0
9,al,30.0
9,al,71.0
9,al,17.0
9,al,17.0
9,al,88.0
9,al,88.0
9,al,47.0
9,rand,99.0
9,rand,167.0
9,rand,11.0
9,rand,88.0
9,rand,17.0
9,rand,30.0
9,rand,20.0
9,rand,125.0
9,rand,111.0
9,rand,128.0
10,al,9.0
10,al,131.0
10,al,108.0
10,al,91.0
10,al,40.0
10,al,91.0
10,al,11.0
10,al,99.0
10,al,56.0
10,rand,79.0
10,rand,111.0
10,rand,68.0
10,rand,20.0
10,rand,47.0
10,rand,138.0
10,rand,30.0
10,rand,128.0
10,rand,85.0
10,rand,10.0
