,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.26927656,0.12152805,0.5476758,0.16802236,0.46456614,0.2095099,0.28702846,1635809.2,0.7220286,0,-0.14774847,0.14774847,total,rand,2.9802322e-08,0.021231923,0.07947234,0.02320255,0.020482915,0.03589577,0.033993263,29820.475,0.0055255103,0.021231923,0.021231923,total
1,0.26927656,0.12668976,0.52822226,0.17450391,0.4640123,0.2187304,0.29656872,1629225.8,0.72183263,0,-0.14258677,0.14258677,total,al,2.9802322e-08,0.01368479,0.051483855,0.02170437,0.027526578,0.029817011,0.031623285,17598.926,0.006649616,0.013684791,0.013684791,total
2,0.26927656,0.12594666,0.53117085,0.17288682,0.46343789,0.21655533,0.29452792,1629612.8,0.7214044,1,-0.14332989,0.14332989,total,rand,2.9802322e-08,0.012518352,0.04678107,0.014957879,0.019454647,0.021737035,0.021743463,18819.707,0.0053939843,0.012518352,0.012518352,total
3,0.26927656,0.120419785,0.5524076,0.16669801,0.46269923,0.20699258,0.2854721,1636867.1,0.72178113,1,-0.14885673,0.14885673,total,al,2.9802322e-08,0.011638256,0.04356697,0.015104344,0.016706659,0.021826325,0.022240954,15759.213,0.0039843954,0.011638257,0.011638257,total
4,0.26927656,0.13241637,0.507123,0.18209806,0.46815595,0.22992396,0.30797973,1622559.8,0.7221343,2,-0.13686016,0.13686016,total,rand,2.9802322e-08,0.010255677,0.03845619,0.009656251,0.015312051,0.015513769,0.013810975,16325.154,0.0042397617,0.010255677,0.010255677,total
5,0.26927656,0.12423525,0.5378399,0.16954215,0.46041352,0.21213861,0.28964192,1630895.8,0.7207371,2,-0.14504127,0.14504127,total,al,2.9802322e-08,0.014032689,0.052252837,0.015120947,0.017745025,0.022830565,0.022180535,20986.834,0.004951905,0.014032692,0.014032692,total
6,0.26927656,0.12074254,0.5505004,0.16332862,0.45535725,0.20384905,0.28043336,1633993.6,0.71976554,3,-0.14853397,0.14853397,total,al,2.9802322e-08,0.017055368,0.06376859,0.016839448,0.011821534,0.026666027,0.024974411,24736.297,0.0038538526,0.017055364,0.017055364,total
7,0.26927656,0.12966493,0.51735324,0.17883101,0.46696892,0.22494249,0.30314165,1626025.0,0.722203,3,-0.13961159,0.13961159,total,rand,2.9802322e-08,0.010978496,0.040788054,0.014602091,0.014048755,0.02109161,0.021142744,14587.521,0.003801314,0.010978496,0.010978496,total
8,0.26927656,0.12982634,0.51669383,0.1800769,0.46971688,0.22627816,0.3050797,1626512.2,0.722761,4,-0.13945022,0.13945022,total,rand,2.9802322e-08,0.009308866,0.034658533,0.009714467,0.013610385,0.0148819545,0.013977183,14471.223,0.0038481725,0.009308868,0.009308868,total
9,0.26927656,0.118648455,0.5584992,0.16386059,0.46101412,0.20296943,0.28147355,1638557.9,0.72138584,4,-0.15062808,0.15062808,total,al,2.9802322e-08,0.009252621,0.03459592,0.009171133,0.008468887,0.0143041415,0.013599725,13662.685,0.0024236778,0.009252623,0.009252623,total
