,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.26927656,0.12152805,0.5476758,0.16802236,0.46456614,0.2095099,0.28702846,1635809.2,0.7220286,0,-0.14774847,0.14774847,total,rand
1,0.26927656,0.12668976,0.52822226,0.17450391,0.4640123,0.2187304,0.29656872,1629225.8,0.72183263,0,-0.14258677,0.14258677,total,al
2,0.26927656,0.12594666,0.53117085,0.17288682,0.46343789,0.21655533,0.29452792,1629612.8,0.7214044,1,-0.14332989,0.14332989,total,rand
3,0.26927656,0.120419785,0.5524076,0.16669801,0.46269923,0.20699258,0.2854721,1636867.1,0.72178113,1,-0.14885673,0.14885673,total,al
4,0.26927656,0.13241637,0.507123,0.18209806,0.46815595,0.22992396,0.30797973,1622559.8,0.7221343,2,-0.13686016,0.13686016,total,rand
5,0.26927656,0.12423525,0.5378399,0.16954215,0.46041352,0.21213861,0.28964192,1630895.8,0.7207371,2,-0.14504127,0.14504127,total,al
6,0.26927656,0.12074254,0.5505004,0.16332862,0.45535725,0.20384905,0.28043336,1633993.6,0.71976554,3,-0.14853397,0.14853397,total,al
7,0.26927656,0.12966493,0.51735324,0.17883101,0.46696892,0.22494249,0.30314165,1626025.0,0.722203,3,-0.13961159,0.13961159,total,rand
8,0.26927656,0.12982634,0.51669383,0.1800769,0.46971688,0.22627816,0.3050797,1626512.2,0.722761,4,-0.13945022,0.13945022,total,rand
9,0.26927656,0.118648455,0.5584992,0.16386059,0.46101412,0.20296943,0.28147355,1638557.9,0.72138584,4,-0.15062808,0.15062808,total,al
10,0.26927656,0.12085338,0.5500909,0.16337243,0.45342126,0.20354998,0.28074497,1633523.2,0.71949357,5,-0.14842315,0.14842315,total,al
11,0.26927656,0.12753657,0.5252671,0.17698765,0.4683144,0.22178598,0.30055553,1629166.8,0.72263145,5,-0.14173996,0.14173996,total,rand
12,0.26927656,0.1204147,0.55185324,0.17108215,0.47298902,0.21142837,0.29213542,1639815.1,0.72417516,6,-0.14886184,0.14886184,total,al
13,0.26927656,0.12567887,0.53202504,0.17506883,0.46852762,0.21858081,0.2978806,1631611.2,0.72276294,6,-0.14359766,0.14359766,total,rand
14,0.26927656,0.12532097,0.53355443,0.17447042,0.46808487,0.21777026,0.2970255,1631954.2,0.72268426,7,-0.14395556,0.14395556,total,rand
15,0.26927656,0.12064898,0.5511634,0.16714112,0.46269616,0.20742247,0.28629214,1636588.2,0.7217835,7,-0.14862755,0.14862755,total,al
16,0.26927656,0.12447403,0.5363937,0.16761644,0.45420876,0.20998874,0.2870322,1628886.2,0.7193405,8,-0.1448025,0.1448025,total,al
17,0.26927656,0.1280943,0.5235348,0.17934379,0.47182363,0.2244538,0.30407208,1629561.6,0.72351044,8,-0.14118221,0.14118221,total,rand
18,0.26927656,0.12538613,0.5329164,0.17117952,0.46016216,0.21431592,0.29221207,1629508.2,0.7207588,9,-0.14389041,0.14389041,total,rand
19,0.26927656,0.11916294,0.5564875,0.16417821,0.45986986,0.2034758,0.28200072,1637628.6,0.7211441,9,-0.15011358,0.15011358,total,al
20,0.26927656,0.12897387,0.52019846,0.1814413,0.47449946,0.22724858,0.3070472,1629249.5,0.724136,10,-0.14030266,0.14030266,total,al
21,0.26927656,0.13824062,0.4853747,0.19076689,0.47240648,0.24248263,0.32037264,1616557.0,0.7230736,10,-0.1310359,0.1310359,total,rand
22,0.26927656,0.13164264,0.5099288,0.18313022,0.4714574,0.23050454,0.30948335,1624845.4,0.7232207,11,-0.13763389,0.13763389,total,rand
23,0.26927656,0.124045596,0.53818494,0.17293085,0.46777123,0.21545649,0.29477474,1633557.5,0.7227136,11,-0.14523092,0.14523092,total,al
24,0.26927656,0.12966877,0.51755744,0.17976394,0.46886247,0.225794,0.30466706,1626579.1,0.72265774,12,-0.13960776,0.13960776,total,rand
25,0.26927656,0.12635802,0.52982146,0.17674428,0.47028455,0.22070949,0.30034363,1631350.8,0.72323024,12,-0.14291851,0.14291851,total,al
26,0.26927656,0.13131484,0.51130354,0.18307638,0.47227526,0.23029283,0.30941802,1625510.9,0.72343457,13,-0.1379617,0.1379617,total,al
27,0.26927656,0.13514835,0.49708968,0.1856734,0.46854478,0.23519269,0.31313682,1619332.2,0.72223985,13,-0.13412818,0.13412818,total,rand
