,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,2.9802322e-08,0.021231923,0.07947234,0.02320255,0.020482915,0.03589577,0.033993263,29820.475,0.0055255103,0,0.021231923,0.021231923,total,rand
1,2.9802322e-08,0.01368479,0.051483855,0.02170437,0.027526578,0.029817011,0.031623285,17598.926,0.006649616,0,0.013684791,0.013684791,total,al
2,2.9802322e-08,0.012518352,0.04678107,0.014957879,0.019454647,0.021737035,0.021743463,18819.707,0.0053939843,1,0.012518352,0.012518352,total,rand
3,2.9802322e-08,0.011638256,0.04356697,0.015104344,0.016706659,0.021826325,0.022240954,15759.213,0.0039843954,1,0.011638257,0.011638257,total,al
4,2.9802322e-08,0.010255677,0.03845619,0.009656251,0.015312051,0.015513769,0.013810975,16325.154,0.0042397617,2,0.010255677,0.010255677,total,rand
5,2.9802322e-08,0.014032689,0.052252837,0.015120947,0.017745025,0.022830565,0.022180535,20986.834,0.004951905,2,0.014032692,0.014032692,total,al
6,2.9802322e-08,0.017055368,0.06376859,0.016839448,0.011821534,0.026666027,0.024974411,24736.297,0.0038538526,3,0.017055364,0.017055364,total,al
7,2.9802322e-08,0.010978496,0.040788054,0.014602091,0.014048755,0.02109161,0.021142744,14587.521,0.003801314,3,0.010978496,0.010978496,total,rand
8,2.9802322e-08,0.009308866,0.034658533,0.009714467,0.013610385,0.0148819545,0.013977183,14471.223,0.0038481725,4,0.009308868,0.009308868,total,rand
9,2.9802322e-08,0.009252621,0.03459592,0.009171133,0.008468887,0.0143041415,0.013599725,13662.685,0.0024236778,4,0.009252623,0.009252623,total,al
10,2.9802322e-08,0.0074067977,0.027564539,0.009486542,0.008935302,0.01377175,0.014058025,9825.59,0.002147706,5,0.007406798,0.007406798,total,al
11,2.9802322e-08,0.010647085,0.039413597,0.01253946,0.010016921,0.019173672,0.017913759,14224.717,0.0026374676,5,0.010647085,0.010647085,total,rand
12,2.9802322e-08,0.004601671,0.017261518,0.0058350805,0.011811778,0.0078656655,0.008441304,8000.3076,0.0029985427,6,0.004601674,0.004601674,total,al
13,2.9802322e-08,0.0072676693,0.02716597,0.0085860435,0.013369284,0.012453684,0.012454936,11347.465,0.0035087613,6,0.0072676702,0.0072676702,total,rand
14,2.9802322e-08,0.0073754895,0.027584307,0.007974913,0.008888266,0.012152252,0.011619088,10847.233,0.0024455492,7,0.0073754895,0.0073754895,total,rand
15,2.9802322e-08,0.005837727,0.021922985,0.009769689,0.010560454,0.013313783,0.01417046,6667.932,0.002519816,7,0.0058377283,0.0058377283,total,al
16,2.9802322e-08,0.006487829,0.02400454,0.007789331,0.0050721634,0.011744071,0.01140793,8456.681,0.0012613734,8,0.0064878305,0.0064878305,total,al
17,2.9802322e-08,0.005572269,0.020568818,0.007536486,0.00887957,0.010803357,0.0108215865,7645.665,0.0022874433,8,0.005572269,0.005572269,total,rand
18,2.9802322e-08,0.007440173,0.027814455,0.009284279,0.007055857,0.013831309,0.013545011,9595.61,0.0016960221,9,0.0074401735,0.0074401735,total,rand
19,2.9802322e-08,0.00538371,0.020272395,0.0062163146,0.0076562357,0.009185927,0.009139701,7890.069,0.0019664536,9,0.0053837104,0.0053837104,total,al
20,2.9802322e-08,0.00826555,0.031124536,0.009336362,0.006633651,0.0145973265,0.013274019,11074.6,0.0017873471,10,0.008265551,0.008265551,total,al
21,2.9802322e-08,0.005070945,0.018977819,0.005590927,0.0069966842,0.008587038,0.00788058,7620.285,0.0020512468,10,0.0050709452,0.0050709452,total,rand
22,2.9802322e-08,0.0060376,0.022462396,0.008413929,0.009785509,0.01207708,0.011980791,8129.9644,0.0025663779,11,0.0060376,0.0060376,total,rand
23,2.9802322e-08,0.0077041117,0.028991716,0.00873025,0.0059487633,0.013312003,0.012694532,10488.575,0.0016655421,11,0.0077041117,0.0077041117,total,al
24,2.9802322e-08,0.0058263494,0.022110531,0.008009342,0.009534132,0.011482777,0.011502063,7928.9097,0.0024480363,12,0.0058263494,0.0058263494,total,rand
25,2.9802322e-08,0.0044776085,0.016533313,0.006475071,0.006556712,0.009184401,0.00932856,5625.024,0.0016313673,12,0.00447761,0.00447761,total,al
26,2.9802322e-08,0.0070490423,0.026468549,0.007860176,0.005107669,0.012446609,0.011079072,9398.265,0.0014232427,13,0.007049043,0.007049043,total,al
27,2.9802322e-08,0.0033520644,0.012446315,0.006927039,0.010692407,0.008885497,0.009855733,4884.2837,0.0028483267,13,0.0033520656,0.0033520656,total,rand
