,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.35496256,0.27530757,0.522998,0.4120136,0.753826,0.51396364,0.5798738,1357009.9,0.7346066,0,-0.07965501,0.18553348,total,rand,0.0,0.20565853,0.33625466,0.07012233,0.12869903,0.16211504,0.07475791,376385.53,0.10601058,0.20565853,0.11923792,total
1,0.35496256,0.3955374,0.61465347,0.4325587,0.68528444,0.62762517,0.601761,1160686.4,0.695068,0,0.04057481,0.21758938,total,al,0.0,0.27625376,0.4944848,0.056458022,0.17631711,0.1991725,0.054221213,515419.66,0.1471376,0.27625376,0.17497802,total
2,0.35496256,0.39184552,0.3790105,0.4724452,0.6656068,0.6680392,0.6391388,1205014.9,0.7274507,1,0.036882956,0.12910934,total,al,0.0,0.17720446,0.34450492,0.063707724,0.13511142,0.1380529,0.05956499,329095.97,0.09625377,0.17720446,0.12685642,total
3,0.35496256,0.257343,0.36577368,0.44758162,0.76426494,0.53702533,0.61383104,1421277.5,0.7689432,1,-0.09761956,0.12970135,total,rand,0.0,0.09733558,0.1317491,0.080360435,0.07418377,0.13972971,0.08220405,128993.29,0.03091516,0.09733557,0.046704974,total
4,0.35496256,0.2766434,0.31341118,0.47762245,0.76364744,0.5768102,0.6443235,1408551.5,0.77788705,2,-0.07831919,0.111239135,total,rand,0.0,0.09196531,0.1336021,0.057157237,0.075575635,0.11294496,0.05566524,137183.31,0.03144436,0.09196531,0.047088906,total
5,0.35496256,0.31711078,0.14861253,0.47632784,0.6923319,0.6103333,0.6436413,1338343.0,0.76121867,2,-0.037851784,0.052785814,total,al,0.0,0.053827617,0.11043179,0.05160402,0.07050494,0.07473496,0.04710806,88436.01,0.03316422,0.05382762,0.039291583,total
6,0.35496256,0.2507195,0.29465348,0.4811267,0.78894395,0.5554098,0.6478035,1453593.2,0.7886182,3,-0.104243055,0.104243055,total,rand,0.0,0.04250113,0.11789342,0.054563552,0.027494013,0.080868304,0.05092273,37920.74,0.017827023,0.042501125,0.042501125,total
7,0.35496256,0.23828097,0.32867128,0.41584778,0.73621196,0.492446,0.58398944,1429235.4,0.75635725,3,-0.11668161,0.11668161,total,al,0.0,0.049386993,0.1391596,0.07046746,0.03612389,0.098070264,0.06895836,43314.113,0.024613498,0.049386993,0.049386993,total
8,0.35496256,0.2131114,0.39894283,0.4015821,0.7693483,0.4598903,0.5707458,1462692.0,0.75841475,4,-0.14185117,0.14185117,total,al,0.0,0.040732566,0.1150675,0.05551797,0.023991149,0.077487856,0.058008887,34308.4,0.015611234,0.040732566,0.040732566,total
9,0.35496256,0.2607711,0.2735202,0.49179053,0.785382,0.57330954,0.6579248,1444505.4,0.79127413,4,-0.09419146,0.09419146,total,rand,0.0,0.046470407,0.1165163,0.048867807,0.03347747,0.08156556,0.042869315,45009.37,0.013705943,0.046470407,0.046470407,total
10,0.35496256,0.27107197,0.23555227,0.51286954,0.7868007,0.598933,0.67660075,1441542.8,0.79916406,5,-0.0838906,0.0838906,total,rand,0.0,0.038660966,0.109136246,0.04934875,0.021975536,0.07400436,0.043170333,32182.26,0.015112401,0.038660966,0.038660966,total
11,0.35496256,0.2436202,0.31251523,0.4587674,0.7751026,0.53098845,0.6279791,1449736.4,0.7783803,5,-0.11134233,0.11134233,total,al,0.0,0.02938547,0.08261796,0.039169174,0.01526956,0.05650535,0.037252303,24023.164,0.011497244,0.029385472,0.029385472,total
12,0.35496256,0.2513961,0.290325,0.46696752,0.7708459,0.544552,0.63565063,1442458.6,0.78023344,6,-0.10356647,0.10356647,total,al,0.0,0.032328606,0.09094393,0.039290357,0.01729656,0.059562158,0.03706507,28499.059,0.010853846,0.03232861,0.03232861,total
13,0.35496256,0.2589163,0.26997384,0.504278,0.798968,0.58086485,0.668957,1455654.8,0.79849267,6,-0.096046284,0.096046284,total,rand,0.0,0.038676813,0.10930233,0.050253477,0.018754981,0.07449221,0.044952687,30636.523,0.014603452,0.038676817,0.038676817,total
14,0.35496256,0.24172683,0.31857497,0.46849623,0.78900576,0.5369503,0.63656294,1459590.4,0.78450614,7,-0.113235734,0.113235734,total,al,0.0,0.030394912,0.085884996,0.048466105,0.0086829625,0.06485125,0.045457125,18841.518,0.015922401,0.030394914,0.030394914,total
15,0.35496256,0.26184914,0.26176345,0.509473,0.79671353,0.5869836,0.67420554,1453784.8,0.79990375,7,-0.09311341,0.09311341,total,rand,0.0,0.026690716,0.07529157,0.037738644,0.014070736,0.05358794,0.033138517,20346.793,0.012179691,0.026690714,0.026690714,total
16,0.35496256,0.275319,0.22400033,0.5191023,0.7853081,0.6075291,0.68252575,1438604.2,0.80101967,8,-0.07964358,0.07964358,total,rand,0.0,0.03257555,0.0920046,0.03931417,0.018601308,0.06047441,0.03504458,28049.49,0.010997925,0.032575555,0.032575555,total
