,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.35496256,0.27530757,0.522998,0.4120136,0.753826,0.51396364,0.5798738,1357009.9,0.7346066,0,-0.07965501,0.18553348,total,rand
1,0.35496256,0.3955374,0.61465347,0.4325587,0.68528444,0.62762517,0.601761,1160686.4,0.695068,0,0.04057481,0.21758938,total,al
2,0.35496256,0.39184552,0.3790105,0.4724452,0.6656068,0.6680392,0.6391388,1205014.9,0.7274507,1,0.036882956,0.12910934,total,al
3,0.35496256,0.257343,0.36577368,0.44758162,0.76426494,0.53702533,0.61383104,1421277.5,0.7689432,1,-0.09761956,0.12970135,total,rand
4,0.35496256,0.2766434,0.31341118,0.47762245,0.76364744,0.5768102,0.6443235,1408551.5,0.77788705,2,-0.07831919,0.111239135,total,rand
5,0.35496256,0.31711078,0.14861253,0.47632784,0.6923319,0.6103333,0.6436413,1338343.0,0.76121867,2,-0.037851784,0.052785814,total,al
6,0.35496256,0.2507195,0.29465348,0.4811267,0.78894395,0.5554098,0.6478035,1453593.2,0.7886182,3,-0.104243055,0.104243055,total,rand
7,0.35496256,0.23828097,0.32867128,0.41584778,0.73621196,0.492446,0.58398944,1429235.4,0.75635725,3,-0.11668161,0.11668161,total,al
8,0.35496256,0.2131114,0.39894283,0.4015821,0.7693483,0.4598903,0.5707458,1462692.0,0.75841475,4,-0.14185117,0.14185117,total,al
9,0.35496256,0.2607711,0.2735202,0.49179053,0.785382,0.57330954,0.6579248,1444505.4,0.79127413,4,-0.09419146,0.09419146,total,rand
10,0.35496256,0.27107197,0.23555227,0.51286954,0.7868007,0.598933,0.67660075,1441542.8,0.79916406,5,-0.0838906,0.0838906,total,rand
11,0.35496256,0.2436202,0.31251523,0.4587674,0.7751026,0.53098845,0.6279791,1449736.4,0.7783803,5,-0.11134233,0.11134233,total,al
12,0.35496256,0.2513961,0.290325,0.46696752,0.7708459,0.544552,0.63565063,1442458.6,0.78023344,6,-0.10356647,0.10356647,total,al
13,0.35496256,0.2589163,0.26997384,0.504278,0.798968,0.58086485,0.668957,1455654.8,0.79849267,6,-0.096046284,0.096046284,total,rand
14,0.35496256,0.24172683,0.31857497,0.46849623,0.78900576,0.5369503,0.63656294,1459590.4,0.78450614,7,-0.113235734,0.113235734,total,al
15,0.35496256,0.26184914,0.26176345,0.509473,0.79671353,0.5869836,0.67420554,1453784.8,0.79990375,7,-0.09311341,0.09311341,total,rand
16,0.35496256,0.275319,0.22400033,0.5191023,0.7853081,0.6075291,0.68252575,1438604.2,0.80101967,8,-0.07964358,0.07964358,total,rand
17,0.35496256,0.25152212,0.29055923,0.48757854,0.79150784,0.56034803,0.6550416,1455928.8,0.79132146,8,-0.10344045,0.10344045,total,al
18,0.35496256,0.2318428,0.34689766,0.450778,0.7890676,0.5145068,0.6198505,1464302.8,0.778457,9,-0.12311977,0.12311977,total,al
19,0.35496256,0.26714113,0.24711072,0.51568526,0.793133,0.5965357,0.67976695,1449111.9,0.8013929,9,-0.087821424,0.087821424,total,rand
20,0.35496256,0.272247,0.23244822,0.5199315,0.78994805,0.604977,0.6833746,1443927.6,0.80227983,10,-0.08271559,0.08271559,total,rand
21,0.35496256,0.25099632,0.2921915,0.4838087,0.78727174,0.55668914,0.6518532,1454029.0,0.7892498,10,-0.10396625,0.10396625,total,al
22,0.35496256,0.267273,0.24661103,0.5100152,0.78719985,0.5923351,0.6750719,1445123.4,0.7982789,11,-0.08768954,0.08768954,total,rand
23,0.35496256,0.25149122,0.2920594,0.4769226,0.7812519,0.55245197,0.64486617,1449116.4,0.78574675,11,-0.103471324,0.103471324,total,al
24,0.35496256,0.2742924,0.22601601,0.52399933,0.78943783,0.6096804,0.6874414,1443003.9,0.8035735,12,-0.08067018,0.08067018,total,rand
25,0.35496256,0.27388766,0.22750099,0.52931976,0.7951213,0.61332256,0.6919711,1447175.8,0.80656385,12,-0.08107493,0.08107493,total,al
26,0.35496256,0.25471097,0.28218567,0.5004089,0.79919356,0.5730728,0.6666457,1459192.2,0.7971662,13,-0.1002516,0.1002516,total,rand
27,0.35496256,0.24360228,0.31302515,0.48328027,0.8017513,0.5496914,0.65130234,1466096.1,0.7916759,13,-0.11136029,0.11136029,total,al
