,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.20565853,0.33625466,0.07012233,0.12869903,0.16211504,0.07475791,376385.53,0.10601058,0,0.20565853,0.11923792,total,rand
1,0.0,0.27625376,0.4944848,0.056458022,0.17631711,0.1991725,0.054221213,515419.66,0.1471376,0,0.27625376,0.17497802,total,al
2,0.0,0.17720446,0.34450492,0.063707724,0.13511142,0.1380529,0.05956499,329095.97,0.09625377,1,0.17720446,0.12685642,total,al
3,0.0,0.09733558,0.1317491,0.080360435,0.07418377,0.13972971,0.08220405,128993.29,0.03091516,1,0.09733557,0.046704974,total,rand
4,0.0,0.09196531,0.1336021,0.057157237,0.075575635,0.11294496,0.05566524,137183.31,0.03144436,2,0.09196531,0.047088906,total,rand
5,0.0,0.053827617,0.11043179,0.05160402,0.07050494,0.07473496,0.04710806,88436.01,0.03316422,2,0.05382762,0.039291583,total,al
6,0.0,0.04250113,0.11789342,0.054563552,0.027494013,0.080868304,0.05092273,37920.74,0.017827023,3,0.042501125,0.042501125,total,rand
7,0.0,0.049386993,0.1391596,0.07046746,0.03612389,0.098070264,0.06895836,43314.113,0.024613498,3,0.049386993,0.049386993,total,al
8,0.0,0.040732566,0.1150675,0.05551797,0.023991149,0.077487856,0.058008887,34308.4,0.015611234,4,0.040732566,0.040732566,total,al
9,0.0,0.046470407,0.1165163,0.048867807,0.03347747,0.08156556,0.042869315,45009.37,0.013705943,4,0.046470407,0.046470407,total,rand
10,0.0,0.038660966,0.109136246,0.04934875,0.021975536,0.07400436,0.043170333,32182.26,0.015112401,5,0.038660966,0.038660966,total,rand
11,0.0,0.02938547,0.08261796,0.039169174,0.01526956,0.05650535,0.037252303,24023.164,0.011497244,5,0.029385472,0.029385472,total,al
12,0.0,0.032328606,0.09094393,0.039290357,0.01729656,0.059562158,0.03706507,28499.059,0.010853846,6,0.03232861,0.03232861,total,al
13,0.0,0.038676813,0.10930233,0.050253477,0.018754981,0.07449221,0.044952687,30636.523,0.014603452,6,0.038676817,0.038676817,total,rand
14,0.0,0.030394912,0.085884996,0.048466105,0.0086829625,0.06485125,0.045457125,18841.518,0.015922401,7,0.030394914,0.030394914,total,al
15,0.0,0.026690716,0.07529157,0.037738644,0.014070736,0.05358794,0.033138517,20346.793,0.012179691,7,0.026690714,0.026690714,total,rand
16,0.0,0.03257555,0.0920046,0.03931417,0.018601308,0.06047441,0.03504458,28049.49,0.010997925,8,0.032575555,0.032575555,total,rand
17,0.0,0.021519039,0.060608413,0.028501578,0.010816804,0.04182396,0.025639677,17276.156,0.008750294,8,0.02151904,0.02151904,total,al
18,0.0,0.033216026,0.09421012,0.04899426,0.011544152,0.06745601,0.046759743,23449.818,0.015015001,9,0.03321603,0.03321603,total,al
19,0.0,0.022317154,0.06298901,0.034815,0.016705113,0.046856895,0.030370872,18161.57,0.012823572,9,0.022317154,0.022317154,total,rand
20,0.0,0.028198717,0.07967231,0.036952347,0.014871137,0.05488976,0.031928316,22843.504,0.011698981,10,0.028198715,0.028198715,total,rand
21,0.0,0.011769914,0.032961912,0.02075595,0.006868297,0.026650697,0.018851146,7325.3066,0.007630285,10,0.011769912,0.011769912,total,al
22,0.0,0.019372715,0.05478081,0.027109826,0.009764475,0.03855376,0.024380798,14875.732,0.008517083,11,0.019372717,0.019372717,total,rand
23,0.0,0.031802982,0.08989495,0.03990147,0.0143109085,0.06074564,0.03577466,25780.213,0.011769729,11,0.031802986,0.031802986,total,al
24,0.0,0.015957186,0.044840902,0.0196991,0.010416726,0.029875034,0.01714901,14477.348,0.006299517,12,0.015957188,0.015957188,total,rand
25,0.0,0.01508131,0.042293604,0.021435807,0.0069690277,0.03065393,0.018366067,11201.021,0.0071338434,12,0.01508131,0.01508131,total,al
26,0.0,0.018856483,0.053091187,0.025515858,0.010811136,0.036889244,0.022574015,15479.732,0.0081671225,13,0.018856483,0.018856483,total,rand
27,0.0,0.01881825,0.05277906,0.023504565,0.010729218,0.035432428,0.021101601,15562.216,0.006514637,13,0.018818248,0.018818248,total,al
