,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.5766645,0.6005435,0.34665287,0.51511925,0.68019766,0.69838494,0.67561334,11475959.0,0.6282606,0,0.023878932,0.1083917,total,al,0.0,0.14841501,0.29624835,0.081631236,0.042934645,0.14386365,0.08100727,3591588.8,0.041252658,0.14841501,0.10415594,total
1,0.5766645,0.68027085,0.35984486,0.5621626,0.66696674,0.785005,0.71923864,9960768.0,0.6484346,0,0.10360633,0.1077914,total,rand,0.0,0.06978079,0.18394184,0.030200591,0.020798966,0.065841034,0.025065076,1758689.1,0.020071499,0.06978079,0.06312403,total
2,0.5766645,0.62089,0.52699333,0.49377495,0.58996344,0.699656,0.6359901,10477923.0,0.6093801,10,0.044225436,0.16198526,total,al,0.0,0.23843443,0.4632888,0.17329478,0.20349984,0.25313908,0.21747974,5278357.0,0.085366115,0.23843443,0.18046507,total
3,0.5766645,0.66086113,0.72166884,0.4904468,0.57940376,0.72563565,0.6329979,9206320.0,0.59937197,10,0.08419661,0.23622373,total,rand,0.0,0.28366032,0.4482491,0.17331254,0.19800709,0.2853788,0.21713981,6328847.5,0.068120085,0.28366035,0.17818701,total
4,0.5766645,0.49698243,0.43127427,0.430224,0.5399004,0.58118117,0.55782515,13306488.0,0.59664714,20,-0.079682104,0.17214042,total,rand,0.0,0.25680926,0.33051252,0.22189766,0.27243382,0.3016965,0.2830844,4414614.5,0.09817757,0.25680926,0.20656216,total
5,0.5766645,0.35852775,0.75663745,0.30363685,0.42251912,0.41733685,0.39890823,15543982.0,0.5461354,20,-0.21813676,0.3594191,total,al,0.0,0.35139155,0.3873771,0.2611701,0.35089207,0.38280344,0.33518383,6947256.0,0.10613331,0.35139158,0.20464015,total
6,0.5766645,0.24746892,0.92179507,0.178291,0.19195245,0.27150476,0.22362705,16915980.0,0.48900184,30,-0.3291956,0.47813335,total,al,0.0,0.3846315,0.31505784,0.2724664,0.2942804,0.4167378,0.34165627,7473592.5,0.103472926,0.38463157,0.16643222,total
7,0.5766645,0.62813056,0.74975866,0.46064845,0.51397073,0.69033694,0.5845424,9836029.0,0.59139156,30,0.05146603,0.28213143,total,rand,0.0,0.33878934,0.47644335,0.2307738,0.26077697,0.35492498,0.2925045,7141277.5,0.09162337,0.33878937,0.19449635,total
8,0.5766645,0.2929237,0.833642,0.22619763,0.2638992,0.32886416,0.28867835,16286144.0,0.5097014,40,-0.2837409,0.42280126,total,al,0.0,0.3758993,0.39109862,0.27804697,0.3248428,0.41150782,0.35411447,7235752.0,0.10846452,0.37589934,0.20748086,total
9,0.5766645,0.47618884,0.4547308,0.4255577,0.5455244,0.56801057,0.54814184,13978101.0,0.60225075,40,-0.10047571,0.20556143,total,rand,0.0,0.26907876,0.389754,0.2374755,0.2754711,0.32519948,0.2946251,4235728.0,0.108584076,0.2690788,0.20060726,total
