,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.5766645,0.6005435,0.34665287,0.51511925,0.68019766,0.69838494,0.67561334,11475959.0,0.6282606,0,0.023878932,0.1083917,total,al
1,0.5766645,0.68027085,0.35984486,0.5621626,0.66696674,0.785005,0.71923864,9960768.0,0.6484346,0,0.10360633,0.1077914,total,rand
2,0.5766645,0.62089,0.52699333,0.49377495,0.58996344,0.699656,0.6359901,10477923.0,0.6093801,10,0.044225436,0.16198526,total,al
3,0.5766645,0.66086113,0.72166884,0.4904468,0.57940376,0.72563565,0.6329979,9206320.0,0.59937197,10,0.08419661,0.23622373,total,rand
4,0.5766645,0.49698243,0.43127427,0.430224,0.5399004,0.58118117,0.55782515,13306488.0,0.59664714,20,-0.079682104,0.17214042,total,rand
5,0.5766645,0.35852775,0.75663745,0.30363685,0.42251912,0.41733685,0.39890823,15543982.0,0.5461354,20,-0.21813676,0.3594191,total,al
6,0.5766645,0.24746892,0.92179507,0.178291,0.19195245,0.27150476,0.22362705,16915980.0,0.48900184,30,-0.3291956,0.47813335,total,al
7,0.5766645,0.62813056,0.74975866,0.46064845,0.51397073,0.69033694,0.5845424,9836029.0,0.59139156,30,0.05146603,0.28213143,total,rand
8,0.5766645,0.2929237,0.833642,0.22619763,0.2638992,0.32886416,0.28867835,16286144.0,0.5097014,40,-0.2837409,0.42280126,total,al
9,0.5766645,0.47618884,0.4547308,0.4255577,0.5455244,0.56801057,0.54814184,13978101.0,0.60225075,40,-0.10047571,0.20556143,total,rand
10,0.5766645,0.4985392,0.58462155,0.40899307,0.4724118,0.57696736,0.5162838,13103622.0,0.59023046,50,-0.07812529,0.2678728,total,al
11,0.5766645,0.25689083,0.6981312,0.23191544,0.27975377,0.31042773,0.29358557,17578684.0,0.5244709,50,-0.31977367,0.37512785,total,rand
12,0.5766645,0.18295899,0.8097997,0.15398788,0.2434407,0.2080133,0.20566861,18335504.0,0.48028526,60,-0.39370555,0.43917942,total,rand
13,0.5766645,0.18985477,0.7543421,0.16946921,0.20695171,0.22712502,0.21655968,18545420.0,0.49543157,60,-0.38680977,0.42051917,total,al
14,0.5766645,0.15639941,0.94554174,0.11308603,0.12704685,0.1697789,0.14443317,18565054.0,0.46274796,70,-0.4202651,0.5023965,total,rand
15,0.5766645,0.473526,1.069425,0.30269578,0.3689586,0.4893643,0.39220834,11805829.0,0.51420844,70,-0.103138484,0.44432625,total,al
16,0.5766645,0.1789971,0.7501057,0.17221928,0.21535178,0.22260451,0.21881934,18965264.0,0.5010756,80,-0.39766747,0.41259646,total,al
17,0.5766645,0.15360257,0.79277337,0.13449545,0.19789967,0.17766967,0.18144771,18938916.0,0.47464547,80,-0.423062,0.44547114,total,rand
18,0.5766645,0.39427438,0.87693024,0.28104287,0.3142546,0.4255578,0.359625,13966243.0,0.5198702,90,-0.18239014,0.3942734,total,al
