,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.14841501,0.29624835,0.081631236,0.042934645,0.14386365,0.08100727,3591588.8,0.041252658,0,0.14841501,0.10415594,total,al
1,0.0,0.06978079,0.18394184,0.030200591,0.020798966,0.065841034,0.025065076,1758689.1,0.020071499,0,0.06978079,0.06312403,total,rand
2,0.0,0.23843443,0.4632888,0.17329478,0.20349984,0.25313908,0.21747974,5278357.0,0.085366115,10,0.23843443,0.18046507,total,al
3,0.0,0.28366032,0.4482491,0.17331254,0.19800709,0.2853788,0.21713981,6328847.5,0.068120085,10,0.28366035,0.17818701,total,rand
4,0.0,0.25680926,0.33051252,0.22189766,0.27243382,0.3016965,0.2830844,4414614.5,0.09817757,20,0.25680926,0.20656216,total,rand
5,0.0,0.35139155,0.3873771,0.2611701,0.35089207,0.38280344,0.33518383,6947256.0,0.10613331,20,0.35139158,0.20464015,total,al
6,0.0,0.3846315,0.31505784,0.2724664,0.2942804,0.4167378,0.34165627,7473592.5,0.103472926,30,0.38463157,0.16643222,total,al
7,0.0,0.33878934,0.47644335,0.2307738,0.26077697,0.35492498,0.2925045,7141277.5,0.09162337,30,0.33878937,0.19449635,total,rand
8,0.0,0.3758993,0.39109862,0.27804697,0.3248428,0.41150782,0.35411447,7235752.0,0.10846452,40,0.37589934,0.20748086,total,al
9,0.0,0.26907876,0.389754,0.2374755,0.2754711,0.32519948,0.2946251,4235728.0,0.108584076,40,0.2690788,0.20060726,total,rand
10,0.0,0.3428657,0.47142553,0.26786548,0.31130362,0.38364825,0.33804527,6482008.0,0.1130844,50,0.3428657,0.22782584,total,al
11,0.0,0.31715342,0.37590662,0.2840979,0.34302709,0.3813984,0.35959786,4987415.5,0.12398856,50,0.31715345,0.24924009,total,rand
12,0.0,0.27879253,0.30424792,0.23465517,0.30323738,0.32426876,0.30200025,4706465.5,0.096529655,60,0.27879256,0.19962664,total,rand
13,0.0,0.29004347,0.3759402,0.25897413,0.31615636,0.34704447,0.3308551,4578753.0,0.11032217,60,0.2900435,0.23855951,total,al
14,0.0,0.31766313,0.2615207,0.22636665,0.2554279,0.34052587,0.28896788,6301029.0,0.08293879,70,0.31766316,0.15852557,total,rand
15,0.0,0.45576358,0.37509826,0.27405834,0.3041283,0.4605787,0.34537318,9786425.0,0.085688904,70,0.4557636,0.14467956,total,al
16,0.0,0.27376288,0.38641593,0.2630754,0.32907972,0.3401314,0.33425522,3962260.0,0.118842304,80,0.2737629,0.25069836,total,al
17,0.0,0.25257552,0.3247641,0.21969245,0.30274427,0.29514524,0.28839108,4221894.0,0.08893429,80,0.25257552,0.21054992,total,rand
18,0.0,0.40299946,0.34938934,0.2817266,0.31597796,0.42897454,0.35999554,8083617.5,0.10223854,90,0.40299946,0.20055728,total,al
19,0.0,0.27202442,0.2917473,0.23512317,0.2737891,0.3227758,0.29611576,4370872.0,0.10025223,90,0.27202442,0.18984318,total,rand
20,0.0,0.42126763,0.428203,0.29138336,0.3215717,0.44852635,0.36817786,8494081.0,0.10982444,100,0.42126766,0.20261411,total,rand
21,0.0,0.3621385,0.39183038,0.26497382,0.31537637,0.3908463,0.34138995,7177163.5,0.10120602,100,0.36213854,0.2416308,total,al
22,0.0,0.35051733,0.38416186,0.25653467,0.30390045,0.3804416,0.32852232,6861600.0,0.09881995,110,0.35051733,0.20581867,total,rand
23,0.0,0.41568628,0.32297865,0.2653889,0.28324693,0.42968467,0.33611622,8660160.0,0.08904026,110,0.4156863,0.15049459,total,al
24,0.0,0.35385016,0.40389016,0.2659003,0.30222964,0.3901276,0.3363476,6767994.5,0.10675386,120,0.3538502,0.20946755,total,al
25,0.0,0.3167663,0.3060691,0.22070277,0.25665948,0.33526972,0.2844518,6411678.5,0.07856154,120,0.3167663,0.1737057,total,rand
26,0.0,0.3643682,0.33414328,0.2828735,0.3220998,0.4077303,0.35835433,6727449.5,0.112961374,130,0.3643682,0.20970856,total,al
27,0.0,0.35406438,0.3361733,0.26547384,0.2986238,0.39041892,0.33568352,6752988.5,0.106015384,130,0.35406438,0.19443583,total,rand
28,0.0,0.35549513,0.34920633,0.26094642,0.31288227,0.38880417,0.32885656,6858662.0,0.102460966,140,0.35549515,0.18790053,total,al
29,0.0,0.34474355,0.43632498,0.2783866,0.3385904,0.38900468,0.35731342,6371525.0,0.11468445,140,0.34474355,0.24432246,total,rand
