,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.26927656,0.3281048,0.26356012,0.1800589,0.27985185,0.34049752,0.30487877,1214810.5,0.5859957,0,0.058828276,0.06843676,total,al
1,0.26927656,0.22626047,0.22126004,0.14704606,0.2832079,0.2378129,0.2559242,1397149.1,0.63253886,0,-0.04301605,0.049714167,total,rand
2,0.26927656,0.24282649,0.16997711,0.15429178,0.28499907,0.25657052,0.26673633,1368849.8,0.6260748,1,-0.02645005,0.03664039,total,rand
3,0.26927656,0.29251966,0.29931104,0.16533077,0.2820925,0.30515084,0.28120524,1278873.0,0.6025447,1,0.023243148,0.07853177,total,al
4,0.26927656,0.35141554,0.37611252,0.18542232,0.28004682,0.36481097,0.3122115,1173612.0,0.57577896,2,0.08213902,0.09784231,total,al
5,0.26927656,0.23709631,0.3414537,0.14000438,0.2521455,0.24705747,0.2402153,1376636.8,0.62668175,2,-0.03218023,0.082869574,total,rand
6,0.26927656,0.3402919,0.37434208,0.18013445,0.27985087,0.35241002,0.30432096,1192742.9,0.5802241,3,0.07101537,0.093606755,total,al
7,0.26927656,0.31151167,0.21236756,0.17527294,0.27976233,0.32346025,0.2979818,1244315.0,0.5934133,3,0.04223513,0.050583977,total,rand
8,0.26927656,0.2970792,0.21971317,0.17017671,0.28006145,0.3084961,0.2904313,1269881.2,0.59978676,4,0.027802676,0.055393267,total,al
9,0.26927656,0.29941213,0.18837015,0.17200093,0.2801214,0.31126004,0.29330006,1265977.0,0.5989424,4,0.030135602,0.041435216,total,rand
10,0.26927656,0.29005176,0.22373588,0.16898231,0.28201646,0.3033032,0.28857115,1283715.4,0.6040176,5,0.020775253,0.051255126,total,rand
11,0.26927656,0.2970782,0.2263083,0.17139445,0.28102478,0.3096542,0.2923193,1270650.2,0.60041153,5,0.027801657,0.042856064,total,al
12,0.26927656,0.32286173,0.29277092,0.17641374,0.28173494,0.33633327,0.29920545,1224940.1,0.58899605,6,0.05358519,0.07212536,total,rand
13,0.26927656,0.31907606,0.29501683,0.1773528,0.2805587,0.33199808,0.30082738,1231374.9,0.590447,6,0.049799506,0.062482737,total,al
14,0.26927656,0.29958707,0.16645145,0.17353801,0.2818572,0.3134256,0.29559022,1266980.2,0.59993374,7,0.03031053,0.03543891,total,rand
15,0.26927656,0.30595362,0.19726752,0.17435929,0.279927,0.31788045,0.29683468,1254281.8,0.59596634,7,0.036677107,0.04134362,total,al
16,0.26927656,0.32299653,0.26830152,0.17971344,0.28168315,0.33762294,0.30430666,1225462.2,0.58955586,8,0.053719997,0.05734541,total,rand
17,0.26927656,0.3209585,0.24545784,0.17893317,0.27978897,0.3334034,0.30343947,1227678.6,0.5893214,8,0.051681947,0.051681947,total,al
18,0.26927656,0.29209203,0.25457376,0.1688066,0.28311175,0.30570525,0.2882207,1280290.9,0.60327095,9,0.022815498,0.063368976,total,rand
19,0.26927656,0.28721255,0.32763407,0.16041477,0.2523498,0.2988534,0.27208415,1287748.2,0.60446036,9,0.01793602,0.07875519,total,al
20,0.26927656,0.3289223,0.2736166,0.18062034,0.2801636,0.3418191,0.30566245,1213676.0,0.5858899,10,0.05964578,0.07251577,total,al
21,0.26927656,0.2842368,0.3098088,0.16037855,0.25277677,0.29636264,0.27214846,1293413.2,0.6060947,10,0.014960271,0.072625235,total,rand
22,0.26927656,0.29380628,0.21599314,0.17066523,0.2822965,0.30743214,0.2910927,1277220.8,0.6024867,11,0.02452977,0.05580964,total,rand
23,0.26927656,0.32465452,0.21605957,0.18108216,0.28092784,0.33857495,0.30658096,1222017.6,0.58841056,11,0.055377997,0.055377997,total,al
24,0.26927656,0.2724824,0.25920472,0.15711033,0.25364104,0.2850174,0.2673933,1314792.8,0.61173904,12,0.0032058745,0.05766804,total,al
25,0.26927656,0.29898232,0.2168074,0.17245299,0.28158087,0.3120993,0.2938947,1267588.8,0.5998242,12,0.029705793,0.04656473,total,rand
26,0.26927656,0.27059764,0.2819768,0.15600297,0.25341865,0.28251833,0.26573378,1317771.0,0.6122779,13,0.0013211115,0.06736035,total,rand
27,0.26927656,0.2739676,0.27293396,0.15714718,0.2533044,0.286096,0.26740536,1311856.6,0.6108347,13,0.0046910634,0.06829088,total,al
