,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,2.9802322e-08,0.056579553,0.15635017,0.01540457,0.0030045535,0.05611016,0.022221992,101955.1,0.02640914,0,0.056579553,0.044479452,total,al
1,2.9802322e-08,0.044457525,0.12705506,0.018649098,0.0047015413,0.046138413,0.028676959,78843.266,0.019765455,0,0.044457518,0.036815125,total,rand
2,2.9802322e-08,0.04881288,0.1357131,0.02106484,0.0028816878,0.050040442,0.03282975,86876.2,0.021901727,1,0.048812877,0.04171072,total,rand
3,2.9802322e-08,0.09397927,0.20286089,0.04297443,0.0045786514,0.097278476,0.06900658,166611.2,0.041621618,1,0.09397927,0.056613673,total,al
4,2.9802322e-08,0.08400816,0.23557618,0.022682423,0.0035192394,0.08465519,0.032702923,150492.28,0.03848997,2,0.084008165,0.06504669,total,al
5,2.9802322e-08,0.115063846,0.29793817,0.06072365,0.08411043,0.11967936,0.101546824,203595.34,0.050630275,2,0.115063846,0.08606909,total,rand
6,2.9802322e-08,0.11044122,0.32843372,0.02795379,0.003987961,0.11089348,0.040406886,198044.05,0.050732262,3,0.11044124,0.092077255,total,al
7,2.9802322e-08,0.052366756,0.15026623,0.01521579,0.002377858,0.05302671,0.022042252,93654.82,0.023874054,3,0.052366756,0.044354755,total,rand
8,2.9802322e-08,0.06192178,0.14451405,0.01843958,0.0029508555,0.0620966,0.026953023,111113.89,0.028516702,4,0.06192178,0.039228585,total,al
9,2.9802322e-08,0.04456635,0.12478105,0.013186892,0.0032648463,0.04464782,0.019213967,80102.77,0.020679755,4,0.04456634,0.034313794,total,rand
10,2.9802322e-08,0.06433852,0.15000485,0.02066581,0.0026239161,0.065565966,0.030467952,114742.664,0.029046332,5,0.06433851,0.04409045,total,rand
11,2.9802322e-08,0.052541465,0.12326353,0.015863184,0.002986291,0.053173553,0.023151333,93968.73,0.023945898,5,0.05254147,0.041193392,total,al
12,2.9802322e-08,0.11846778,0.39752778,0.024432443,0.0037686648,0.116995886,0.034290846,213735.88,0.055477545,6,0.11846778,0.10818466,total,rand
13,2.9802322e-08,0.06599002,0.15692064,0.019050747,0.0028078451,0.06681657,0.027564388,117993.22,0.030049473,6,0.06599002,0.05413485,total,al
14,2.9802322e-08,0.039225116,0.11445253,0.011448434,0.0017044152,0.039844457,0.016518453,70049.984,0.017790727,7,0.039225116,0.034661528,total,rand
15,2.9802322e-08,0.033038035,0.081999935,0.009376191,0.0018257797,0.032803193,0.013590709,59507.938,0.015399888,7,0.03303804,0.02697086,total,al
16,2.9802322e-08,0.06484923,0.19686481,0.01742385,0.0020226713,0.06637053,0.024774337,115474.77,0.029136153,8,0.06484923,0.06166656,total,rand
17,2.9802322e-08,0.03335397,0.08862565,0.009546687,0.0017121659,0.03397733,0.013709875,59529.613,0.015113136,8,0.03335397,0.03335397,total,al
18,2.9802322e-08,0.088349685,0.2367203,0.02263611,0.0050636684,0.0872647,0.032630328,159390.39,0.041367978,9,0.088349685,0.06565505,total,rand
19,2.9802322e-08,0.105892085,0.25175002,0.055056,0.08413095,0.109580725,0.09266073,187734.94,0.046893258,9,0.105892085,0.07302364,total,al
20,2.9802322e-08,0.05397698,0.12987094,0.015899828,0.0021087334,0.054153673,0.023198843,96818.516,0.024815174,10,0.053976975,0.034822334,total,al
21,2.9802322e-08,0.09922031,0.23886172,0.054175727,0.084270075,0.10319139,0.09160398,175563.2,0.043657903,10,0.09922031,0.06923911,total,rand
22,2.9802322e-08,0.057879712,0.096616775,0.019395962,0.0039045138,0.05865492,0.028761229,103466.35,0.026339713,11,0.057879712,0.028931893,total,rand
23,2.9802322e-08,0.026215285,0.091298,0.006808173,0.001678735,0.02571832,0.009761576,47438.504,0.012404587,11,0.026215285,0.026215285,total,al
24,2.9802322e-08,0.09814075,0.27106217,0.053351615,0.084565625,0.10209622,0.09032033,173645.47,0.04318233,12,0.09814074,0.07947502,total,al
25,2.9802322e-08,0.049319133,0.10727794,0.014930043,0.0034096795,0.048725247,0.021952456,88994.25,0.023119658,12,0.04931913,0.033860546,total,rand
26,2.9802322e-08,0.09866961,0.25595692,0.05335964,0.08454506,0.10199658,0.09030406,175036.02,0.04379763,13,0.09866961,0.07211118,total,rand
27,2.9802322e-08,0.099697225,0.26190445,0.05366554,0.08447385,0.1034256,0.09072706,176605.81,0.044042565,13,0.09969722,0.07278666,total,al
