,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.5766645,0.6319996,0.50182027,0.67167914,0.8061096,0.8367589,0.7995157,13935707.0,0.75639516,0,0.055335008,0.16612664,total,rand,0.0,0.21813056,0.51994634,0.09618718,0.12780745,0.14964943,0.07104526,7481605.5,0.102707505,0.21813057,0.15180531,total
1,0.5766645,0.51529557,0.56645924,0.54592127,0.8077345,0.6749342,0.683121,15125677.0,0.68646204,0,-0.061368953,0.24029937,total,al,0.0,0.28233513,0.49551594,0.19239269,0.117875814,0.27470994,0.18850139,7612255.0,0.12343524,0.28233513,0.16042288,total
2,0.5766645,0.36615473,0.56197816,0.43604723,0.8430494,0.5062443,0.5806557,17764750.0,0.64104795,10,-0.2105098,0.29507065,total,rand,0.0,0.253931,0.36435375,0.19955608,0.09469828,0.2747163,0.1925457,5969100.5,0.11503656,0.253931,0.14740638,total
3,0.5766645,0.40922505,0.31063503,0.56473345,0.8747245,0.6193091,0.713256,18890848.0,0.72837865,10,-0.16743949,0.1764596,total,al,0.0,0.107727505,0.11470464,0.12572993,0.020591224,0.15504926,0.10699672,1067074.9,0.072547175,0.107727505,0.09221282,total
4,0.5766645,0.3472477,0.38022178,0.4948756,0.87134016,0.5324966,0.6412114,19497176.0,0.6902326,20,-0.2294168,0.2294168,total,al,0.0,0.12130073,0.1832765,0.17194265,0.056039352,0.19117855,0.18306948,655380.06,0.09963038,0.12130073,0.12130073,total
5,0.5766645,0.27495548,0.5283888,0.36723995,0.8363246,0.40225807,0.5169834,19354102.0,0.6123169,20,-0.30170903,0.32249725,total,rand,0.0,0.14958827,0.119887106,0.16412203,0.074369,0.20841575,0.17180073,1639566.8,0.092677176,0.14958827,0.096956275,total
6,0.5766645,0.2412301,0.5449144,0.35229144,0.8850252,0.37196562,0.4935704,20181330.0,0.61110514,30,-0.3354344,0.3354344,total,al,0.0,0.12604843,0.20659389,0.18497047,0.034585983,0.19999918,0.20185953,647587.44,0.105065964,0.12604842,0.12604842,total
7,0.5766645,0.29230845,0.4777419,0.4019471,0.85351884,0.43675143,0.5441476,19483254.0,0.6347462,30,-0.2843561,0.2843561,total,rand,0.0,0.15118411,0.21459484,0.19500253,0.06785728,0.22383921,0.21187799,1385739.0,0.10931592,0.15118411,0.15118411,total
8,0.5766645,0.21801424,0.5951266,0.30222103,0.8142419,0.3227796,0.42908993,19919376.0,0.5775933,40,-0.35865027,0.35865027,total,al,0.0,0.13853817,0.22807086,0.19919479,0.09437656,0.21900772,0.23118779,861450.25,0.11524201,0.13853817,0.13853817,total
9,0.5766645,0.24344012,0.53655446,0.34621042,0.86747503,0.36857483,0.49285072,19969372.0,0.6049844,40,-0.33322442,0.33322442,total,rand,0.0,0.11742431,0.17515497,0.16096382,0.03836982,0.1791311,0.18023576,789459.3,0.08963323,0.1174243,0.1174243,total
