,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.5766645,0.6319996,0.50182027,0.67167914,0.8061096,0.8367589,0.7995157,13935707.0,0.75639516,0,0.055335008,0.16612664,total,rand
1,0.5766645,0.51529557,0.56645924,0.54592127,0.8077345,0.6749342,0.683121,15125677.0,0.68646204,0,-0.061368953,0.24029937,total,al
2,0.5766645,0.36615473,0.56197816,0.43604723,0.8430494,0.5062443,0.5806557,17764750.0,0.64104795,10,-0.2105098,0.29507065,total,rand
3,0.5766645,0.40922505,0.31063503,0.56473345,0.8747245,0.6193091,0.713256,18890848.0,0.72837865,10,-0.16743949,0.1764596,total,al
4,0.5766645,0.3472477,0.38022178,0.4948756,0.87134016,0.5324966,0.6412114,19497176.0,0.6902326,20,-0.2294168,0.2294168,total,al
5,0.5766645,0.27495548,0.5283888,0.36723995,0.8363246,0.40225807,0.5169834,19354102.0,0.6123169,20,-0.30170903,0.32249725,total,rand
6,0.5766645,0.2412301,0.5449144,0.35229144,0.8850252,0.37196562,0.4935704,20181330.0,0.61110514,30,-0.3354344,0.3354344,total,al
7,0.5766645,0.29230845,0.4777419,0.4019471,0.85351884,0.43675143,0.5441476,19483254.0,0.6347462,30,-0.2843561,0.2843561,total,rand
8,0.5766645,0.21801424,0.5951266,0.30222103,0.8142419,0.3227796,0.42908993,19919376.0,0.5775933,40,-0.35865027,0.35865027,total,al
9,0.5766645,0.24344012,0.53655446,0.34621042,0.86747503,0.36857483,0.49285072,19969372.0,0.6049844,40,-0.33322442,0.33322442,total,rand
10,0.5766645,0.24218532,0.6383458,0.27726954,0.76720774,0.3199822,0.40296203,18607340.0,0.5501959,50,-0.3344792,0.35060546,total,al
11,0.5766645,0.31061104,0.4639377,0.43253666,0.8540853,0.46927088,0.571557,19506166.0,0.65394926,50,-0.2660535,0.26731735,total,rand
12,0.5766645,0.29840532,0.45614877,0.4127296,0.8463662,0.44617182,0.55848664,19449444.0,0.6395141,60,-0.2782592,0.2782592,total,al
13,0.5766645,0.3022688,0.655341,0.33348265,0.78848994,0.3957463,0.47112578,17773180.0,0.57749337,60,-0.27439573,0.35741946,total,rand
14,0.5766645,0.39333883,0.5161375,0.45236915,0.810991,0.5368185,0.59278095,17278644.0,0.649126,70,-0.18332572,0.27655798,total,rand
15,0.5766645,0.43273482,0.6466503,0.43603387,0.79300743,0.54851675,0.5854224,15617246.0,0.623222,70,-0.14392972,0.3047853,total,al
16,0.5766645,0.20890956,0.6047987,0.29153624,0.83491164,0.30953798,0.42750344,19994110.0,0.57142603,80,-0.367755,0.367755,total,al
17,0.5766645,0.26337224,0.52622116,0.36141723,0.84260255,0.38727713,0.5228029,19503922.0,0.6066221,80,-0.31329226,0.31329226,total,rand
18,0.5766645,0.29626733,0.47368854,0.38794416,0.8246768,0.42695552,0.5382032,18994358.0,0.6194893,90,-0.28039724,0.28039724,total,rand
19,0.5766645,0.24229161,0.55331457,0.34146363,0.8612588,0.3644494,0.48671523,19906764.0,0.6013749,90,-0.33437294,0.33437294,total,al
20,0.5766645,0.2784574,0.5106828,0.37783837,0.8284351,0.40867347,0.5232535,19364158.0,0.6162141,100,-0.2982071,0.2982071,total,rand
21,0.5766645,0.37435436,0.40381655,0.49985212,0.8677905,0.5564962,0.64243764,18822084.0,0.6908053,100,-0.20231013,0.21712479,total,al
22,0.5766645,0.20748313,0.6033032,0.29627508,0.84951,0.31079972,0.44857162,20103722.0,0.57430774,110,-0.3691814,0.3691814,total,rand
23,0.5766645,0.29048592,0.5241107,0.37408462,0.8391582,0.41775995,0.50791043,19018716.0,0.61466527,110,-0.28617865,0.29882604,total,al
24,0.5766645,0.26269895,0.5281249,0.36482465,0.85143757,0.3940409,0.49468923,19736658.0,0.6150964,120,-0.31396562,0.31396562,total,al
25,0.5766645,0.32573628,0.42632812,0.44315353,0.8614187,0.484377,0.5910963,19179784.0,0.6562463,120,-0.25092822,0.25146797,total,rand
26,0.5766645,0.26795632,0.52427304,0.35268298,0.8216497,0.38735816,0.48883373,19273036.0,0.60213155,130,-0.30870822,0.30870822,total,al
27,0.5766645,0.34862545,0.40739632,0.4691051,0.8465689,0.5161484,0.6194009,18947352.0,0.66999996,130,-0.22803907,0.24481615,total,rand
28,0.5766645,0.31724772,0.4532515,0.41947636,0.8316369,0.4635202,0.5625544,18999708.0,0.64068,140,-0.25941685,0.27670586,total,rand
29,0.5766645,0.31109005,0.4767066,0.413776,0.8416734,0.45667297,0.55571884,19112120.0,0.6389406,140,-0.2655745,0.28021663,total,al
30,0.5766645,0.32693684,0.43578726,0.4447865,0.8383547,0.48647085,0.58052,19180134.0,0.6574606,150,-0.24972768,0.25844118,total,al
31,0.5766645,0.3603632,0.40504995,0.48435444,0.8590782,0.5347315,0.6314311,18895376.0,0.6796947,150,-0.21630135,0.22801867,total,rand
32,0.5766645,0.29228517,0.4868504,0.4016276,0.8502401,0.43536338,0.5478269,19443708.0,0.6331686,160,-0.28437933,0.28437933,total,al
33,0.5766645,0.30589843,0.4617907,0.40995377,0.83333313,0.44778544,0.5631271,19115504.0,0.6338819,160,-0.27076608,0.27293494,total,rand
34,0.5766645,0.25531197,0.5342062,0.34225374,0.7423739,0.37413105,0.4646966,19528314.0,0.5995207,170,-0.3213526,0.32391745,total,al
35,0.5766645,0.24336617,0.53892976,0.33629,0.82664955,0.35907447,0.48295966,19694364.0,0.5941013,170,-0.33329836,0.33329836,total,rand
