,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.0,0.21813056,0.51994634,0.09618718,0.12780745,0.14964943,0.07104526,7481605.5,0.102707505,0,0.21813057,0.15180531,total,rand
1,0.0,0.28233513,0.49551594,0.19239269,0.117875814,0.27470994,0.18850139,7612255.0,0.12343524,0,0.28233513,0.16042288,total,al
2,0.0,0.253931,0.36435375,0.19955608,0.09469828,0.2747163,0.1925457,5969100.5,0.11503656,10,0.253931,0.14740638,total,rand
3,0.0,0.107727505,0.11470464,0.12572993,0.020591224,0.15504926,0.10699672,1067074.9,0.072547175,10,0.107727505,0.09221282,total,al
4,0.0,0.12130073,0.1832765,0.17194265,0.056039352,0.19117855,0.18306948,655380.06,0.09963038,20,0.12130073,0.12130073,total,al
5,0.0,0.14958827,0.119887106,0.16412203,0.074369,0.20841575,0.17180073,1639566.8,0.092677176,20,0.14958827,0.096956275,total,rand
6,0.0,0.12604843,0.20659389,0.18497047,0.034585983,0.19999918,0.20185953,647587.44,0.105065964,30,0.12604842,0.12604842,total,al
7,0.0,0.15118411,0.21459484,0.19500253,0.06785728,0.22383921,0.21187799,1385739.0,0.10931592,30,0.15118411,0.15118411,total,rand
8,0.0,0.13853817,0.22807086,0.19919479,0.09437656,0.21900772,0.23118779,861450.25,0.11524201,40,0.13853817,0.13853817,total,al
9,0.0,0.11742431,0.17515497,0.16096382,0.03836982,0.1791311,0.18023576,789459.3,0.08963323,40,0.1174243,0.1174243,total,rand
10,0.0,0.1910424,0.16772847,0.18574078,0.094724596,0.24199666,0.21560647,2847487.8,0.093351826,50,0.1910424,0.15952846,total,al
11,0.0,0.15934381,0.23194306,0.2125813,0.06932454,0.24358349,0.22088465,1040638.8,0.122095786,50,0.15934381,0.15721437,total,rand
12,0.0,0.13544804,0.20174065,0.1867561,0.07333124,0.21053402,0.19695114,990143.7,0.109044276,60,0.13544804,0.13544804,total,al
13,0.0,0.26025844,0.32381913,0.18552963,0.10832426,0.2746822,0.21002126,5915328.5,0.09733361,60,0.26025844,0.12360742,total,rand
14,0.0,0.24531797,0.26488945,0.20686017,0.08084453,0.2893348,0.21241044,4668166.5,0.111034065,70,0.24531798,0.13154808,total,rand
15,0.0,0.29290688,0.32845777,0.17316306,0.1164112,0.2876168,0.18240236,7036983.0,0.08644474,70,0.29290688,0.11668816,total,al
16,0.0,0.112182684,0.17298912,0.16162989,0.07114273,0.17606156,0.19226395,813586.25,0.092424974,80,0.112182684,0.112182684,total,al
17,0.0,0.070068404,0.10126444,0.1008376,0.046682663,0.11155087,0.1099893,574653.25,0.06017913,80,0.070068404,0.070068404,total,rand
18,0.0,0.13004647,0.18272018,0.16317737,0.039549805,0.19010758,0.17760393,1200158.2,0.09075907,90,0.13004647,0.13004647,total,rand
19,0.0,0.1227048,0.18770264,0.16786365,0.04601438,0.18841851,0.18016584,802687.56,0.095145695,90,0.12270479,0.12270479,total,al
20,0.0,0.12829211,0.16865905,0.18336122,0.06418179,0.20330854,0.19105192,995034.7,0.10861267,100,0.12829211,0.12829211,total,rand
21,0.0,0.17207062,0.1973884,0.1949232,0.034316756,0.24069242,0.186447,1849246.4,0.10753292,100,0.17207062,0.15295263,total,al
22,0.0,0.05767083,0.07762284,0.092948,0.07609879,0.097777665,0.11942591,473679.0,0.05662065,110,0.05767083,0.05767083,total,rand
23,0.0,0.18318416,0.21838076,0.21080743,0.07843716,0.25231975,0.24049295,2281737.5,0.11317121,110,0.18318416,0.1617332,total,al
24,0.0,0.1567399,0.23555066,0.21632735,0.06396872,0.23967636,0.25246823,1016777.8,0.12015297,120,0.1567399,0.1567399,total,al
25,0.0,0.13847883,0.19799072,0.17761281,0.044867385,0.20556521,0.18991537,1237547.6,0.10055383,120,0.13847882,0.13749626,total,rand
26,0.0,0.15724257,0.220675,0.20138699,0.04845135,0.23356709,0.22074944,1304606.9,0.11345539,130,0.15724258,0.15724258,total,al
27,0.0,0.13990739,0.14931798,0.17108391,0.049763247,0.20705807,0.16712815,1187286.5,0.10014449,130,0.13990739,0.10789325,total,rand
28,0.0,0.16276155,0.19082396,0.20042811,0.04945328,0.24037711,0.20352046,1398462.8,0.1159681,140,0.16276155,0.13123368,total,rand
29,0.0,0.1712415,0.19847319,0.21067983,0.056140896,0.25367576,0.20009466,1419746.5,0.12260652,140,0.1712415,0.1460551,total,al
30,0.0,0.1654046,0.21062745,0.22681507,0.051476173,0.25904205,0.22516765,968729.56,0.13414606,150,0.1654046,0.15142901,total,al
31,0.0,0.1454023,0.19260122,0.1755976,0.03711239,0.20981137,0.18228246,1453759.1,0.09883386,150,0.1454023,0.12623622,total,rand
32,0.0,0.13591722,0.19399223,0.18297336,0.041096777,0.20743847,0.19450036,899335.8,0.10377997,160,0.13591722,0.13591722,total,al
33,0.0,0.123730116,0.14643092,0.15685515,0.055622548,0.18448853,0.16671915,1151189.6,0.091385424,160,0.123730116,0.118869424,total,rand
34,0.0,0.17528981,0.2621129,0.23606084,0.2515914,0.2680442,0.26080096,1103169.5,0.13415754,170,0.17528981,0.17050356,total,al
35,0.0,0.103030086,0.15960626,0.15400986,0.06869001,0.16785179,0.17759609,387221.72,0.090768054,170,0.103030086,0.103030086,total,rand
36,0.0,0.1345107,0.17977665,0.18565744,0.06633601,0.2106032,0.1932209,939325.56,0.10994242,180,0.1345107,0.1345107,total,rand
37,0.0,0.14773537,0.18724409,0.19465937,0.049687464,0.22464716,0.20301698,1087587.2,0.11248227,180,0.14773537,0.14431335,total,al
38,0.0,0.18477741,0.2293102,0.23475891,0.047699798,0.2785159,0.22421081,1362243.1,0.13741174,190,0.18477742,0.16028923,total,rand
39,0.0,0.17118928,0.24817322,0.22272365,0.25623542,0.25590506,0.25362626,1326228.2,0.12492972,190,0.17118928,0.16394712,total,al
40,0.0,0.14871538,0.16373698,0.16758542,0.028607268,0.21132909,0.13805674,1608864.2,0.09790666,200,0.14871538,0.11256441,total,rand
41,0.0,0.10820315,0.18446773,0.13673551,0.020522796,0.16035447,0.118310355,849883.3,0.07714703,200,0.10820315,0.10820315,total,al
42,0.0,0.12804218,0.16665988,0.17361304,0.037494585,0.19973843,0.15964535,827947.6,0.10328848,210,0.12804218,0.12381335,total,al
43,0.0,0.22322728,0.39633006,0.18822633,0.08952389,0.244793,0.17351295,5650973.0,0.12120063,210,0.2232273,0.15030973,total,rand
44,0.0,0.22479561,0.401615,0.18437245,0.08986866,0.24290785,0.17626913,5683180.0,0.116865024,220,0.22479562,0.15910275,total,al
45,0.0,0.13017316,0.18459722,0.18573515,0.048389938,0.20845105,0.18598208,544606.6,0.110377386,220,0.13017316,0.13017316,total,rand
46,0.0,0.10638102,0.14980769,0.14644971,0.043490656,0.1653731,0.15552738,692142.25,0.08509996,230,0.10638103,0.10638103,total,al
47,0.0,0.13821514,0.19866404,0.18019453,0.03054331,0.21118088,0.15921184,953533.1,0.10611248,230,0.13821514,0.1355651,total,rand
48,0.0,0.14620917,0.15761593,0.16903123,0.024124805,0.21106738,0.1474288,1359487.5,0.0983848,240,0.14620917,0.11200443,total,al
