,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.26927656,0.30783454,0.61693865,0.25364202,0.4244941,0.468189,0.3886257,1349129.6,0.6750345,0,0.038558006,0.16575219,total,rand
1,0.26927656,0.42521358,1.083201,0.22984286,0.4052123,0.5322081,0.3570924,1103025.1,0.5921332,0,0.15593705,0.29011673,total,al
2,0.26927656,0.4187606,0.64113533,0.31513843,0.40954342,0.61876595,0.47813708,1176165.6,0.64520216,1,0.14948407,0.16995841,total,rand
3,0.26927656,0.44599825,1.0577484,0.25310877,0.38583833,0.57410306,0.39448127,1079669.8,0.59391123,1,0.17672172,0.28402546,total,al
4,0.26927656,0.3546291,0.7152586,0.2616817,0.41393465,0.5212811,0.3952207,1269262.2,0.6568329,2,0.085352555,0.19188781,total,rand
5,0.26927656,0.4565548,0.88950217,0.30017713,0.39448208,0.6445158,0.45192528,1100323.2,0.6212756,2,0.18727827,0.23842528,total,al
6,0.26927656,0.3686978,0.5473213,0.28074926,0.40401602,0.52939624,0.43534994,1240057.5,0.6471347,3,0.09942125,0.14068355,total,al
7,0.26927656,0.4474314,0.7339489,0.31366375,0.40001526,0.6405415,0.47682595,1120114.8,0.6282586,3,0.1781549,0.19640628,total,rand
8,0.26927656,0.46894413,0.8944994,0.30644885,0.39612412,0.6563514,0.4664882,1077707.6,0.6152603,4,0.19966762,0.24001496,total,rand
9,0.26927656,0.38295412,0.7638329,0.28150547,0.36326784,0.56601244,0.42429385,1229252.8,0.6525981,4,0.1136776,0.20491824,total,al
10,0.26927656,0.5067154,1.010856,0.3080172,0.38305718,0.6908439,0.46802267,1007707.1,0.59606516,5,0.23743889,0.27140105,total,al
11,0.26927656,0.43559033,0.7456557,0.31054103,0.40359956,0.630443,0.4717698,1142532.5,0.63466114,5,0.1663138,0.1998553,total,rand
12,0.26927656,0.51461434,0.9425167,0.3234515,0.3829869,0.71382254,0.48831052,1003501.4,0.6005414,6,0.24533781,0.2530473,total,al
13,0.26927656,0.37602478,0.7253328,0.27271092,0.40303722,0.5351818,0.42420024,1225879.2,0.6429235,6,0.10674827,0.19490568,total,rand
14,0.26927656,0.52437574,0.95039654,0.32255718,0.37610906,0.719275,0.4876361,983120.2,0.5937165,7,0.25509918,0.25509918,total,al
15,0.26927656,0.43263274,0.67155164,0.31626457,0.39956775,0.63201094,0.4792313,1150838.8,0.63846314,7,0.16335618,0.18007717,total,rand
16,0.26927656,0.31502277,0.4263839,0.2865479,0.44672164,0.49650922,0.4405462,1350205.5,0.68309826,8,0.0457462,0.11328068,total,rand
17,0.26927656,0.35965288,0.3381717,0.34221038,0.44717064,0.59579813,0.509869,1306229.2,0.69194055,8,0.090376325,0.090376325,total,al
18,0.26927656,0.3627293,0.49933416,0.31035733,0.43222123,0.5622276,0.47274965,1276452.5,0.6707846,9,0.09345279,0.13398263,total,rand
19,0.26927656,0.36282045,0.43423468,0.3172794,0.42975807,0.5705605,0.4807201,1281743.0,0.6751811,9,0.09354393,0.11486205,total,al
20,0.26927656,0.44176358,0.64370894,0.33824247,0.4085164,0.6675076,0.5054768,1151889.5,0.6484491,10,0.17248705,0.17248705,total,al
21,0.26927656,0.41765547,0.5623354,0.31681868,0.40252885,0.61599004,0.48091626,1177044.6,0.64481235,10,0.14837894,0.15089549,total,rand
22,0.26927656,0.41017866,0.52430546,0.32108402,0.4072063,0.6145189,0.4859485,1194446.0,0.65149677,11,0.14090212,0.14090212,total,rand
23,0.26927656,0.430768,0.60037494,0.32636228,0.40377933,0.64055145,0.4919733,1161073.2,0.64492744,11,0.16149148,0.16149148,total,al
24,0.26927656,0.2694633,0.22576275,0.28588668,0.453425,0.44784307,0.44389883,1429966.4,0.7024485,12,0.0001867488,0.059522785,total,al
25,0.26927656,0.34202337,0.32148352,0.31004104,0.43013445,0.53825915,0.47312793,1311477.8,0.67858213,12,0.07274685,0.086337924,total,rand
26,0.26927656,0.31252044,0.18352337,0.30798787,0.44052514,0.5094609,0.47081718,1364926.2,0.6925758,13,0.043243878,0.04923262,total,rand
27,0.26927656,0.28244954,0.18698286,0.3027185,0.46045312,0.47729832,0.46462804,1417544.0,0.7053254,13,0.013173038,0.050204635,total,al
