,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,2.9802322e-08,0.18032175,0.3008863,0.11844138,0.0532158,0.25968635,0.17005968,274612.56,0.04728074,0,0.18032177,0.080801435,total,rand
1,2.9802322e-08,0.32862654,0.8124548,0.116956264,0.09468511,0.33843523,0.17575714,592984.7,0.15828097,0,0.32862654,0.21941759,total,al
2,2.9802322e-08,0.13197213,0.37684095,0.034760963,0.038315937,0.15182714,0.04201077,225970.84,0.053245265,1,0.13197213,0.10428938,total,rand
3,2.9802322e-08,0.26582202,0.5433927,0.09221809,0.07146415,0.295544,0.12918347,464411.78,0.115864664,1,0.26582202,0.14567585,total,al
4,2.9802322e-08,0.20131584,0.38872135,0.12845631,0.04688884,0.27489057,0.19247736,316753.44,0.06045001,2,0.20131584,0.10484366,total,rand
5,2.9802322e-08,0.17942843,0.3785849,0.09351348,0.03853625,0.22153819,0.13664746,302015.62,0.07160325,2,0.17942843,0.10208375,total,al
6,2.9802322e-08,0.18423994,0.55875796,0.05525624,0.03863494,0.19494879,0.07112266,330679.72,0.08818528,3,0.18423992,0.15503894,total,al
7,2.9802322e-08,0.14969057,0.46178588,0.028095141,0.043984856,0.15622202,0.03339681,266912.8,0.068724014,3,0.14969058,0.124783844,total,rand
8,2.9802322e-08,0.17719543,0.4352356,0.051811527,0.05147776,0.20079689,0.06670681,305440.3,0.0730883,4,0.17719543,0.116868295,total,rand
9,2.9802322e-08,0.17750978,0.18329696,0.115286686,0.12314583,0.2537933,0.16745754,270375.78,0.045147184,4,0.17750977,0.049404778,total,al
10,2.9802322e-08,0.17492186,0.4284326,0.0543944,0.046851266,0.19482037,0.07085235,305543.38,0.07629176,5,0.17492186,0.11539658,total,al
11,2.9802322e-08,0.13922442,0.31359017,0.047072373,0.043737963,0.16659312,0.059674215,233938.72,0.05256964,5,0.13922442,0.08427084,total,rand
12,2.9802322e-08,0.136712,0.45369196,0.023553248,0.036342137,0.1360374,0.027478637,249291.75,0.06762059,6,0.13671201,0.12185199,total,al
13,2.9802322e-08,0.18339469,0.31297958,0.066179454,0.051082473,0.22981952,0.08367275,300415.56,0.06253667,6,0.18339469,0.08390819,total,rand
14,2.9802322e-08,0.11539359,0.42917043,0.01275208,0.031569056,0.10772277,0.014681093,213704.84,0.05907707,7,0.115393594,0.115393594,total,al
15,2.9802322e-08,0.11944597,0.34287444,0.037788197,0.026324285,0.14269103,0.045887172,202660.4,0.047807638,7,0.11944597,0.09232981,total,rand
16,2.9802322e-08,0.1347958,0.31758097,0.06790378,0.053044505,0.1732552,0.09305367,219485.64,0.04621011,8,0.1347958,0.086198084,total,rand
17,2.9802322e-08,0.031701148,0.1174977,0.0078642275,0.013226618,0.037589688,0.00873127,53705.855,0.012451998,8,0.03170115,0.03170115,total,al
18,2.9802322e-08,0.120501816,0.27150297,0.03227616,0.046378814,0.1413882,0.038517416,203666.89,0.045977946,9,0.120501816,0.072820105,total,rand
19,2.9802322e-08,0.0927364,0.23234642,0.033351284,0.026233518,0.121289216,0.03945676,148472.23,0.028860677,9,0.0927364,0.064476475,total,al
20,2.9802322e-08,0.045663707,0.16954632,0.005520666,0.01641864,0.045423295,0.006133786,82778.39,0.021979058,10,0.045663707,0.045663707,total,al
21,2.9802322e-08,0.09079504,0.32239705,0.017468689,0.026802095,0.10058169,0.020449439,157710.75,0.038205225,10,0.090795055,0.08654824,total,rand
22,2.9802322e-08,0.070724346,0.26316646,0.012781291,0.023715362,0.07776755,0.014752604,123191.73,0.030008601,11,0.07072435,0.07072435,total,rand
23,2.9802322e-08,0.068004936,0.253777,0.012867574,0.022671944,0.07272774,0.014696193,120354.91,0.030643165,11,0.068004936,0.068004936,total,al
24,2.9802322e-08,0.064519145,0.083963305,0.028240455,0.02607135,0.08470115,0.034317847,103483.734,0.02058638,12,0.064519145,0.024895651,total,al
25,2.9802322e-08,0.06705025,0.18034776,0.01498597,0.033476204,0.06989375,0.017650636,120090.65,0.031436987,12,0.06705024,0.048307385,total,rand
26,2.9802322e-08,0.03601239,0.10182305,0.0113680065,0.014045314,0.044653825,0.013368963,59212.066,0.012379861,13,0.03601238,0.027259387,total,rand
27,2.9802322e-08,0.054227397,0.09009124,0.011563556,0.028328113,0.060738243,0.0135637205,93224.0,0.021730224,13,0.0542274,0.024364619,total,al
