,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.15109125,0.09667981,0.61667526,0.22646663,0.528237,0.31233263,0.3631904,628690.0,0.8466114,0,-0.05441146,0.06679487,total,al,1.4901161e-08,0.05366896,0.13872889,0.07583936,0.11101237,0.14435366,0.09896372,26548.656,0.018716255,0.053668965,0.037140395,total
1,0.15109125,0.08600233,0.73403096,0.21742377,0.5868052,0.2936023,0.34993258,634861.5,0.8516289,0,-0.06508893,0.08267838,total,rand,1.4901161e-08,0.06374247,0.16604741,0.081663914,0.12475933,0.16459966,0.108310394,31727.957,0.020716991,0.063742466,0.038261678,total
2,0.15109125,0.097751215,0.6389502,0.23531155,0.5232698,0.32630548,0.37054643,629507.7,0.8497623,1,-0.053340048,0.06893538,total,al,1.4901161e-08,0.058101274,0.22623828,0.09484567,0.1290677,0.16390891,0.13651188,27567.867,0.017563816,0.058101278,0.03832535,total
3,0.15109125,0.087794736,0.54630715,0.24744065,0.55695784,0.32079142,0.39067015,636682.6,0.8580526,1,-0.06329652,0.06699876,total,rand,1.4901161e-08,0.03932528,0.16407606,0.0780372,0.050528646,0.1370274,0.09679601,15010.744,0.0062803146,0.03932528,0.03262045,total
4,0.15109125,0.08468461,0.61122257,0.23819344,0.581184,0.3054089,0.3786195,637300.7,0.85651433,2,-0.06640665,0.06640665,total,al,1.4901161e-08,0.036431447,0.19654162,0.07601806,0.12111908,0.11661801,0.0998963,16818.33,0.014434848,0.036431447,0.036431447,total
5,0.15109125,0.07320746,0.5785434,0.22502358,0.59557205,0.2810525,0.3575901,643432.6,0.86063147,2,-0.0778838,0.0778838,total,rand,1.4901161e-08,0.03946333,0.20350625,0.09465536,0.06626946,0.1422191,0.12708911,14700.908,0.008061548,0.03946333,0.03946333,total
6,0.15109125,0.09493165,0.5592516,0.24411556,0.5404057,0.33409864,0.3763005,632651.1,0.8549368,3,-0.056159608,0.05795399,total,al,1.4901161e-08,0.05222964,0.21302582,0.121315524,0.104735844,0.18715653,0.16557506,19347.535,0.009044709,0.05222964,0.05023119,total
7,0.15109125,0.078384764,0.5905126,0.23956695,0.6191374,0.30169326,0.37975094,641813.6,0.8616915,3,-0.07270648,0.07270648,total,rand,1.4901161e-08,0.040190246,0.20853196,0.07964783,0.0898352,0.13014202,0.10585179,16453.416,0.0057847556,0.040190246,0.040190246,total
8,0.15109125,0.114067435,0.6343681,0.2548757,0.5875982,0.36209658,0.3978687,620928.9,0.8442615,4,-0.037023816,0.07573602,total,al,1.4901161e-08,0.08660337,0.32847837,0.08904932,0.15783563,0.16170569,0.11810889,52830.94,0.05214886,0.086603366,0.055990737,total
9,0.15109125,0.07276075,0.5985553,0.21372227,0.5682832,0.26286998,0.35078713,641623.4,0.85558367,4,-0.0783305,0.0783305,total,rand,1.4901161e-08,0.024660094,0.16083512,0.035269566,0.081667066,0.061025135,0.047824267,12939.724,0.010166565,0.024660094,0.024660094,total
10,0.15109125,0.10289916,0.70118475,0.22948018,0.51850307,0.32147986,0.36916417,624885.8,0.84315616,5,-0.048192106,0.058961906,total,rand,1.4901161e-08,0.05300094,0.18909235,0.06307025,0.129178,0.13349356,0.080727786,27473.666,0.021104116,0.05300094,0.04068258,total
11,0.15109125,0.06945036,0.6765381,0.2069588,0.59998256,0.2591771,0.33503804,643788.0,0.8577782,5,-0.08164089,0.083151974,total,al,1.4901161e-08,0.042001445,0.1917932,0.083990075,0.08484791,0.13519216,0.114113286,17633.807,0.008711557,0.04200145,0.038924377,total
12,0.15109125,0.07681666,0.574557,0.23088498,0.5986781,0.28736186,0.37072355,641343.9,0.85892886,6,-0.074274585,0.074274585,total,rand,1.4901161e-08,0.032249823,0.15708688,0.06477359,0.102923706,0.101163775,0.084503844,14687.559,0.011171834,0.032249823,0.032249823,total
