,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,0.15109125,0.09667981,0.61667526,0.22646663,0.528237,0.31233263,0.3631904,628690.0,0.8466114,0,-0.05441146,0.06679487,total,al
1,0.15109125,0.08600233,0.73403096,0.21742377,0.5868052,0.2936023,0.34993258,634861.5,0.8516289,0,-0.06508893,0.08267838,total,rand
2,0.15109125,0.097751215,0.6389502,0.23531155,0.5232698,0.32630548,0.37054643,629507.7,0.8497623,1,-0.053340048,0.06893538,total,al
3,0.15109125,0.087794736,0.54630715,0.24744065,0.55695784,0.32079142,0.39067015,636682.6,0.8580526,1,-0.06329652,0.06699876,total,rand
4,0.15109125,0.08468461,0.61122257,0.23819344,0.581184,0.3054089,0.3786195,637300.7,0.85651433,2,-0.06640665,0.06640665,total,al
5,0.15109125,0.07320746,0.5785434,0.22502358,0.59557205,0.2810525,0.3575901,643432.6,0.86063147,2,-0.0778838,0.0778838,total,rand
6,0.15109125,0.09493165,0.5592516,0.24411556,0.5404057,0.33409864,0.3763005,632651.1,0.8549368,3,-0.056159608,0.05795399,total,al
7,0.15109125,0.078384764,0.5905126,0.23956695,0.6191374,0.30169326,0.37975094,641813.6,0.8616915,3,-0.07270648,0.07270648,total,rand
8,0.15109125,0.114067435,0.6343681,0.2548757,0.5875982,0.36209658,0.3978687,620928.9,0.8442615,4,-0.037023816,0.07573602,total,al
9,0.15109125,0.07276075,0.5985553,0.21372227,0.5682832,0.26286998,0.35078713,641623.4,0.85558367,4,-0.0783305,0.0783305,total,rand
10,0.15109125,0.10289916,0.70118475,0.22948018,0.51850307,0.32147986,0.36916417,624885.8,0.84315616,5,-0.048192106,0.058961906,total,rand
11,0.15109125,0.06945036,0.6765381,0.2069588,0.59998256,0.2591771,0.33503804,643788.0,0.8577782,5,-0.08164089,0.083151974,total,al
12,0.15109125,0.07681666,0.574557,0.23088498,0.5986781,0.28736186,0.37072355,641343.9,0.85892886,6,-0.074274585,0.074274585,total,rand
13,0.15109125,0.105931595,0.45884544,0.27437633,0.5494617,0.37306917,0.42693764,628631.0,0.85571307,6,-0.045159675,0.054747373,total,al
14,0.15109125,0.10157329,0.45922986,0.28113177,0.55864495,0.3713473,0.43405533,631853.9,0.85955113,7,-0.049517967,0.05212895,total,al
15,0.15109125,0.07516046,0.5245666,0.23297605,0.58661056,0.28698736,0.37400657,642601.9,0.8604719,7,-0.075930804,0.075930804,total,rand
16,0.15109125,0.2910385,0.96043044,0.27999267,0.3630172,0.6209538,0.4358495,512511.4,0.74551266,8,0.13994725,0.14888418,total,rand
17,0.15109125,0.26771593,0.9252121,0.26669714,0.3587603,0.57241106,0.42006826,525085.0,0.7541664,8,0.11662469,0.12954792,total,al
18,0.15109125,0.2523922,0.6934699,0.29008675,0.3835761,0.5855078,0.44794193,538692.3,0.7734478,9,0.10130093,0.10938972,total,rand
19,0.15109125,0.20335095,0.40264168,0.33298224,0.45252115,0.5801621,0.49851742,576624.7,0.8208736,9,0.052259684,0.06333207,total,al
