,gt_confluence,pred_confluence,relative_delta_confluence,iou,precision,recall,f1,true_negative,accuracy,step,dAbsConf,dAbsAbsConf,images,method
0,1.4901161e-08,0.05366896,0.13872889,0.07583936,0.11101237,0.14435366,0.09896372,26548.656,0.018716255,0,0.053668965,0.037140395,total,al
1,1.4901161e-08,0.06374247,0.16604741,0.081663914,0.12475933,0.16459966,0.108310394,31727.957,0.020716991,0,0.063742466,0.038261678,total,rand
2,1.4901161e-08,0.058101274,0.22623828,0.09484567,0.1290677,0.16390891,0.13651188,27567.867,0.017563816,1,0.058101278,0.03832535,total,al
3,1.4901161e-08,0.03932528,0.16407606,0.0780372,0.050528646,0.1370274,0.09679601,15010.744,0.0062803146,1,0.03932528,0.03262045,total,rand
4,1.4901161e-08,0.036431447,0.19654162,0.07601806,0.12111908,0.11661801,0.0998963,16818.33,0.014434848,2,0.036431447,0.036431447,total,al
5,1.4901161e-08,0.03946333,0.20350625,0.09465536,0.06626946,0.1422191,0.12708911,14700.908,0.008061548,2,0.03946333,0.03946333,total,rand
6,1.4901161e-08,0.05222964,0.21302582,0.121315524,0.104735844,0.18715653,0.16557506,19347.535,0.009044709,3,0.05222964,0.05023119,total,al
7,1.4901161e-08,0.040190246,0.20853196,0.07964783,0.0898352,0.13014202,0.10585179,16453.416,0.0057847556,3,0.040190246,0.040190246,total,rand
8,1.4901161e-08,0.08660337,0.32847837,0.08904932,0.15783563,0.16170569,0.11810889,52830.94,0.05214886,4,0.086603366,0.055990737,total,al
9,1.4901161e-08,0.024660094,0.16083512,0.035269566,0.081667066,0.061025135,0.047824267,12939.724,0.010166565,4,0.024660094,0.024660094,total,rand
10,1.4901161e-08,0.05300094,0.18909235,0.06307025,0.129178,0.13349356,0.080727786,27473.666,0.021104116,5,0.05300094,0.04068258,total,rand
11,1.4901161e-08,0.042001445,0.1917932,0.083990075,0.08484791,0.13519216,0.114113286,17633.807,0.008711557,5,0.04200145,0.038924377,total,al
12,1.4901161e-08,0.032249823,0.15708688,0.06477359,0.102923706,0.101163775,0.084503844,14687.559,0.011171834,6,0.032249823,0.032249823,total,rand
13,1.4901161e-08,0.04298138,0.17972924,0.062063,0.061007217,0.12738645,0.07536041,19141.8,0.008852713,6,0.04298138,0.029824827,total,al
14,1.4901161e-08,0.034118753,0.16117804,0.069355756,0.059353486,0.112738684,0.08921113,14661.933,0.010553762,7,0.034118753,0.029978184,total,al
15,1.4901161e-08,0.028453406,0.17796348,0.060214087,0.04398777,0.095252745,0.080016464,11439.258,0.0052738455,7,0.028453408,0.028453408,total,rand
16,1.4901161e-08,0.1085378,0.47022915,0.04194652,0.11405102,0.10016209,0.050085526,73751.3,0.07916331,8,0.108537816,0.09591241,total,rand
17,1.4901161e-08,0.084412694,0.22897889,0.032410998,0.11658277,0.083354756,0.039943013,57246.414,0.06155682,8,0.084412694,0.06280252,total,al
18,1.4901161e-08,0.08864549,0.3847877,0.0436001,0.09850704,0.082610846,0.052504748,61452.42,0.06830472,9,0.08864549,0.0784461,total,rand
19,1.4901161e-08,0.060837734,0.24518599,0.035321347,0.07343579,0.077191725,0.041045934,40765.22,0.044098657,9,0.060837727,0.049207225,total,al
